"Location","Capacity","24-Feb-03","25-Feb-03","26-Feb-03","27-Feb-03","28-Feb-03"
"MS STATE PENITENTIARY","5,711","5,529","5,540","5,573","5,568","5,588"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,092","3,076","3,065","3,062","3,035"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,103","2,128","2,123","2,151","2,163"
"COUNTY JAILS","2,119","2,136","2,126","2,119","2,127","2,133"
"COMMUNITY WORK CENTERS","1,350","1,270","1,275","1,281","1,279","1,246"
"Alcorn Satellite Facility","75","71","71","69","67","64"
"Bolivar Satellite Facility","75","68","68","67","67","70"
"Forrest Satellite Facility","75","73","73","73","74","69"
"George Satellite Facility","75","72","72","75","75","68"
"Harrison Satellite Facility","75","75","73","74","74","71"
"Jackson Satellite Facility","75","75","75","74","72","69"
"Jefferson Satellite Facility","75","75","75","75","75","73"
"Leflore Satellite Facility","75","73","72","71","71","73"
"Madison Satellite Facility","75","73","72","74","74","73"
"Noxubee Satellite Facility","75","74","74","74","74","71"
"Pike Satellite Facility","75","48","48","53","54","53"
"Quitman Satellite Facility","75","56","56","56","56","55"
"Rankin Satellite Facility","150","150","150","150","150","146"
"Simpson Satellite Facility","75","75","75","75","75","72"
"Washington Satellite Facility","75","70","74","74","75","75"
"Wilkinson Satellite Facility","75","72","73","73","73","71"
"Yazoo Satellite Facility","75","70","74","74","73","73"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,482","2,482","2,481","2,476","2,481"
"Bolivar County","250","226","225","224","224","225"
"Carroll County","250","226","227","227","227","226"
"George County (opened on May 10th)","250","226","225","225","225","225"
"Holmes County","250","225","225","226","225","226"
"Issaquena County","250","225","225","225","224","226"
"Jefferson County","250","226","225","225","223","223"
"Kemper County","250","225","223","222","222","222"
"Leake County","250","227","227","227","227","227"
"Marion County","250","227","227","227","227","227"
"Stone County","250","223","227","227","227","227"
"Winston County","250","226","226","226","225","227"
"PRIVATE PRISONS","3,750","3,400","3,365","3,382","3,380","3,373"
"Delta (Closed)","0","0","0","0","0","0"
"East MS","1,000","719","689","689","689","688"
"Marshall County","1,000","981","981","985","984","984"
"Walnut Grove","750","720","720","720","720","715"
"Wilkinson County","1,000","980","975","988","987","986"
"RESITITUTION CENTERS","24","13","13","13","13","13"
"Greenwood","6","6","6","6","6","6"
"Hinds","12","4","4","4","4","4"
"Pascagoula","6","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6"
"TOTALS","21,157","20,031","20,011","20,043","20,062","20,038"
