"Location","Capacity","27-Jan-03","28-Jan-03","29-Jan-03","30-Jan-03","31-Jan-03"
"MS STATE PENITENTIARY","5,711","5,566","5,558","5,542","5,533","5,515"
"CENTRAL MS CORRECTIONAL FACILITY","3,099","3,046","3,056","3,062","3,062","3,063"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,114","2,106","2,082","2,085","2,073"
"COUNTY JAILS","2,121","1,928","1,949","1,982","1,999","2,024"
"COMMUNITY WORK CENTERS","1,350","1,274","1,269","1,281","1,277","1,246"
"Alcorn Satellite Facility","75","72","72","72","71","67"
"Bolivar Satellite Facility","75","73","73","74","73","69"
"Forrest Satellite Facility","75","74","73","73","73","74"
"George Satellite Facility","75","72","72","75","75","71"
"Harrison Satellite Facility","75","72","72","72","74","74"
"Jackson Satellite Facility","75","72","72","75","75","74"
"Jefferson Satellite Facility","75","72","72","71","70","69"
"Leflore Satellite Facility","75","71","71","72","72","72"
"Madison Satellite Facility","75","75","75","75","73","72"
"Noxubee Satellite Facility","75","72","72","72","73","69"
"Pike Satellite Facility","75","57","55","55","55","50"
"Quitman Satellite Facility","75","59","59","63","63","62"
"Rankin Satellite Facility","150","144","142","142","140","140"
"Simpson Satellite Facility","75","75","75","75","75","74"
"Washington Satellite Facility","75","71","72","68","68","64"
"Wilkinson Satellite Facility","75","70","70","74","74","74"
"Yazoo Satellite Facility","75","73","72","73","73","71"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,474","2,474","2,482","2,478","2,477"
"Bolivar County","250","224","224","224","224","224"
"Carroll County","250","225","225","227","227","227"
"George County (opened on May 10th)","250","225","226","226","226","226"
"Holmes County","250","226","226","226","225","224"
"Issaquena County","250","226","225","226","224","224"
"Jefferson County","250","224","224","225","224","226"
"Kemper County","250","224","224","225","225","225"
"Leake County","250","225","225","226","226","226"
"Marion County","250","226","225","225","225","224"
"Stone County","250","224","226","226","226","225"
"Winston County","250","225","224","226","226","226"
"PRIVATE PRISONS","3,750","3,411","3,407","3,415","3,406","3,408"
"Delta (Closed)","0","0","0","0","0","0"
"East MS","1,000","718","718","718","718","729"
"Marshall County","1,000","990","988","990","989","984"
"Walnut Grove","750","720","719","722","720","718"
"Wilkinson County","1,000","983","982","985","979","977"
"RESITITUTION CENTERS","24","13","13","13","13","13"
"Greenwood","6","6","6","6","6","6"
"Hinds","12","5","5","5","5","5"
"Pascagoula","6","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6"
"TOTALS","21,025","19,832","19,838","19,865","19,859","19,825"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 (Hospital) & 5 at Family Visitation Apts.","","27-Jan-03","28-Jan-03","29-Jan-03","30-Jan-03","31-Jan-03"
