"Location","Capacity","1-Jan-08","2-Jan-08","3-Jan-08","4-Jan-08","5-Jan-08","6-Jan-08","7-Jan-08","8-Jan-08","9-Jan-08"
"Mississippi State Penitentiary","4,527","4,338","4,335","4,323","4,327","4,327","4,324","4,311","4,306","4,324"
"Central Mississippi Correctional Facility","3,665","3,491","3,496","3,506","3,506","3,510","3,507","3,502","3,488","3,494"
"South Mississippi Correctional Institution","3,204","3,073","3,078","3,090","3,090","3,087","3,085","3,102","3,134","3,131"
"County Jails","1,586","1,755","1,749","1,741","1,754","1,754","1,754","1,776","1,774","1,767"
"COMMUNITY WORK CENTERS","1,848","1,801","1,798","1,795","1,802","1,798","1,795","1,796","1,809","1,800"
"Alcorn Satellite Facility","92","89","88","88","88","88","88","88","91","91"
"Bolivar Satellite Facility","102","102","102","101","101","101","101","101","101","101"
"Forrest Satellite Facility","96","95","95","95","95","95","95","95","95","94"
"George Satellite Facility","102","101","101","100","100","100","100","100","100","100"
"Harrison Satellite Facility","102","101","102","101","101","101","99","99","99","97"
"Jackson Satellite Facility","102","101","101","101","101","101","101","101","101","101"
"Jefferson Satellite Facility","102","98","98","101","100","100","100","98","98","98"
"Leflore Satellite Facility","102","101","100","100","97","97","97","96","100","99"
"Madison Satellite Facility","102","94","93","98","99","99","99","99","99","99"
"Noxubee Satellite Facility","92","88","88","87","87","87","87","87","92","92"
"Pike Satellite Facility","93","90","90","89","91","90","90","90","90","89"
"Quitman Satellite Facility","93","89","89","89","91","91","91","91","87","88"
"Rankin Satellite Facility","260","252","253","253","255","254","253","255","257","257"
"Simpson Satellite Facility","102","98","97","95","99","97","97","99","101","101"
"Washington Satellite Facility","102","98","97","95","99","99","99","97","98","98"
"Wilkinson Satellite Facility","102","102","102","101","98","98","98","101","101","98"
"Yazoo Satellite Facility","102","102","102","101","100","100","100","99","99","97"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,078","3,075","3,079","3,085","3,081","3,080","3,081","3,082","3,084"
"Bolivar County","294","294","294","293","294","294","294","294","294","294"
"Carroll County","280","277","278","279","279","279","279","280","280","280"
"George County","280","280","277","279","280","279","279","279","280","280"
"Holmes County","280","279","279","280","280","280","280","280","279","279"
"Issaquena County","274","274","271","272","273","272","271","270","271","274"
"Jefferson County","280","279","280","279","279","279","279","280","280","280"
"Kemper County","280","280","280","280","280","280","280","280","280","280"
"Leake County","280","278","280","280","280","279","279","279","280","280"
"Marion County","280","280","279","279","280","280","280","280","280","280"
"Stone County","280","279","279","279","280","279","279","279","279","278"
"Winston County","280","278","278","279","280","280","280","280","279","279"
"PRIVATE PRISONS","4,972","4,783","4,779","4,786","4,793","4,792","4,788","4,788","4,791","4,784"
"Delta","972","971","969","969","969","968","967","969","970","971"
"East Mississippi","1,000","875","875","875","875","875","874","872","872","869"
"Marshall County","1,000","994","996","1,000","1,000","1,000","999","997","1,000","999"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","947","945","948","956","956","955","954","953","949"
"Wilkinson County","1,000","996","994","994","993","993","993","996","996","996"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","13","13","13"
"Greenwood","6","5","5","5","5","5","5","6","6","6"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","5","0","5","4","4","4","6","9","8"
"TOTALS","22,912","22,341","22,327","22,342","22,378","22,370","22,354","22,380","22,411","22,410"
"","","1-Jan-08","2-Jan-08","3-Jan-08","4-Jan-08","5-Jan-08","6-Jan-08","7-Jan-08","8-Jan-08","9-Jan-08"
