"Location","Capacity","19-Aug-15","20-Aug-15","21-Aug-15","22-Aug-15","23-Aug-15","24-Aug-15","25-Aug-15","26-Aug-15","27-Aug-15"
"Mississippi State Penitentiary","4,648","3,094","3,094","3,094","3,094","3,094","3,077","3,077","3,101","3,102"
"MSP TVC","108","85","85","85","85","85","87","87","83","84"
"Central Mississippi Correctional Facility","3,469","2,512","2,512","2,512","2,512","2,512","2,491","2,491","2,454","2,455"
"Youthful Offender Unit","58","25","25","25","25","25","28","28","28","29"
"CMCF TVC","158","122","122","122","122","122","134","134","128","129"
"South Mississippi Correctional Institution 3,282","","2,503","2,503","2,503","2,503","2,503","2,512","2,512","2,528","2,528"
"SMCI TVC","0","96","96","96","96","96","94","94","97","97"
"County Jails","2,006","1,083","1,083","1,083","1,083","1,083","1,063","1,065","1,072","1,072"
"COMMUNITY WORK CENTERS","1,848","1,191","1,179","1,179","1,179","1,179","1,186","1,186","1,189","1,189"
"Alcorn Satellite Facility","92","87","87","87","87","87","92","92","92","92"
"Bolivar Satellite Facility","102","60","60","60","60","60","66","66","67","67"
"Forrest Satellite Facility","96","56","56","56","56","56","54","54","53","53"
"George Satellite Facility","102","45","44","44","44","44","50","50","49","49"
"Harrison Satellite Facility","102","51","50","50","50","50","52","52","50","50"
"Jackson Satellite Facility","102","59","58","58","58","58","57","57","53","53"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","80","79","79","79","79","75","75","74","74"
"Madison Satellite Facility","102","60","59","59","59","59","59","59","59","59"
"Noxubee Satellite Facility","92","75","74","74","74","74","76","76","75","75"
"Pike Satellite Facility","93","76","75","75","75","75","80","80","81","81"
"Quitman Satellite Facility","93","71","70","70","70","70","66","66","66","66"
"Rankin Satellite Facility","260","185","185","185","185","185","178","178","182","182"
"Simpson Satellite Facility","102","88","87","87","87","87","86","86","90","90"
"Washington Satellite Facility","102","74","73","73","73","73","73","73","73","73"
"Wilkinson Satellite Facility","102","54","53","53","53","53","52","52","53","53"
"Yazoo Satellite Facility","102","70","69","69","69","69","70","70","72","72"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,199","4,191","4,187","4,186","4,184","4,173","4,173","4,192","4,192"
"Alcorn County","300","300","299","299","299","299","298","298","301","301"
"Bolivar County","369","350","349","349","349","349","343","343","348","348"
"Carroll County","280","274","273","273","273","273","262","262","263","263"
"Chickasaw County","300","300","299","299","299","299","299","299","298","298"
"George County","280","271","270","270","270","270","269","269","267","267"
"Holmes County","280","268","267","267","267","267","279","279","280","280"
"Issaquena County","274","259","258","258","258","258","257","257","266","266"
"Jefferson County","280","260","259","259","259","259","258","258","261","261"
"Kemper County","355","345","345","344","344","344","335","335","335","335"
"Leake County","280","262","262","261","261","261","263","263","267","267"
"Marion County","280","271","271","270","270","270","267","267","264","264"
"Stone County","280","277","277","276","276","276","280","280","280","280"
"Washington County","300","214","214","214","214","214","213","213","209","209"
"Winston County","280","261","261","261","261","260","263","263","267","267"
"Yazoo County","300","287","287","287","286","285","287","287","286","286"
"PRIVATE PRISONS","5,972","3,852","3,852","3,852","3,846","3,845","3,960","3,960","3,880","3,880"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,118","1,118","1,118","1,117","1,116","1,188","1,188","1,123","1,123"
"Marshall County","1,000","999","999","999","998","998","999","999","997","997"
"Walnut Grove","1,500","926","926","926","924","924","934","934","926","926"
"Wilkinson County","1,000","809","809","809","807","807","839","839","834","834"
"RESTITUTION CENTERS","16","12","12","12","8","8","11","11","11","11"
"Greenwood","6","4","4","4","3","3","4","4","4","4"
"Hinds","6","5","5","5","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","1","1","3","3","3","3"
"TOTALS","25,737","18,774","18,754","18,750","18,739","18,736","18,816","18,818","18,763","18,768"
"","","19-Aug-15","20-Aug-15","21-Aug-15","22-Aug-15","23-Aug-15","24-Aug-15","25-Aug-15","26-Aug-15","27-Aug-15"
