"Location","Capacity","19-Jul-13","20-Jul-13","21-Jul-13","22-Jul-13","23-Jul-13","24-Jul-13","25-Jul-13","26-Jul-13","27-Jul-13"
"Mississippi State Penitentiary","4,648","3,387","3,384","3,386","3,385","3,384","3,382","3,389","3,378","3,376"
"Central Mississippi Correctional Facility","3,557","3,399","3,400","3,395","3,380","3,398","3,416","3,373","3,350","3,347"
"Youthful Offender Unit","42","35","35","35","35","35","35","35","35","36"
"South Mississippi Correctional Institution","3,282","3,232","3,233","3,234","3,253","3,249","3,237","3,250","3,251","3,252"
"County Jails","1,872","2,313","2,313","2,313","2,296","2,259","2,229","2,206","2,201","2,200"
"COMMUNITY WORK CENTERS","1,848","1,450","1,448","1,444","1,460","1,475","1,483","1,484","1,460","1,460"
"Alcorn Satellite Facility","92","91","91","91","91","91","91","89","89","89"
"Bolivar Satellite Facility","102","71","71","71","71","70","71","72","72","72"
"Forrest Satellite Facility","96","66","65","65","67","67","70","68","65","65"
"George Satellite Facility","102","66","66","66","69","69","70","70","72","72"
"Harrison Satellite Facility","102","85","85","85","87","87","91","91","87","87"
"Jackson Satellite Facility","102","79","79","79","79","80","79","79","78","78"
"Jefferson Satellite Facility","102","67","66","66","66","66","65","65","63","63"
"Leflore Satellite Facility","102","72","72","71","71","76","76","73","73","73"
"Madison Satellite Facility","102","83","83","83","83","89","88","90","84","84"
"Noxubee Satellite Facility","92","72","72","72","76","78","78","79","75","75"
"Pike Satellite Facility","93","93","93","93","92","92","92","93","93","93"
"Quitman Satellite Facility","93","83","83","80","81","80","83","90","86","86"
"Rankin Satellite Facility","260","237","237","237","238","239","239","239","239","239"
"Simpson Satellite Facility","102","97","97","97","98","98","98","98","102","102"
"Washington Satellite Facility","102","70","70","70","72","74","72","70","68","68"
"Wilkinson Satellite Facility","102","61","61","61","59","59","58","57","57","57"
"Yazoo Satellite Facility","102","57","57","57","60","60","62","61","57","57"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,429","4,428","4,426","4,427","4,429","4,421","4,419","4,429","4,428"
"Alcorn County","300","300","300","300","300","299","298","298","297","297"
"Bolivar County","369","369","369","369","369","369","368","367","367","367"
"Carroll County","280","279","278","277","278","279","278","279","280","280"
"Chickasaw County","300","299","299","299","299","299","300","298","300","300"
"George County","280","280","280","280","280","278","276","277","278","278"
"Holmes County","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","274","274","274","274","275","274","274","274","274"
"Jefferson County","280","280","280","280","280","280","279","279","280","280"
"Kemper County","355","355","355","355","354","354","355","355","355","355"
"Leake County","280","276","276","276","278","280","280","280","280","279"
"Marion County","280","280","280","280","280","279","280","280","280","280"
"Stone County","280","279","279","279","279","279","278","278","278","278"
"Washington County","300","298","298","298","297","299","297","294","299","299"
"Winston County","280","280","280","280","280","280","280","280","279","279"
"Yazoo County","300","300","300","299","299","299","298","300","302","302"
"PRIVATE PRISONS","5,972","4,306","4,305","4,300","4,317","4,314","4,314","4,334","4,369","4,369"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,126","1,126","1,125","1,126","1,125","1,124","1,124","1,146","1,146"
"Marshall County","1,000","998","997","995","999","998","998","999","999","999"
"Walnut Grove","1,500","1,291","1,291","1,290","1,299","1,298","1,299","1,313","1,326","1,326"
"Wilkinson County","1,000","891","891","890","893","893","893","898","898","898"
"RESTITUTION CENTERS","16","11","11","11","14","14","12","12","12","12"
"Greenwood","6","4","4","4","5","5","5","5","5","5"
"Hinds","6","5","5","5","5","5","3","3","3","3"
"Pascagoula","4","2","2","2","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,681","22,562","22,557","22,544","22,567","22,557","22,529","22,502","22,485","22,480"
