"Location","Capacity","19-Dec-11","20-Dec-11","21-Dec-11","22-Dec-11","23-Dec-11","24-Dec-11","25-Dec-11","26-Dec-11","27-Dec-11"
"Mississippi State Penitentiary","3,356","3,061","3,075","3,072","3,073","3,069","3,066","3,067","3,066","3,062"
"Central Mississippi Correctional Facility","3,449","3,076","3,088","3,069","3,032","3,029","3,030","3,031","3,031","3,063"
"South Mississippi Correctional Institution","3,256","3,138","3,140","3,142","3,144","3,144","3,143","3,143","3,142","3,141"
"County Jails","1,616","2,064","2,065","2,048","2,028","2,028","2,028","2,028","2,028","2,029"
"COMMUNITY WORK CENTERS","1,848","1,455","1,453","1,469","1,469","1,465","1,459","1,456","1,455","1,453"
"Alcorn Satellite Facility","92","81","80","83","83","82","82","82","82","82"
"Bolivar Satellite Facility","102","82","81","84","84","84","82","82","82","82"
"Forrest Satellite Facility","96","80","80","81","80","80","80","80","79","79"
"George Satellite Facility","102","83","84","87","86","86","86","86","86","86"
"Harrison Satellite Facility","102","88","88","90","90","89","89","89","89","88"
"Jackson Satellite Facility","102","83","83","79","79","79","78","78","78","78"
"Jefferson Satellite Facility","102","74","74","74","74","74","74","74","74","73"
"Leflore Satellite Facility","102","89","89","90","90","90","90","90","90","90"
"Madison Satellite Facility","102","89","90","92","92","92","92","89","89","89"
"Noxubee Satellite Facility","92","76","76","79","79","79","78","78","78","78"
"Pike Satellite Facility","93","56","56","56","55","55","55","55","55","55"
"Quitman Satellite Facility","93","58","58","57","57","57","57","57","57","58"
"Rankin Satellite Facility","260","187","187","188","188","187","187","187","187","187"
"Simpson Satellite Facility","102","91","90","90","93","92","91","91","91","91"
"Washington Satellite Facility","102","87","86","88","88","88","87","87","87","86"
"Wilkinson Satellite Facility","102","66","66","65","65","65","65","65","65","65"
"Yazoo Satellite Facility","102","85","85","86","86","86","86","86","86","86"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,947","3,933","3,941","3,998","3,995","3,992","3,990","3,990","3,991"
"Alcorn County","300","297","294","297","297","297","297","297","297","297"
"Bolivar County","294","233","233","235","236","236","236","235","235","235"
"Carroll County","280","224","224","222","223","223","223","223","223","224"
"Chickasaw County","300","249","249","250","250","250","250","250","250","249"
"George County","280","279","278","280","280","279","279","279","279","280"
"Holmes County","280","280","280","280","280","280","280","280","280","280"
"Issaquena County","274","282","273","272","272","271","271","271","271","274"
"Jefferson County","280","279","278","280","280","280","280","280","280","280"
"Kemper County","355","285","285","284","284","283","282","282","282","281"
"Leake County","280","224","224","224","278","278","278","278","278","278"
"Marion County","280","280","280","280","281","281","281","281","281","280"
"Stone County","280","278","278","280","280","280","280","280","280","280"
"Washington County","300","233","232","231","231","231","231","231","231","230"
"Winston County","280","223","224","224","224","224","223","223","223","223"
"Yazoo County","300","301","301","302","302","302","301","300","300","300"
"PRIVATE PRISONS","5,972","4,662","4,659","4,669","4,667","4,666","4,664","4,659","4,659","4,655"
"Delta","972","450","450","450","450","450","450","449","449","448"
"East Mississippi","1,500","1,321","1,320","1,323","1,323","1,323","1,322","1,322","1,322","1,320"
"Marshall County","1,000","999","999","999","999","999","999","999","999","1,000"
"Walnut Grove","1,500","1,003","1,001","1,004","1,003","1,002","1,001","999","999","997"
"Wilkinson County","1,000","889","889","893","892","892","892","890","890","890"
"RESTITUTION CENTERS","16","10","10","10","10","10","10","10","10","10"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","10","8","8","11","12","11","11","6","6"
"TOTALS","23,882","21,428","21,436","21,433","21,437","21,423","21,408","21,400","21,392","21,415"
