"Location","Capacity","10-Feb-09","11-Feb-09","12-Feb-09","13-Feb-09","14-Feb-09","15-Feb-09","16-Feb-09","17-Feb-09","18-Feb-09"
"Mississippi State Penitentiary","4,627","4,102","4,099","4,091","4,096","4,094","4,092","4,088","4,081","4,103"
"Central Mississippi Correctional Facility","3,665","3,600","3,617","3,610","3,605","3,602","3,602","3,600","3,603","3,584"
"South Mississippi Correctional Institution","3,204","3,126","3,125","3,127","3,110","3,109","3,108","3,110","3,113","3,117"
"County Jails","1,898","1,669","1,670","1,652","1,674","1,674","1,674","1,678","1,669","1,707"
"COMMUNITY WORK CENTERS","1,848","1,743","1,767","1,742","1,693","1,691","1,688","1,743","1,741","1,744"
"Alcorn Satellite Facility","92","78","78","82","82","82","82","82","82","81"
"Bolivar Satellite Facility","102","98","98","94","90","90","90","93","92","92"
"Forrest Satellite Facility","96","89","87","86","85","85","84","84","92","92"
"George Satellite Facility","102","102","102","100","96","96","96","98","97","102"
"Harrison Satellite Facility","102","102","102","102","95","95","95","102","102","102"
"Jackson Satellite Facility","102","95","102","101","92","92","92","100","95","98"
"Jefferson Satellite Facility","102","85","94","93","93","93","92","92","91","93"
"Leflore Satellite Facility","102","90","97","95","98","98","98","100","100","97"
"Madison Satellite Facility","102","101","100","100","99","99","99","102","100","101"
"Noxubee Satellite Facility","92","89","92","88","84","84","84","87","87","87"
"Pike Satellite Facility","93","89","89","86","83","81","80","83","85","86"
"Quitman Satellite Facility","93","82","82","80","73","73","73","79","81","82"
"Rankin Satellite Facility","260","248","250","244","242","242","242","245","245","245"
"Simpson Satellite Facility","102","100","102","100","96","96","96","99","98","98"
"Washington Satellite Facility","102","99","99","96","93","93","93","97","96","93"
"Wilkinson Satellite Facility","102","99","98","97","99","99","99","102","101","99"
"Yazoo Satellite Facility","102","97","95","98","93","93","93","98","97","96"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,928","2,927","2,929","2,932","2,932","2,931","2,927","2,925","2,922"
"Bolivar County","294","279","278","276","280","280","280","279","279","277"
"Carroll County","280","265","266","266","266","266","266","266","266","266"
"George County","280","266","265","266","265","265","265","264","265","266"
"Holmes County","280","265","266","266","266","266","266","266","266","265"
"Issaquena County","274","259","257","260","259","259","259","258","260","260"
"Jefferson County","280","264","266","266","265","265","265","265","264","264"
"Kemper County","280","266","266","266","266","266","266","266","266","266"
"Leake County","280","266","266","265","266","266","265","265","265","265"
"Marion County","280","266","266","267","267","267","267","267","266","266"
"Stone County","280","266","265","265","266","266","266","266","263","261"
"Winston County","280","266","266","266","266","266","266","265","265","266"
"PRIVATE PRISONS","5,972","5,476","5,479","5,493","5,481","5,481","5,479","5,476","5,471","5,466"
"Delta","972","955","957","957","957","957","956","956","956","954"
"East Mississippi","1,500","1,360","1,361","1,360","1,360","1,360","1,360","1,360","1,359","1,359"
"Marshall County","1,000","983","983","983","983","983","983","983","983","983"
"Walnut Grove","1,500","1,200","1,201","1,216","1,205","1,205","1,204","1,202","1,199","1,197"
"Wilkinson County","1,000","978","977","977","976","976","976","975","974","973"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","12"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","7","9","4","67","68","67","9","9","8"
"TOTALS","24,324","22,669","22,711","22,666","22,676","22,669","22,659","22,649","22,630","22,669"
"","","10-Feb-09","11-Feb-09","12-Feb-09","13-Feb-09","14-Feb-09","15-Feb-09","16-Feb-09","17-Feb-09","18-Feb-09"
