"Location","Capacity","19-Dec-13","20-Dec-13","21-Dec-13","22-Dec-13","23-Dec-13","24-Dec-13","25-Dec-13","26-Dec-13","27-Dec-13"
"Mississippi State Penitentiary","4,648","3,349","3,363","3,358","3,357","3,362","3,359","3,356","3,354","3,356"
"Central Mississippi Correctional Facility","3,557","3,249","3,232","3,232","3,232","3,227","3,223","3,223","3,239","3,236"
"Youthful Offender Unit","42","40","40","40","40","39","39","39","39","38"
"South Mississippi Correctional Institution","3,282","3,211","3,201","3,200","3,197","3,205","3,196","3,194","3,192","3,201"
"County Jails","2,017","2,054","2,055","2,055","2,058","2,057","2,060","2,078","2,024","2,006"
"COMMUNITY WORK CENTERS","1,848","1,366","1,372","1,367","1,365","1,337","1,334","1,334","1,331","1,341"
"Alcorn Satellite Facility","92","91","89","89","89","88","88","88","88","88"
"Bolivar Satellite Facility","102","63","63","63","63","63","63","63","63","63"
"Forrest Satellite Facility","96","79","79","78","78","76","75","75","75","78"
"George Satellite Facility","102","66","69","68","68","67","67","67","69","69"
"Harrison Satellite Facility","102","74","73","73","73","72","72","72","72","72"
"Jackson Satellite Facility","102","61","71","71","71","71","71","71","71","71"
"Jefferson Satellite Facility","102","72","71","69","68","65","65","65","65","65"
"Leflore Satellite Facility","102","63","64","64","64","60","60","60","59","59"
"Madison Satellite Facility","102","68","67","67","66","65","65","65","63","63"
"Noxubee Satellite Facility","92","80","80","80","80","78","78","78","78","78"
"Pike Satellite Facility","93","93","93","93","93","93","93","93","93","93"
"Quitman Satellite Facility","93","89","87","87","87","85","83","83","83","84"
"Rankin Satellite Facility","260","220","221","220","220","214","214","214","213","214"
"Simpson Satellite Facility","102","82","82","82","82","80","80","80","80","85"
"Washington Satellite Facility","102","65","65","65","65","63","63","63","63","63"
"Wilkinson Satellite Facility","102","50","49","49","49","46","46","46","46","46"
"Yazoo Satellite Facility","102","50","49","49","49","51","51","51","50","50"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,463","4,424","4,424","4,422","4,396","4,394","4,393","4,391","4,396"
"Alcorn County","300","299","297","297","297","272","272","272","271","270"
"Bolivar County","369","369","369","369","369","370","370","370","370","370"
"Carroll County","280","280","280","280","279","278","278","278","278","279"
"Chickasaw County","300","297","299","299","298","298","300","300","300","300"
"George County","280","278","276","276","276","277","277","277","279","279"
"Holmes County","280","279","280","280","280","279","279","278","278","279"
"Issaquena County","274","272","273","273","273","274","274","274","274","274"
"Jefferson County","280","280","279","279","279","279","279","279","279","279"
"Kemper County","355","355","355","355","355","355","355","355","354","354"
"Leake County","280","280","280","280","280","278","277","277","276","276"
"Marion County","280","320","280","280","280","280","280","280","280","279"
"Stone County","280","279","280","280","280","280","280","280","280","280"
"Washington County","300","296","297","297","297","297","295","295","295","298"
"Winston County","280","279","280","280","280","278","277","277","277","279"
"Yazoo County","300","300","299","299","299","301","301","301","300","300"
"PRIVATE PRISONS","5,972","4,410","4,412","4,410","4,410","4,398","4,397","4,393","4,396","4,393"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,201","1,202","1,200","1,200","1,200","1,200","1,199","1,199","1,198"
"Marshall County","1,000","999","999","999","999","999","998","999","999","999"
"Walnut Grove","1,500","1,308","1,309","1,309","1,309","1,297","1,297","1,294","1,297","1,295"
"Wilkinson County","1,000","902","902","902","902","902","902","901","901","901"
"RESTITUTION CENTERS","16","11","11","11","11","13","13","13","13","13"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","3","3","5","5","5","5","5"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,826","22,153","22,110","22,097","22,092","22,034","22,015","22,023","21,979","21,980"
