"Location","Capacity","14-Apr-05","15-Apr-05","16-Apr-05","17-Apr-05","18-Apr-05","19-Apr-05","20-Apr-05","21-Apr-05","22-Apr-05","23-Apr-05","24-Apr-05","25-Apr-05","26-Apr-05"
"Mississippi State Penitentiary","4,792","4,576","4,577","4,571","4,571","4,567","4,591","4,587","4,586","4,609","4,608","4,607","4,603","4,599"
"Central Mississippi Correctional Facility","3,233","2,935","2,950","2,950","2,949","2,956","2,953","2,934","2,955","2,941","2,939","2,937","2,940","2,965"
"South Mississippi Correctional Institution","2,214","2,155","2,153","2,151","2,151","2,170","2,165","2,173","2,170","2,167","2,162","2,162","2,156","2,158"
"County Jails","2,327","1,819","1,807","1,807","1,807","1,780","1,781","1,802","1,814","1,804","1,804","1,804","1,803","1,791"
"COMMUNITY WORK CENTERS","1,816","1,776","1,746","1,743","1,742","1,759","1,767","1,775","1,772","1,744","1,740","1,735","1,755","1,748"
"Alcorn Satellite Facility","92","92","91","91","90","91","92","92","92","90","90","90","92","92"
"Bolivar Satellite Facility","102","100","97","96","96","97","100","100","100","100","100","100","100","100"
"Forrest Satellite Facility","96","93","92","92","92","92","92","91","93","90","90","88","90","88"
"George Satellite Facility","102","99","99","99","99","99","99","99","98","97","97","97","98","98"
"Harrison Satellite Facility","102","98","97","97","97","96","95","102","102","99","99","99","99","97"
"Jackson Satellite Facility","102","96","93","92","93","95","94","99","99","98","98","98","98","98"
"Jefferson Satellite Facility","102","102","100","100","100","102","102","100","99","98","98","98","98","96"
"Leflore Satellite Facility","102","102","100","100","99","101","101","102","102","99","99","97","99","98"
"Madison Satellite Facility","102","102","101","101","101","102","102","101","102","101","101","101","102","102"
"Noxubee Satellite Facility","92","92","92","92","92","92","92","91","91","90","90","90","91","91"
"Pike Satellite Facility","93","93","93","92","92","92","92","92","92","90","89","89","89","89"
"Quitman Satellite Facility","93","92","90","90","90","92","92","92","90","85","82","82","85","85"
"Rankin Satellite Facility","228","215","211","211","211","214","213","212","211","210","210","209","209","210"
"Simpson Satellite Facility","102","101","99","99","99","100","100","101","101","100","100","100","101","99"
"Washington Satellite Facility","102","102","99","99","99","101","101","101","101","98","98","98","101","101"
"Wilkinson Satellite Facility","102","95","93","93","93","93","101","101","101","99","99","99","101","102"
"Yazoo Satellite Facility","102","102","99","99","99","100","99","99","98","100","100","100","102","102"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,746","2,744","2,743","2,743","2,740","2,739","2,746","2,748","2,742","2,740","2,735","2,732","2,728"
"Bolivar County","250","249","250","250","250","248","248","250","250","247","246","246","246","246"
"Carroll County","250","250","249","249","249","249","249","248","248","250","250","250","250","250"
"George County","250","250","250","250","250","250","250","249","249","250","250","249","249","248"
"Holmes County","250","250","250","250","250","249","248","249","249","250","249","248","247","247"
"Issaquena County","250","249","248","248","248","248","248","253","252","249","249","247","247","245"
"Jefferson County","250","250","250","250","250","250","250","250","250","248","248","248","247","248"
"Kemper County","250","249","249","248","248","249","248","250","250","249","249","249","249","249"
"Leake County","250","250","250","250","250","250","250","249","250","250","250","250","250","249"
"Marion County","250","250","250","250","250","249","249","249","250","250","250","250","249","248"
"Stone County","250","249","249","249","249","249","250","250","250","249","249","248","248","248"
"Winston County","250","250","249","249","249","249","249","249","250","250","250","250","250","250"
"PRIVATE PRISONS","5,088","4,790","4,780","4,780","4,779","4,788","4,785","4,786","4,789","4,795","4,789","4,783","4,779","4,781"
"Delta","960","960","955","955","955","956","960","958","956","959","957","956","956","956"
"East Mississippi","1,000","868","868","868","868","867","874","874","874","875","871","870","869","872"
"Marshall County","1,000","995","995","995","994","994","994","992","993","995","995","993","992","992"
"Tallahatchie County","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","860","855","855","855","858","846","846","850","851","851","850","849","849"
"Wilkinson County","1,000","979","979","979","979","985","983","988","988","987","987","986","985","984"
"RESTITUTION CENTERS","18","13","13","13","13","14","14","14","14","13","13","13","14","13"
"Greenwood","6","6","5","5","5","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","5","5","5","5","5","5","5","4","4","4","5","4"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","11","30","30","29","7","8","8","8","33","33","0","6","6"
"TOTALS","22,244","20,826","20,805","20,793","20,789","20,786","20,808","20,830","20,861","20,853","20,833","20,781","20,793","20,794"
"","","14-Apr-05","15-Apr-05","16-Apr-05","17-Apr-05","18-Apr-05","19-Apr-05","20-Apr-05","21-Apr-05","22-Apr-05","23-Apr-05","24-Apr-05","25-Apr-05","26-Apr-05"
