"Location","Capacity","1-Jun-05","2-Jun-05","3-Jun-05","4-Jun-05","5-Jun-05","6-Jun-05","7-Jun-05","8-Jun-05","9-Jun-05","10-Jun-05","11-Jun-05","12-Jun-05","13-Jun-05"
"Mississippi State Penitentiary","4,630","4,518","4,530","4,531","4,524","4,521","4,521","4,537","4,545","4,552","4,562","4,561","4,559","4,558"
"Central Mississippi Correctional Facility","3,233","3,011","3,019","3,039","3,039","3,040","3,048","3,045","3,074","3,123","3,136","3,136","3,136","3,133"
"South Mississippi Correctional Institution","2,214","2,200","2,002","2,200","2,199","2,201","2,208","2,197","2,190","2,183","2,183","2,181","2,181","2,202"
"County Jails","2,329","1,798","1,787","1,732","1,732","1,732","1,772","1,796","1,781","1,770","1,751","1,751","1,751","1,720"
"COMMUNITY WORK CENTERS","1,816","1,717","1,712","1,622","1,616","1,617","1,692","1,692","1,690","1,689","1,618","1,615","1,615","1,688"
"Alcorn Satellite Facility","92","90","90","86","86","86","92","92","92","91","83","82","82","91"
"Bolivar Satellite Facility","102","96","94","96","95","95","97","97","97","92","85","85","85","94"
"Forrest Satellite Facility","96","96","95","93","92","92","93","92","91","92","90","90","90","91"
"George Satellite Facility","102","92","90","89","88","88","90","90","92","90","91","91","91","90"
"Harrison Satellite Facility","102","102","101","94","94","94","100","101","101","101","98","98","98","99"
"Jackson Satellite Facility","102","101","101","95","95","95","100","100","100","100","95","95","95","99"
"Jefferson Satellite Facility","102","89","88","80","80","80","86","85","83","82","76","76","76","82"
"Leflore Satellite Facility","102","100","100","92","92","92","100","100","101","101","97","96","96","100"
"Madison Satellite Facility","102","102","99","94","94","94","97","96","95","101","98","98","98","102"
"Noxubee Satellite Facility","92","86","86","78","78","78","85","84","83","84","80","80","80","89"
"Pike Satellite Facility","93","87","89","83","82","82","87","88","87","87","84","84","84","85"
"Quitman Satellite Facility","93","86","86","74","74","75","84","83","83","83","75","75","75","80"
"Rankin Satellite Facility","228","211","211","206","206","206","205","207","210","210","201","201","201","210"
"Simpson Satellite Facility","102","96","100","93","93","93","97","98","97","99","95","95","95","99"
"Washington Satellite Facility","102","94","91","86","86","86","91","91","90","92","92","92","92","93"
"Wilkinson Satellite Facility","102","90","90","88","88","88","90","90","89","85","82","82","82","85"
"Yazoo Satellite Facility","102","99","101","95","93","93","98","98","99","99","96","95","95","99"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,744","2,741","2,733","2,730","2,729","2,734","2,746","2,745","2,744","2,743","2,743","2,743","2,743"
"Bolivar County","250","249","248","248","247","247","246","250","250","250","249","249","249","250"
"Carroll County","250","250","249","248","248","248","249","250","250","250","250","250","250","249"
"George County","250","250","249","248","248","248","248","248","248","249","248","248","248","248"
"Holmes County","250","250","250","248","248","248","250","250","250","249","250","250","250","250"
"Issaquena County","250","247","250","250","249","249","248","248","250","249","247","247","247","250"
"Jefferson County","250","250","249","247","247","247","249","250","249","249","250","250","250","247"
"Kemper County","250","249","249","249","249","249","249","249","249","249","249","249","249","249"
"Leake County","250","250","250","250","250","249","249","250","250","250","250","250","250","250"
"Marion County","250","249","247","248","248","248","250","250","249","249","250","250","250","250"
"Stone County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Winston County","250","250","250","247","246","246","246","251","250","250","250","250","250","250"
"PRIVATE PRISONS","5,088","4,820","4,810","4,823","4,823","4,823","4,821","4,832","4,832","4,834","4,829","4,828","4,828","4,842"
"Delta","960","952","953","961","961","961","959","959","961","960","960","960","960","960"
"East Mississippi","1,000","866","870","869","869","869","869","869","872","871","870","870","870","870"
"Marshall County","1,000","993","993","994","994","994","993","993","992","994","994","993","993","993"
"Tallahatchie County","128","128","128","128","128","128","128","128","128","124","124","124","124","124"
"Walnut Grove","1,000","900","888","893","893","893","895","899","896","901","900","900","900","908"
"Wilkinson County","1,000","981","978","978","978","978","977","984","983","984","981","981","981","987"
"RESTITUTION CENTERS","16","10","12","12","12","12","12","15","15","15","14","14","14","15"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","3","5","5","5","5","5","5","5","5","4","4","4","5"
"Pascagoula","4","1","1","1","1","1","1","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","4","5","91","90","88","6","4","10","9","80","80","79","10"
"TOTALS","22,082","20,827","20,623","20,788","20,770","20,768","20,819","20,869","20,887","20,924","20,921","20,914","20,911","20,916"
"","","1-Jun-05","2-Jun-05","3-Jun-05","4-Jun-05","5-Jun-05","6-Jun-05","7-Jun-05","8-Jun-05","9-Jun-05","10-Jun-05","11-Jun-05","12-Jun-05","13-Jun-05"
