"Location","Capacity","28-Feb-07","","Avg Population"
"Mississippi State Penitentiary","4,534","4,453","","4,476"
"Central Mississippi Correctional Facility","3,381","3,441","","3,412"
"South Mississippi Correctional Institution","2,484","2,310","","2,288"
"County Jails","1,727","1,807","","1,876"
"COMMUNITY WORK CENTERS","1,816","1,771","","1,728"
"Alcorn Satellite Facility","92","92","","89"
"Bolivar Satellite Facility","102","100","","97"
"Forrest Satellite Facility","96","95","","94"
"George Satellite Facility","102","102","","100"
"Harrison Satellite Facility","102","100","","98"
"Jackson Satellite Facility","102","99","","99"
"Jefferson Satellite Facility","102","101","","98"
"Leflore Satellite Facility","102","102","","95"
"Madison Satellite Facility","102","100","","101"
"Noxubee Satellite Facility","92","90","","89"
"Pike Satellite Facility","93","89","","86"
"Quitman Satellite Facility","93","85","","80"
"Rankin Satellite Facility","228","215","","210"
"Simpson Satellite Facility","102","101","","99"
"Washington Satellite Facility","102","102","","97"
"Wilkinson Satellite Facility","102","98","","98"
"Yazoo Satellite Facility","102","100","","100"
"REGIONAL CORRECTIONAL FACILITIES","3,082","3,074","","3,069"
"Bolivar County","294","293","","293"
"Carroll County","280","280","","278"
"George County","280","278","","278"
"Holmes County","280","280","","279"
"Issaquena County","274","274","","272"
"Jefferson County","274","273","","273"
"Kemper County","280","276","","278"
"Leake County","280","280","","279"
"Marion County","280","281","","279"
"Stone County","280","279","","279"
"Winston County","280","280","","280"
"PRIVATE PRISONS","5,100","4,905","","4,859"
"Delta","972","972","","969"
"East Mississippi","1,000","890","","863"
"Marshall County","1,000","993","","994"
"Tallahatchie County","128","128","","128"
"Walnut Grove","1,000","955","","945"
"Wilkinson County","1,000","967","","959"
"RESTITUTION CENTERS","16","12","","12"
"Greenwood","6","3","","4"
"Hinds","6","6","","6"
"Pascagoula","4","3","","3"
"GOVERNOR'S MANSION","6","5","","5"
"E-CODE","","5","","33"
"TOTALS","22,146","21,783","","21,758"
"","","28-Feb-07","",""
