"Location","Capacity","1-Mar-03","2-Mar-03","3-Mar-03","4-Mar-03","5-Mar-03","6-Mar-03","7-Mar-03","8-Mar-03","9-Mar-03","10-Mar-03","11-Mar-03","12-Mar-03","13-Mar-03"
"MS STATE PENITENTIARY","5,711","5,587","5,587","5,579","5,598","5,590","5,603","5,594","5,592","5,591","5,599","5,601","5,595","5,597"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,033","3,035","3,071","3,089","3,118","3,125","3,141","3,140","3,136","3,134","3,147","3,159","3,176"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,162","2,163","2,147","2,160","2,159","2,151","2,157","2,158","2,157","2,154","2,155","2,177","2,175"
"COUNTY JAILS","2,133","2,133","2,133","2,115","2,089","2,077","2,077","2,065","2,065","2,065","2,103","2,095","2,093","2,069"
"COMMUNITY WORK CENTERS","1,350","1,246","1,246","1,285","1,285","1,285","1,283","1,231","1,231","1,230","1,280","1,282","1,294","1,287"
"Alcorn Satellite Facility","75","64","64","68","67","69","69","67","67","67","68","68","74","74"
"Bolivar Satellite Facility","75","70","70","73","73","73","73","70","70","70","72","75","74","73"
"Forrest Satellite Facility","75","69","69","72","73","73","74","71","71","71","74","74","74","73"
"George Satellite Facility","75","68","68","73","74","74","73","70","70","70","74","74","74","74"
"Harrison Satellite Facility","75","71","71","74","74","74","74","73","73","73","74","74","74","75"
"Jackson Satellite Facility","75","69","69","75","75","75","75","73","73","73","75","75","75","75"
"Jefferson Satellite Facility","75","73","73","74","73","71","71","65","65","65","74","74","74","74"
"Leflore Satellite Facility","75","73","73","75","74","74","74","70","70","70","73","73","73","71"
"Madison Satellite Facility","75","73","73","74","75","75","75","72","72","72","75","75","75","75"
"Noxubee Satellite Facility","75","71","71","74","74","74","75","70","70","69","74","74","74","74"
"Pike Satellite Facility","75","53","53","53","55","54","54","56","56","56","55","55","56","55"
"Quitman Satellite Facility","75","55","55","57","57","55","55","51","51","51","55","54","56","55"
"Rankin Satellite Facility","150","146","146","147","147","150","148","141","141","141","147","147","148","147"
"Simpson Satellite Facility","75","72","72","75","75","75","74","70","70","70","73","73","75","74"
"Washington Satellite Facility","75","75","75","75","74","74","74","74","74","74","74","74","73","73"
"Wilkinson Satellite Facility","75","71","71","73","72","72","71","65","65","65","69","69","70","70"
"Yazoo Satellite Facility","75","73","73","73","73","73","74","73","73","73","74","74","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,480","2,478","2,475","2,474","2,475","2,476","2,483","2,483","2,482","2,482","2,485","2,484","2,482"
"Bolivar County","250","225","224","223","222","226","226","226","226","226","226","226","226","225"
"Carroll County","250","225","224","224","224","226","225","227","227","226","226","226","226","226"
"George County (opened on May 10th)","250","225","225","225","225","225","225","225","225","225","224","226","225","225"
"Holmes County","250","226","226","225","224","223","223","226","226","226","226","226","226","226"
"Issaquena County","250","226","226","225","225","223","225","225","225","225","225","225","225","225"
"Jefferson County","250","223","223","224","224","224","224","225","225","225","225","225","225","226"
"Kemper County","250","222","222","225","225","224","224","226","226","226","225","225","226","226"
"Leake County","250","227","227","227","227","226","226","226","226","226","226","227","226","226"
"Marion County","250","227","227","225","226","226","227","227","227","227","227","227","227","227"
"Stone County","250","227","227","226","226","226","225","224","224","224","226","226","226","225"
"Winston County","250","227","227","226","226","226","226","226","226","226","226","226","226","225"
"PRIVATE PRISONS","3,750","3,374","3,372","3,371","3,370","3,370","3,368","3,363","3,363","3,362","3,362","3,377","3,369","3,374"
"Delta (Closed)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East MS","1,000","689","689","688","688","689","689","689","689","688","688","688","688","687"
"Marshall County","1,000","984","983","983","982","981","980","978","978","978","978","987","979","986"
"Walnut Grove","750","715","715","715","715","715","713","710","710","710","710","713","713","713"
"Wilkinson County","1,000","986","985","985","985","985","986","986","986","986","986","989","989","988"
"RESITITUTION CENTERS","24","13","13","13","13","13","13","11","11","11","14","14","14","13"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","4","4","4","4","4","4","3","3","3","5","5","5","5"
"Pascagoula","6","3","3","3","3","3","3","2","2","2","3","3","3","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","5","5","5","6","6","6","6"
"TOTALS","21,171","20,034","20,033","20,062","20,084","20,093","20,102","20,050","20,048","20,039","20,134","20,162","20,191","20,179"
