"Location","Capacity","17-Oct-16","18-Oct-16","19-Oct-16","20-Oct-16","21-Oct-16","22-Oct-16","23-Oct-16"
"Mississippi State Penitentiary","3,590","3,336","3,332","3,330","3,341","3,319","3,317","3,318"
"Central Mississippi Correctional Facility","3,858","3,486","3,503","3,499","3,479","3,460","3,460","3,462"
"Youthful Offender Unit","58","34","34","34","35","35","35","35"
"CMCF TVC","","25","14","14","19","26","26","26"
"South Mississippi Correctional Institution","3,082","2,965","2,977","2,970","2,960","2,968","2,968","2,968"
"County Jails","1,781","1,309","1,300","1,294","1,280","1,271","1,271","1,270"
"COMMUNITY WORK CENTERS","1,348","974","968","970","966","977","977","976"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","65","65","66","65","63","63","63"
"George Satellite Facility","102","83","84","84","82","79","79","79"
"Harrison Satellite Facility","102","54","54","53","53","51","51","51"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0"
"Leflore TVC","82","59","57","57","57","71","71","70"
"Leflore TVC Support","20","14","13","13","13","13","14","14"
"Madison Satellite Facility","102","75","75","75","70","69","69","69"
"Noxubee Satellite Facility","92","71","69","69","72","75","75","75"
"Pike Satellite Facility","93","82","82","87","90","90","90","90"
"Quitman Satellite Facility","93","66","65","67","63","65","65","65"
"Rankin Satellite Facility","182","150","149","150","150","148","147","147"
"Rankin RID","28","6","6","6","6","6","6","6"
"Flowood TVC","50","29","29","28","27","27","27","27"
"Simpson TVC","82","71","70","67","67","70","70","70"
"Simpson TVC Support","20","11","11","11","11","10","10","10"
"Washington Satellite Facility","102","70","71","70","70","71","71","71"
"Wilkinson Satellite Facility","102","68","68","67","70","69","69","69"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,028","4,025","4,036","4,067","4,067","4,065","4,063"
"Alcorn County","300","270","265","270","270","270","269","270"
"Bolivar County","369","289","293","292","288","293","293","293"
"Carroll County","280","268","267","270","270","269","269","269"
"Chickasaw County","300","276","280","279","280","289","289","289"
"George County","280","266","265","265","279","279","279","278"
"Holmes County","280","277","277","280","280","280","279","279"
"Issaquena County","274","268","270","269","268","270","270","270"
"Jefferson County","280","265","265","264","268","269","269","269"
"Kemper County","355","279","274","273","273","273","273","273"
"Leake County","280","194","193","193","200","200","200","200"
"Marion County","280","268","268","270","272","270","270","270"
"Stone County","280","320","320","325","326","325","325","325"
"Washington County","300","230","230","229","229","224","224","223"
"Winston County","280","265","266","268","265","261","261","260"
"Yazoo County","300","293","292","289","299","295","295","295"
"PRIVATE PRISONS","5,972","3,055","3,062","3,068","3,061","3,062","3,062","3,060"
"Delta","972","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,167","1,166","1,170","1,165","1,167","1,167","1,167"
"Marshall County","1,000","996","999","997","995","994","994","993"
"Walnut Grove","1,500","0","0","0","0","0","0","0"
"Wilkinson County","1,000","892","897","901","901","901","901","900"
"RESTITUTION CENTERS","16","14","14","14","14","13","13","13"
"Greenwood","6","6","6","6","6","5","5","5"
"Hinds","6","5","5","5","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3"
"TOTALS","24,143","19,226","19,229","19,229","19,222","19,198","19,194","19,191"
"","","17-Oct-16","18-Oct-16","19-Oct-16","20-Oct-16","21-Oct-16","22-Oct-16","23-Oct-16"
