"Location","Capacity","28-Jun-16","29-Jun-16","30-Jun-16","Avg Population"
"Mississippi State Penitentiary","3,590","3,381","3,380","3,380","3,379"
"Central Mississippi Correctional Facility","3,506","3,090","3,082","3,082","3,036"
"Youthful Offender Unit","58","33","33","33","32"
"CMCF TVC","","13","13","13","8"
"South Mississippi Correctional Institution","3,082","2,990","2,997","2,997","2,997"
"County Jails","1,986","1,563","1,538","1,538","1,536"
"COMMUNITY WORK CENTERS","1,848","1,140","1,131","1,131","1,149"
"Alcorn Satellite Facility","92","0","0","0","0"
"Bolivar Satellite Facility","102","17","16","16","20"
"Forrest Satellite Facility","96","69","68","68","71"
"George Satellite Facility","102","93","93","93","89"
"Harrison Satellite Facility","102","72","72","72","74"
"Jackson Satellite Facility","102","0","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","0"
"Leflore TVC","82","70","66","66","72"
"Leflore TVC Support","20","17","16","16","18"
"Madison Satellite Facility","102","95","94","94","97"
"Noxubee Satellite Facility","92","89","89","89","88"
"Pike Satellite Facility","93","90","90","90","88"
"Quitman Satellite Facility","93","81","84","84","84"
"Rankin Satellite Facility","260","172","170","170","168"
"Flowood TVC","","27","26","26","31"
"Simpson TVC","82","65","65","65","68"
"Simpson TVC Support","20","15","15","15","15"
"Washington Satellite Facility","102","96","97","97","98"
"Wilkinson Satellite Facility","102","72","70","70","67"
"Yazoo Satellite Facility","102","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,496","3,505","3,505","3,459"
"Alcorn County","240","235","235","235","239"
"Bolivar County","369","291","291","291","293"
"Carroll County","280","238","240","240","239"
"Chickasaw County","300","238","240","240","240"
"George County","280","200","199","199","199"
"Holmes County","280","199","199","199","200"
"Issaquena County","274","268","269","269","256"
"Jefferson County","280","270","269","269","256"
"Kemper County","355","258","260","260","258"
"Leake County","280","198","200","200","199"
"Marion County","280","200","200","200","203"
"Stone County","280","239","240","240","220"
"Washington County","300","224","224","224","223"
"Winston County","280","201","202","202","199"
"Yazoo County","300","237","237","237","236"
"PRIVATE PRISONS","5,972","3,854","3,873","3,873","3,876"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,097","1,123","1,123","1,093"
"Marshall County","1,000","1,000","1,000","1,000","999"
"Walnut Grove","1,500","858","854","854","890"
"Wilkinson County","1,000","899","896","896","894"
"RESTITUTION CENTERS","16","15","17","17","15"
"Greenwood","6","6","6","6","6"
"Hinds","6","6","6","6","6"
"Pascagoula","4","3","5","5","3"
"TOTALS","24,436","19,575","19,569","19,569","19,486"
