"Location","Capacity","10-Nov-10","11-Nov-10","12-Nov-10","13-Nov-10","14-Nov-10","15-Nov-10","16-Nov-10","17-Nov-10","18-Nov-10"
"Mississippi State Penitentiary","4,435","3,249","3,242","3,249","3,248","3,247","3,245","3,247","3,243","3,246"
"Central Mississippi Correctional Facility","3,449","3,145","3,142","3,121","3,122","3,121","3,127","3,134","3,139","3,153"
"South Mississippi Correctional Institution","3,204","3,171","3,169","3,163","3,161","3,162","3,157","3,168","3,171","3,162"
"County Jails","1,539","1,621","1,624","1,631","1,631","1,631","1,618","1,604","1,598","1,595"
"COMMUNITY WORK CENTERS","1,848","1,582","1,581","1,551","1,547","1,548","1,541","1,543","1,556","1,554"
"Alcorn Satellite Facility","92","79","79","79","79","79","78","78","78","77"
"Bolivar Satellite Facility","102","78","78","78","78","78","82","81","81","81"
"Forrest Satellite Facility","96","76","76","76","76","76","75","74","74","74"
"George Satellite Facility","102","91","91","85","85","85","87","87","88","88"
"Harrison Satellite Facility","102","79","79","75","75","75","71","71","76","75"
"Jackson Satellite Facility","102","75","75","72","72","72","75","75","75","75"
"Jefferson Satellite Facility","102","97","97","94","94","94","94","93","90","94"
"Leflore Satellite Facility","102","81","81","81","81","81","77","77","77","77"
"Madison Satellite Facility","102","97","97","100","100","100","101","100","99","97"
"Noxubee Satellite Facility","92","88","88","86","84","84","84","85","85","85"
"Pike Satellite Facility","93","91","91","90","90","90","87","87","91","91"
"Quitman Satellite Facility","93","79","79","78","78","78","78","78","81","79"
"Rankin Satellite Facility","260","216","215","215","213","214","209","210","209","208"
"Simpson Satellite Facility","102","100","100","96","96","96","96","96","95","95"
"Washington Satellite Facility","102","78","78","77","77","77","78","77","77","76"
"Wilkinson Satellite Facility","102","80","80","77","77","77","78","83","83","83"
"Yazoo Satellite Facility","102","97","97","92","92","92","91","91","97","99"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,005","3,002","3,006","3,005","3,004","3,004","3,006","3,010","3,013"
"Bolivar County","294","234","234","233","233","233","233","232","235","238"
"Carroll County","280","225","225","225","225","225","222","222","224","223"
"Chickasaw County","300","239","239","240","240","240","240","240","240","239"
"George County","280","226","226","221","221","221","220","224","224","224"
"Holmes County","280","224","224","224","223","223","224","224","224","224"
"Issaquena County","274","219","219","219","219","219","219","220","220","220"
"Jefferson County","280","220","219","223","223","223","224","224","224","224"
"Kemper County","355","280","279","283","283","283","284","284","283","284"
"Leake County","280","225","225","225","225","225","225","225","225","225"
"Marion County","280","224","224","224","224","223","223","224","224","224"
"Stone County","280","224","223","223","223","223","224","222","222","224"
"Winston County","280","222","222","224","224","224","224","224","224","224"
"Yazoo County","300","243","243","242","242","242","242","241","241","240"
"PRIVATE PRISONS","5,972","5,253","5,250","5,255","5,254","5,254","5,256","5,254","5,259","5,262"
"Delta","972","900","900","900","900","900","903","902","901","903"
"East Mississippi","1,500","1,359","1,358","1,358","1,358","1,358","1,357","1,356","1,364","1,363"
"Marshall County","1,000","935","934","934","934","934","934","934","935","934"
"Walnut Grove","1,500","1,200","1,199","1,204","1,203","1,203","1,199","1,199","1,197","1,200"
"Wilkinson County","1,000","859","859","859","859","859","863","863","862","862"
"RESTITUTION CENTERS","16","10","10","9","9","9","9","9","9","9"
"Greenwood","6","5","5","4","4","4","5","5","5","5"
"Hinds","6","3","3","3","3","3","2","2","2","2"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","7","11","43","44","0","7","6","6","6"
"TOTALS","24,232","21,048","21,036","21,033","21,026","20,981","20,969","20,976","20,996","21,005"
"","","10-Nov-10","11-Nov-10","12-Nov-10","13-Nov-10","14-Nov-10","15-Nov-10","16-Nov-10","17-Nov-10","18-Nov-10"
