"Location","Capacity","11-Oct-16","12-Oct-16","13-Oct-16","14-Oct-16","15-Oct-16","16-Oct-16"
"Mississippi State Penitentiary","3590","3373","3362","3,365","3348","3347","3345"
"Central Mississippi Correctional Facility","3,818","3,504","3,493","3,438","3,452","3,450","3,450"
"Youthful Offender Unit","58","37","37","37","37","35","34"
"CMCF TVC","","27","26","26","25","25","25"
"South Mississippi Correctional Institution","3,082","2,959","2,968","2,965","2,971","2,970","2,997"
"County Jails","1,781","1,340","1,315","1,323","1,319","1,319","1,319"
"COMMUNITY WORK CENTERS","1,348","967","972","982","969","969","968"
"Alcorn Satellite Facility","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","67","67","67","67","67","67"
"George Satellite Facility","102","83","83","82","81","81","81"
"Harrison Satellite Facility","102","54","54","54","51","51","51"
"Jackson Satellite Facility","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0"
"Leflore TVC","82","52","50","63","60","60","59"
"Leflore TVC Support","20","13","13","15","15","15","15"
"Madison Satellite Facility","102","71","74","74","76","76","76"
"Noxubee Satellite Facility","92","73","73","72","69","69","69"
"Pike Satellite Facility","93","85","88","86","78","78","78"
"Quitman Satellite Facility","93","72","69","69","67","66","66"
"Rankin Satellite Facility","182","149","149","150","148","148","148"
"Rankin RID","28","5","5","5","7","7","7"
"Flowood TVC","50","28","28","28","29","29","29"
"Simpson TVC","82","69","69","68","73","73","73"
"Simpson TVC Support","20","11","11","11","11","11","11"
"Washington Satellite Facility","102","70","73","72","69","70","70"
"Wilkinson Satellite Facility","102","65","66","66","68","68","68"
"Yazoo Satellite Facility","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,997","4,028","4,046","4,053","4,051","4,049"
"Alcorn County","300","268","267","266","270","270","270"
"Bolivar County","369","294","294","292","290","290","290"
"Carroll County","280","268","268","271","270","270","270"
"Chickasaw County","300","268","270","270","280","280","279"
"George County","280","263","266","270","267","267","267"
"Holmes County","280","266","266","279","279","279","278"
"Issaquena County","274","266","265","265","270","270","270"
"Jefferson County","280","267","267","269","267","267","267"
"Kemper County","355","280","280","279","279","279","279"
"Leake County","280","195","198","200","197","197","197"
"Marion County","280","264","270","270","270","270","270"
"Stone County","280","323","323","320","321","320","320"
"Washington County","300","231","231","231","231","230","230"
"Winston County","280","268","270","269","267","267","267"
"Yazoo County","300","276","293","295","295","295","295"
"PRIVATE PRISONS","5,972","3,067","3,068","3,060","3,059","3,057","3,057"
"Delta","972","0","0","0","0","0","0"
"East Mississippi","1,500","1,170","1,172","1,169","1,169","1,167","1,167"
"Marshall County","1,000","999","999","998","997","997","997"
"Walnut Grove","1,500","0","0","0","0","0","0"
"Wilkinson County","1,000","898","897","893","893","893","893"
"RESTITUTION CENTERS","16","13","13","13","13","13","13"
"Greenwood","6","5","5","5","5","5","5"
"Hinds","6","5","5","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3"
"TOTALS","24,103","19,284","19,282","19,255","19,246","19,236","19,257"
"","","11-Oct-16","12-Oct-16","13-Oct-16","14-Oct-16","15-Oct-16","16-Oct-16"
