"Location","Capacity","1-Aug-19","","2-Aug-19","3-Aug-19","4-Aug-19","5-Aug-19","6-Aug-19","7-Aug-19","8-Aug-19","9-Aug-19","10-Aug-19","11-Aug-19","12-Aug-19","13-Aug-19","14-Aug-19","15-Aug-19","16-Aug-19","17-Aug-19"
"Mississippi State Penitentiary","3,560","3,244","3,620","3,259","3,258","3,253","3,283","3,272","3,286","3,296","3,294","3,293","3,283","3,258","3,250","3,259","3,265","3,199"
"Central Mississippi Correctional Facility","4,131","3,694","3,662","3,660","3,660","3,642","3,649","3,665","3,629","3,618","3,614","3,611","3,642","3,616","3,632","3,634","3,610","3,767"
"Youthful Offender Unit","58","23","23","23","23","23","23","23","23","23","23","23","23","23","24","24","24","26"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","2,641","2,632","2,630","2,630","2,643","2,647","2,645","2,646","2,653","2,653","2,652","2,648","2,659","2,657","2,650","2,661","2,646"
"County Jails","1,793","1,225","1,262","1,262","1,262","1,255","1,323","1,227","1,240","1,226","1,226","1,226","1,227","1,231","1,225","1,264","1,288","1,268"
"COMMUNITY WORK CENTERS","1,372","1,015","1,038","1,035","1,029","1,058","1,049","1,044","1,041","1,029","1,027","1,017","1,034","1,036","1,048","1,031","1,015","1,040"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","85","84","84","83","84","84","83","82","81","81","81","82","89","88","89","88","88"
"Delta TVC","324","309","309","306","302","311","301","301","301","298","298","292","306","302","313","298","289","321"
"Forrest Satellite Facility","96","82","80","80","80","84","84","82","81","80","80","80","79","78","78","78","76","76"
"George Satellite Facility","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Satellite Facility","102","47","47","47","47","47","47","47","47","47","47","47","46","45","45","46","46","46"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","82","80","80","80","80","81","81","81","80","80","80","82","83","83","82","81","81"
"Noxubee Satellite Facility","58","46","46","46","46","47","47","47","47","47","47","47","46","46","46","46","45","45"
"Pike Satellite Facility","93","78","85","85","85","85","84","83","84","84","84","84","83","82","83","83","81","81"
"Quitman Satellite Facility","93","41","64","64","64","65","65","65","65","65","65","65","65","65","65","65","64","64"
"Rankin Satellite Facility","178","143","143","143","143","144","144","144","143","138","138","138","142","144","144","144","140","140"
"Rankin RID","28","15","15","15","15","15","15","15","14","14","14","14","14","14","14","14","14","14"
"Flowood TVC","50","30","30","30","29","39","39","38","38","37","35","31","32","31","32","32","32","25"
"Simpson TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","57","55","55","55","57","58","58","58","58","58","58","57","57","57","54","59","59"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,304","4,315","4,314","4,313","4,308","4,304","4,297","4,287","4,295","4,295","4,292","4,283","4,296","4,279","4,281","4,280","4,288"
