"Location","Capacity","","28-May-11 29-May-11 30-May-11 31-May-11 Avg Population","","",""
"Mississippi State Penitentiary","3,356","3,170","3,170","3,171","3,166","3,158"
"Central Mississippi Correctional Facility","3,449","3,218","3,218","3,219","3,240","3,236"
"South Mississippi Correctional Institution","3,204","3,179","3,179","3,178","3,158","3,167"
"County Jails","1,680","1,842","1,842","1,844","1,828","1,814"
"COMMUNITY WORK CENTERS","1,848","1,501","1,501","1,497","1,493","1,488"
"Alcorn Satellite Facility","92","84","84","84","84","80"
"Bolivar Satellite Facility","102","83","83","83","82","76"
"Forrest Satellite Facility","96","84","84","84","83","82"
"George Satellite Facility","102","74","74","74","79","83"
"Harrison Satellite Facility","102","76","76","76","75","79"
"Jackson Satellite Facility","102","89","89","88","87","88"
"Jefferson Satellite Facility","102","75","75","75","73","74"
"Leflore Satellite Facility","102","91","91","91","91","87"
"Madison Satellite Facility","102","87","87","86","85","90"
"Noxubee Satellite Facility","92","81","81","81","81","79"
"Pike Satellite Facility","93","83","83","83","83","77"
"Quitman Satellite Facility","93","74","75","75","75","73"
"Rankin Satellite Facility","260","189","189","188","187","186"
"Simpson Satellite Facility","102","88","88","88","87","90"
"Washington Satellite Facility","102","84","83","82","82","82"
"Wilkinson Satellite Facility","102","79","79","79","79","77"
"Yazoo Satellite Facility","102","80","80","80","80","86"
"REGIONAL CORRECTIONAL FACILITIES","3,763","3,022","3,020","3,018","3,023","3,019"
"Bolivar County","294","234","234","234","233","234"
"Carroll County","280","224","224","224","224","224"
"Chickasaw County","300","248","248","248","248","247"
"George County","280","224","224","224","223","223"
"Holmes County","280","223","223","223","224","223"
"Issaquena County","274","219","219","219","219","217"
"Jefferson County","280","223","223","223","224","223"
"Kemper County","355","285","285","285","285","284"
"Leake County","280","223","223","223","224","223"
"Marion County","280","224","224","224","224","224"
"Stone County","280","224","223","221","222","223"
"Winston County","280","223","223","223","223","223"
"Yazoo County","300","248","247","247","250","251"
"PRIVATE PRISONS","5,972","5,132","5,130","5,128","5,126","5,145"
"Delta","972","900","900","900","899","899"
"East Mississippi","1,500","1,354","1,353","1,353","1,351","1,354"
"Marshall County","1,000","1,000","999","999","999","994"
"Walnut Grove","1,500","994","994","994","995","1,012"
"Wilkinson County","1,000","884","884","882","882","885"
"RESTITUTION CENTERS","16","12","12","11","11","8"
"Greenwood","6","6","6","5","5","5"
"Hinds","6","6","6","6","6","3"
"Pascagoula","4","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5"
"E-CODE","0","4","3","5","6","17"
"TOTALS","23,294","21,085","21,080","21,076","21,056","21,057"
"","","","28-May-11 29-May-11 30-May-11 31-May-11","","",""
