"Location","Capacity","10-Oct-13","11-Oct-13","12-Oct-13","13-Oct-13","14-Oct-13","15-Oct-13","16-Oct-13","17-Oct-13","18-Oct-13"
"Mississippi State Penitentiary","4,648","3,358","3,358","3,356","3,354","3,357","3,371","3,367","3,357","3,349"
"Central Mississippi Correctional Facility","3,557","3,287","3,297","3,295","3,291","3,307","3,302","3,280","3,267","3,279"
"Youthful Offender Unit","42","39","39","39","39","39","39","39","40","39"
"South Mississippi Correctional Institution","3,282","3,229","3,222","3,217","3,216","3,214","3,214","3,227","3,228","3,208"
"County Jails","1,882","2,221","2,202","2,202","2,202","2,213","2,217","2,215","2,216","2,224"
"COMMUNITY WORK CENTERS","1,848","1,420","1,395","1,393","1,392","1,415","1,410","1,397","1,398","1,382"
"Alcorn Satellite Facility","92","86","88","88","88","88","90","90","92","92"
"Bolivar Satellite Facility","102","69","69","69","69","70","70","68","67","63"
"Forrest Satellite Facility","96","68","67","67","67","69","69","68","68","69"
"George Satellite Facility","102","62","60","60","60","60","60","59","57","53"
"Harrison Satellite Facility","102","83","78","78","78","84","83","83","84","80"
"Jackson Satellite Facility","102","72","66","66","66","72","72","72","71","70"
"Jefferson Satellite Facility","102","71","69","69","69","71","69","69","70","70"
"Leflore Satellite Facility","102","72","71","71","71","71","71","71","69","69"
"Madison Satellite Facility","102","74","74","73","73","72","70","70","69","72"
"Noxubee Satellite Facility","92","76","74","74","73","75","74","73","71","70"
"Pike Satellite Facility","93","92","91","91","91","91","91","90","90","90"
"Quitman Satellite Facility","93","89","89","88","88","87","86","86","84","82"
"Rankin Satellite Facility","260","222","219","219","219","221","222","220","220","218"
"Simpson Satellite Facility","102","101","100","100","100","100","100","97","100","100"
"Washington Satellite Facility","102","71","71","71","71","72","71","70","72","71"
"Wilkinson Satellite Facility","102","48","46","46","46","48","48","48","51","51"
"Yazoo Satellite Facility","102","64","63","63","63","64","64","63","63","62"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,424","4,425","4,420","4,420","4,413","4,417","4,427","4,430","4,426"
"Alcorn County","300","298","298","298","298","298","297","298","298","297"
"Bolivar County","369","366","367","367","367","367","369","369","369","368"
"Carroll County","280","280","278","278","278","276","278","280","280","280"
"Chickasaw County","300","299","299","298","298","298","297","299","300","300"
"George County","280","277","278","278","278","279","279","279","279","280"
"Holmes County","280","280","280","280","280","279","279","280","280","280"
"Issaquena County","274","275","275","275","275","275","275","274","274","274"
"Jefferson County","280","281","280","279","279","278","280","280","280","280"
"Kemper County","355","355","355","355","355","354","354","355","355","354"
"Leake County","280","278","278","278","278","275","277","277","277","276"
"Marion County","280","278","281","280","280","280","278","279","279","279"
"Stone County","280","281","281","281","281","281","281","281","281","281"
"Washington County","300","297","297","295","295","295","294","300","300","300"
"Winston County","280","279","278","278","278","279","279","277","278","277"
"Yazoo County","300","300","300","300","300","299","300","299","300","300"
"PRIVATE PRISONS","5,972","4,423","4,427","4,425","4,425","4,429","4,433","4,434","4,440","4,418"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,200","1,199","1,198","1,198","1,199","1,200","1,198","1,200","1,200"
"Marshall County","1,000","996","995","995","995","993","993","998","999","997"
"Walnut Grove","1,500","1,325","1,332","1,332","1,332","1,336","1,339","1,338","1,342","1,323"
"Wilkinson County","1,000","902","901","900","900","901","901","900","899","898"
"RESTITUTION CENTERS","16","11","11","11","11","11","11","11","11","11"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,691","22,412","22,376","22,358","22,350","22,398","22,414","22,397","22,387","22,336"
