"Location","Capacity","19-Jun-15","20-Jun-15","21-Jun-15","22-Jun-15","23-Jun-15","24-Jun-15","25-Jun-15","26-Jun-15","27-Jun-15"
"Mississippi State Penitentiary","4,648","3,089","3,088","3,089","3,090","3,090","3,089","3,089","3,088","3,088"
"MSP TVC","108","95","94","95","96","96","95","95","94","94"
"Central Mississippi Correctional Facility","3,469","2,519","2,518","2,519","2,520","2,520","2,519","2,519","2,518","2,518"
"Youthful Offender Unit","58","24","23","23","24","24","23","23","22","22"
"CMCF TVC","158","136","135","135","136","136","135","135","134","134"
"South Mississippi Correctional Institution 3,282","","2,530","2,529","2,529","2,529","2,529","2,528","2,528","2,527","2,527"
"SMCI TVC","0","94","93","93","93","93","92","92","91","91"
"County Jails","2,006","1,308","1,307","1,307","1,308","1,308","1,307","1,307","1,306","1,306"
"COMMUNITY WORK CENTERS","1,848","1,114","1,098","1,098","1,114","1,114","1,101","1,101","1,085","1,085"
"Alcorn Satellite Facility","92","47","46","46","47","47","46","46","45","45"
"Bolivar Satellite Facility","102","53","52","52","53","53","52","52","51","51"
"Forrest Satellite Facility","96","52","51","51","52","52","51","51","50","50"
"George Satellite Facility","102","53","52","52","53","53","53","53","52","52"
"Harrison Satellite Facility","102","50","49","49","50","50","51","51","50","50"
"Jackson Satellite Facility","102","57","56","56","57","57","56","56","55","55"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","54","53","53","54","54","53","53","52","52"
"Madison Satellite Facility","102","66","65","65","66","66","65","65","64","64"
"Noxubee Satellite Facility","92","60","59","59","60","60","59","59","58","58"
"Pike Satellite Facility","93","92","91","91","92","92","91","91","90","90"
"Quitman Satellite Facility","93","64","63","63","64","64","63","63","62","62"
"Rankin Satellite Facility","260","185","184","184","185","185","184","184","183","183"
"Simpson Satellite Facility","102","89","88","88","89","89","88","88","87","87"
"Washington Satellite Facility","102","55","54","54","55","55","54","54","53","53"
"Wilkinson Satellite Facility","102","57","56","56","57","57","56","56","55","55"
"Yazoo Satellite Facility","102","80","79","79","80","80","79","79","78","78"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,156","4,154","4,152","4,167","4,176","4,161","4,162","4,147","4,145"
"Alcorn County","300","300","299","299","300","300","299","299","298","298"
"Bolivar County","369","344","343","343","344","344","343","343","342","342"
"Carroll County","280","265","265","265","266","266","265","265","264","264"
"Chickasaw County","300","298","298","298","299","299","298","298","297","297"
"George County","280","264","264","264","265","265","264","264","263","263"
"Holmes County","280","261","261","261","262","262","261","261","260","260"
"Issaquena County","274","247","247","247","248","249","248","248","247","247"
"Jefferson County","280","262","262","262","263","264","263","263","262","262"
"Kemper County","355","340","340","340","341","342","341","341","340","340"
"Leake County","280","259","259","259","260","261","260","260","259","259"
"Marion County","280","266","266","266","267","268","267","267","266","266"
"Stone County","280","272","272","272","273","274","273","273","272","272"
"Washington County","300","229","229","229","230","231","230","230","229","229"
"Winston County","280","264","263","262","263","264","263","263","262","261"
"Yazoo County","300","285","286","285","286","287","286","287","286","285"
"PRIVATE PRISONS","5,972","3,936","3,940","3,936","3,938","3,942","3,934","3,938","3,934","3,930"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,126","1,127","1,126","1,127","1,128","1,126","1,127","1,126","1,125"
"Marshall County","1,000","993","994","993","994","995","993","994","993","992"
"Walnut Grove","1,500","921","922","921","921","922","920","921","920","919"
"Wilkinson County","1,000","896","897","896","896","897","895","896","895","894"
"RESTITUTION CENTERS","16","0","0","0","0","0","0","0","0","0"
"Greenwood","6","5","6","5","5","6","4","5","3","2"
"Hinds","6","4","5","4","4","5","3","4","2","1"
"Pascagoula","4","3","4","3","3","4","2","3","1","0"
"TOTALS","25,737","19,013","18,994","18,988","19,027","19,043","18,993","19,001","18,952","18,943"
"","","19-Jun-15","20-Jun-15","21-Jun-15","22-Jun-15","23-Jun-15","24-Jun-15","25-Jun-15","26-Jun-15","27-Jun-15"
