"Location","Capacity","","1-May-15 2-May-15 3-May-15 4-May-15 5-May-15 6-May-15 7-May-15 8-May-15 9-May-15","","","","","","",""
"Mississippi State Penitentiary","4,648","3,166","3,259","3,160","3,162","3,163","3,153","3,134","3,127","3,124"
"MSP TVC","108","97","97","97","88","86","83","89","89","89"
"Central Mississippi Correctional Facility","3,469","2,418","2,414","2,410","2,410","2,409","2,424","2,438","2,425","2,420"
"Youthful Offender Unit","58","24","24","24","23","23","23","23","23","23"
"CMCF TVC","158","131","133","132","142","141","139","136","136","134"
"South Mississippi Correctional Institution 3,282","","2,455","2,356","2,456","2,461","2,468","2,461","2,477","2,463","2,461"
"SMCI TVC","0","99","99","97","96","97","100","98","98","97"
"County Jails","2,006","1,519","1,520","1,519","1,492","1,470","1,474","1,498","1,492","1,492"
"COMMUNITY WORK CENTERS","1,848","1,020","1,019","1,017","1,022","1,024","1,035","1,021","1,020","1,019"
"Alcorn Satellite Facility","92","50","50","50","49","54","54","53","52","52"
"Bolivar Satellite Facility","102","44","44","44","44","44","46","46","46","46"
"Forrest Satellite Facility","96","46","45","45","46","44","44","44","36","36"
"George Satellite Facility","102","61","61","61","59","55","54","53","53","53"
"Harrison Satellite Facility","102","40","40","39","43","43","43","44","44","43"
"Jackson Satellite Facility","102","45","45","45","46","47","47","49","52","52"
"Jefferson Satellite Facility","102","47","47","47","45","45","44","43","48","47"
"Leflore Satellite Facility","102","45","45","45","46","46","45","45","46","46"
"Madison Satellite Facility","102","46","46","46","48","48","48","43","47","47"
"Noxubee Satellite Facility","92","60","60","60","60","60","60","61","60","60"
"Pike Satellite Facility","93","80","80","80","80","79","89","77","78","78"
"Quitman Satellite Facility","93","57","57","57","57","56","63","66","65","65"
"Rankin Satellite Facility","260","180","180","180","180","185","185","185","188","188"
"Simpson Satellite Facility","102","86","86","86","86","88","88","87","83","83"
"Washington Satellite Facility","102","44","44","43","43","43","43","43","42","42"
"Wilkinson Satellite Facility","102","48","48","48","49","47","42","42","42","43"
"Yazoo Satellite Facility","102","41","41","41","41","40","40","40","38","38"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,174","4,172","4,168","4,162","4,173","4,176","4,162","4,147","4,144"
"Alcorn County","300","299","299","298","298","297","295","297","297","297"
"Bolivar County","369","344","343","343","344","343","349","347","345","345"
"Carroll County","280","271","271","270","270","268","268","273","272","272"
"Chickasaw County","300","300","300","299","299","299","298","300","300","300"
"George County","280","265","265","265","265","267","264","263","256","256"
"Holmes County","280","261","261","261","260","261","261","259","259","259"
"Issaquena County","274","253","253","253","254","259","259","259","259","257"
"Jefferson County","280","260","260","260","258","258","263","257","256","256"
"Kemper County","355","341","341","341","340","340","333","329","330","329"
"Leake County","280","256","255","255","257","253","261","256","255","255"
"Marion County","280","267","267","267","267","267","267","263","269","269"
"Stone County","280","277","277","276","276","276","276","277","276","276"
"Washington County","300","240","240","240","240","240","239","239","233","233"
"Winston County","280","258","258","258","252","263","262","266","265","265"
"Yazoo County","300","282","282","282","282","282","281","277","275","275"
"PRIVATE PRISONS","5,972","3,936","3,936","3,933","3,931","3,925","3,924","3,932","3,939","3,938"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,131","1,131","1,129","1,130","1,130","1,129","1,129","1,128","1,128"
"Marshall County","1,000","993","993","992","992","992","992","1,000","1,000","999"
"Walnut Grove","1,500","923","923","923","922","916","913","913","921","921"
"Wilkinson County","1,000","889","889","889","887","887","890","890","890","890"
"RESTITUTION CENTERS","16","8","8","8","8","9","9","8","8","8"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","1","1","1","1","2","2","1","1","1"
"TOTALS","25,737","19,047","19,037","19,021","18,997","18,988","19,001","19,016","18,967","18,949"
"","","","1-May-15 2-May-15 3-May-15 4-May-15 5-May-15 6-May-15 7-May-15 8-May-15 9-May-15","","","","","","",""
