"Location","Capacity","10-Mar-13","11-Mar-13","12-Mar-13","13-Mar-13","14-Mar-13","15-Mar-13","16-Mar-13","17-Mar-13","18-Mar-13"
"Mississippi State Penitentiary","4,648","3,376","3,369","3,371","3,355","3,367","3,367","3,368","3,367","3,381"
"Central Mississippi Correctional Facility","3,557","3,213","3,238","3,271","3,262","3,273","3,271","3,268","3,272","3,263"
"Youthful Offender Unit","42","27","26","26","27","27","27","27","22","27"
"South Mississippi Correctional Institution","3,282","3,222","3,225","3,223","3,217","3,215","3,213","3,213","3,214","3,220"
"County Jails","1,872","2,335","2,335","2,335","2,319","2,317","2,295","2,295","2,295","2,324"
"COMMUNITY WORK CENTERS","1,848","1,531","1,537","1,543","1,521","1,520","1,506","1,504","1,501","1,533"
"Alcorn Satellite Facility","92","85","87","88","88","89","87","87","87","90"
"Bolivar Satellite Facility","102","73","75","75","75","75","67","67","67","69"
"Forrest Satellite Facility","96","73","72","74","73","73","67","67","67","73"
"George Satellite Facility","102","77","78","78","79","78","75","75","75","78"
"Harrison Satellite Facility","102","81","82","82","83","82","81","81","80","82"
"Jackson Satellite Facility","102","75","75","75","74","74","68","68","66","71"
"Jefferson Satellite Facility","102","76","77","74","71","71","70","69","69","70"
"Leflore Satellite Facility","102","78","80","79","77","76","79","79","79","80"
"Madison Satellite Facility","102","83","83","82","82","82","81","81","81","81"
"Noxubee Satellite Facility","92","79","81","82","82","81","77","77","77","81"
"Pike Satellite Facility","93","91","91","90","90","90","91","91","91","92"
"Quitman Satellite Facility","93","90","90","93","91","91","90","89","89","90"
"Rankin Satellite Facility","260","244","242","248","243","246","246","246","246","247"
"Simpson Satellite Facility","102","96","96","96","96","96","99","99","99","102"
"Washington Satellite Facility","102","78","77","77","76","76","79","79","79","76"
"Wilkinson Satellite Facility","102","65","64","63","57","57","66","66","66","67"
"Yazoo Satellite Facility","102","87","87","87","84","83","83","83","83","84"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,345","4,349","4,350","4,375","4,375","4,375","4,373","4,370","4,368"
"Alcorn County","300","300","299","299","298","297","297","297","297","296"
"Bolivar County","369","368","368","368","369","368","368","368","366","369"
"Carroll County","280","279","279","279","280","279","278","278","278","278"
"Chickasaw County","300","299","299","300","300","300","299","298","298","300"
"George County","280","278","278","280","281","281","281","281","281","278"
"Holmes County","280","280","280","280","280","279","280","279","279","280"
"Issaquena County","274","272","273","274","273","273","274","274","273","274"
"Jefferson County","280","278","280","280","279","280","279","279","279","279"
"Kemper County","355","337","336","336","336","336","337","337","337","337"
"Leake County","280","278","281","278","278","280","279","279","279","274"
"Marion County","280","280","280","280","280","280","279","279","279","279"
"Stone County","280","279","279","279","279","279","280","280","280","280"
"Washington County","300","240","239","238","263","267","266","266","266","265"
"Winston County","280","280","279","279","279","278","279","279","279","278"
"Yazoo County","300","297","299","300","300","298","299","299","299","301"
"PRIVATE PRISONS","5,972","4,311","4,312","4,313","4,324","4,322","4,318","4,316","4,315","4,318"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,118","1,119","1,122","1,124","1,125","1,123","1,123","1,123","1,121"
"Marshall County","1,000","992","992","992","999","999","999","999","999","999"
"Walnut Grove","1,500","1,296","1,296","1,295","1,297","1,295","1,292","1,291","1,290","1,296"
"Wilkinson County","1,000","905","905","904","904","903","904","903","903","902"
"RESTITUTION CENTERS","16","46","25","21","21","21","56","57","57","21"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","32","11","7","7","7","42","43","43","7"
"TOTALS","25,681","22,406","22,416","22,453","22,421","22,437","22,428","22,421","22,413","22,455"
