"Location","Capacity","14-Aug-04","15-Aug-04","16-Aug-04","17-Aug-04","18-Aug-04","19-Aug-04","20-Aug-04","21-Aug-04","22-Aug-04","23-Aug-04","24-Aug-04","25-Aug-04","26-Aug-04"
"MS STATE PENITENTIARY","4,892","4,822","4,821","4,834","4,831","4,853","4,865","4,834","4,833","4,832","4,834","4,841","4,847","4,836"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,116","3,114","3,110","3,092","3,090","3,086","3,125","3,124","3,124","3,128","3,097","3,117","3,108"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,186","2,185","2,179","2,192","2,188","2,182","2,167","2,167","2,167","2,160","2,159","2,155","2,165"
"COUNTY JAILS","2,209","2,127","2,127","2,133","2,145","2,144","2,149","2,141","2,141","2,141","2,145","2,143","2,131","2,139"
"COMMUNITY WORK CENTERS","1,816","1,639","1,639","1,710","1,706","1,703","1,695","1,681","1,680","1,680","1,701","1,708","1,704","1,695"
"Alcorn Satellite Facility","92","80","80","90","89","92","92","90","90","90","91","91","88","88"
"Bolivar Satellite Facility","102","90","90","97","96","94","94","98","98","98","98","98","98","98"
"Forrest Satellite Facility","96","90","90","94","94","94","94","89","89","89","90","96","96","95"
"George Satellite Facility","102","87","87","93","90","89","89","92","92","92","92","95","95","95"
"Harrison Satellite Facility","102","95","95","100","99","98","97","100","100","100","100","99","98","97"
"Jackson Satellite Facility","102","88","88","93","92","92","91","90","90","90","93","92","92","92"
"Jefferson Satellite Facility","102","92","92","93","93","95","94","94","94","94","94","98","98","96"
"Leflore Satellite Facility","102","92","92","100","99","97","97","98","98","98","99","98","98","98"
"Madison Satellite Facility","102","95","96","102","102","101","101","101","101","101","101","102","101","100"
"Noxubee Satellite Facility","92","89","89","91","92","90","89","86","86","86","89","91","90","90"
"Pike Satellite Facility","93","68","67","69","69","69","69","69","69","69","69","65","66","65"
"Quitman Satellite Facility","93","85","85","91","92","92","92","91","91","91","93","93","93","92"
"Rankin Satellite Facility","228","216","216","217","213","219","218","215","214","214","219","219","219","219"
"Simpson Satellite Facility","102","96","96","101","101","101","98","94","94","94","97","95","95","96"
"Washington Satellite Facility","102","93","93","93","93","91","91","90","90","90","91","91","91","90"
"Wilkinson Satellite Facility","102","83","83","84","90","87","87","86","86","86","86","86","86","84"
"Yazoo Satellite Facility","102","100","100","102","102","102","102","98","98","98","99","99","100","100"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,746","2,745","2,744","2,742","2,742","2,745","2,740","2,739","2,739","2,741","2,745","2,745","2,740"
"Bolivar County","250","249","248","249","250","250","249","247","247","247","251","250","250","250"
"Carroll County","250","250","250","249","249","250","249","249","249","249","249","250","250","250"
"George County","250","249","249","249","249","249","250","249","249","249","250","250","250","250"
"Holmes County","250","250","250","250","250","250","251","250","249","249","249","249","249","249"
"Issaquena County","250","250","250","248","250","250","248","248","248","248","247","249","248","244"
"Jefferson County","250","249","249","250","248","247","249","249","249","249","249","250","250","249"
"Kemper County","250","249","249","250","248","248","250","249","249","249","248","249","249","248"
"Leake County","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"Marion County","250","250","250","249","249","250","250","250","250","250","250","249","250","250"
"Stone County","250","250","250","250","250","250","250","250","250","250","249","250","249","250"
"Winston County","250","250","250","250","249","248","249","249","249","249","249","249","250","250"
"PRIVATE PRISONS","4,960","4,567","4,565","4,566","4,567","4,566","4,568","4,574","4,572","4,570","4,567","4,572","4,571","4,565"
"Delta       (Reopened 04-01-04)","960","958","956","954","958","957","959","958","958","957","958","958","958","958"
"East MS","1,000","873","873","873","872","871","874","873","872","871","869","867","866","864"
"Marshall County","1,000","995","995","994","995","995","994","994","994","994","993","995","993","994"
"Walnut Grove","1,000","748","748","753","748","750","747","754","754","754","754","758","760","757"
"Wilkinson County","1,000","993","993","992","994","993","994","995","994","994","993","994","994","992"
"RESITITUTION CENTERS","24","13","13","13","13","13","13","13","13","13","13","13","13","13"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","6","3","3","3","3","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"E-CODE","","77","77","4","4","3","2","26","26","26","2","3","3","3"
"TOTALS","22,104","21,299","21,292","21,299","21,298","21,308","21,311","21,307","21,301","21,298","21,297","21,287","21,292","21,270"
