"Location","Capacity","","10-May-15 11-May-15 12-May-15 13-May-15 14-May-15 15-May-15 16-May-15 17-May-15 18-May-15","","","","","","",""
"Mississippi State Penitentiary","4,648","3,123","3,109","3,118","3,107","3,102","3,106","3,104","3,106","3,113"
"MSP TVC","108","86","86","84","94","91","91","90","89","87"
"Central Mississippi Correctional Facility","3,469","2,424","2,456","2,430","2,440","2,459","2,432","2,427","2,429","2,446"
"Youthful Offender Unit","58","23","23","23","23","23","23","23","23","23"
"CMCF TVC","158","128","127","123","118","130","136","135","132","126"
"South Mississippi Correctional Institution 3,282","","2,462","2,458","2,459","2,452","2,451","2,462","2,462","2,462","2,456"
"SMCI TVC","0","96","95","99","98","96","92","91","91","89"
"County Jails","2,006","1,492","1,501","1,525","1,511","1,497","1,513","1,513","1,513","1,505"
"COMMUNITY WORK CENTERS","1,848","1,016","1,035","1,036","1,037","1,041","1,030","1,029","1,028","1,045"
"Alcorn Satellite Facility","92","52","53","52","51","51","49","49","49","50"
"Bolivar Satellite Facility","102","46","46","46","46","46","45","45","45","43"
"Forrest Satellite Facility","96","36","42","46","47","46","43","43","43","44"
"George Satellite Facility","102","53","52","52","52","51","46","46","45","50"
"Harrison Satellite Facility","102","42","42","40","40","42","41","41","41","41"
"Jackson Satellite Facility","102","52","52","52","52","49","46","46","46","49"
"Jefferson Satellite Facility","102","47","49","48","47","47","45","45","45","47"
"Leflore Satellite Facility","102","46","44","44","44","44","44","44","44","45"
"Madison Satellite Facility","102","47","47","47","47","48","54","54","54","56"
"Noxubee Satellite Facility","92","59","59","59","58","58","55","55","55","58"
"Pike Satellite Facility","93","78","79","79","85","88","87","87","87","89"
"Quitman Satellite Facility","93","64","63","63","64","67","67","67","67","64"
"Rankin Satellite Facility","260","188","190","191","188","188","185","185","185","190"
"Simpson Satellite Facility","102","83","87","87","86","85","92","92","92","87"
"Washington Satellite Facility","102","42","42","42","42","45","52","51","51","49"
"Wilkinson Satellite Facility","102","43","46","46","46","45","42","42","42","43"
"Yazoo Satellite Facility","102","38","42","42","42","41","37","37","37","40"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,141","4,142","4,161","4,167","4,159","4,159","4,156","4,152","4,153"
"Alcorn County","300","297","300","300","300","300","299","299","298","297"
"Bolivar County","369","345","343","349","347","346","346","346","346","349"
"Carroll County","280","272","272","271","273","272","273","272","272","272"
"Chickasaw County","300","300","300","300","300","300","300","300","300","300"
"George County","280","256","254","254","254","253","256","256","256","254"
"Holmes County","280","257","260","260","260","259","259","259","259","261"
"Issaquena County","274","257","257","257","257","257","253","253","251","250"
"Jefferson County","280","256","256","258","255","255","259","259","259","259"
"Kemper County","355","329","332","333","341","340","341","341","341","342"
"Leake County","280","255","250","253","256","256","258","258","258","256"
"Marion County","280","269","269","271","268","267","268","268","268","268"
"Stone County","280","276","276","276","276","274","274","273","273","275"
"Washington County","300","233","233","232","232","232","230","230","230","230"
"Winston County","280","264","265","269","269","269","270","270","269","271"
"Yazoo County","300","275","275","278","279","279","273","272","272","269"
"PRIVATE PRISONS","5,972","3,937","3,937","3,946","3,959","3,962","3,957","3,957","3,958","3,952"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,128","1,127","1,130","1,130","1,130","1,130","1,130","1,131","1,128"
"Marshall County","1,000","999","999","999","998","997","995","995","995","993"
"Walnut Grove","1,500","921","922","928","937","942","941","941","941","940"
"Wilkinson County","1,000","889","889","889","894","893","891","891","891","891"
"RESTITUTION CENTERS","16","0","0","0","0","0","0","8","8","8"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","2","2","2","2","3","2","2","2","2"
"Pascagoula","4","1","1","1","1","1","1","1","1","1"
"TOTALS","25,737","18,936","18,977","19,012","19,014","19,020","19,009","18,995","18,991","19,003"
"","","","10-May-15 11-May-15 12-May-15 13-May-15 14-May-15 15-May-15 16-May-15 17-May-15 18-May-15","","","","","","",""
