"Location","Capacity","28-Oct-09","29-Oct-09","30-Oct-09","31-Oct-09","","Avg Population"
"Mississippi State Penitentiary","4,435","3,937","3,940","3,932","3,931","","3,938"
"Central Mississippi Correctional Facility","3,665","3,178","3,166","3,173","3,170","","3,234"
"South Mississippi Correctional Institution","3,204","2,724","2,728","2,718","2,718","","2,722"
"County Jails","1,487","1,484","1,486","1,502","1,502","","1,558"
"COMMUNITY WORK CENTERS","1,848","1,607","1,609","1,593","1,594","","1,525"
"Alcorn Satellite Facility","92","60","60","69","69","","60"
"Bolivar Satellite Facility","102","72","72","78","78","","72"
"Forrest Satellite Facility","96","78","78","79","79","","74"
"George Satellite Facility","102","97","97","96","96","","90"
"Harrison Satellite Facility","102","79","79","85","85","","75"
"Jackson Satellite Facility","102","87","87","86","86","","80"
"Jefferson Satellite Facility","102","101","102","97","97","","85"
"Leflore Satellite Facility","102","69","68","66","66","","64"
"Madison Satellite Facility","102","102","102","99","99","","92"
"Noxubee Satellite Facility","92","91","92","89","89","","83"
"Pike Satellite Facility","93","75","72","70","70","","83"
"Quitman Satellite Facility","93","79","81","75","75","","80"
"Rankin Satellite Facility","260","251","251","244","245","","240"
"Simpson Satellite Facility","102","100","102","99","99","","94"
"Washington Satellite Facility","102","71","69","68","68","","71"
"Wilkinson Satellite Facility","102","94","96","102","102","","90"
"Yazoo Satellite Facility","102","101","101","91","91","","91"
"REGIONAL CORRECTIONAL FACILITIES","3,163","3,004","3,000","3,000","3,000","","3,004"
"Bolivar County","294","280","277","280","280","","280"
"Carroll County","280","264","264","263","263","","265"
"George County","280","266","266","264","264","","264"
"Holmes County","280","266","266","265","265","","266"
"Issaquena County","274","259","260","260","260","","260"
"Jefferson County","280","265","265","266","266","","266"
"Kemper County","355","341","341","341","341","","341"
"Leake County","280","265","265","265","265","","266"
"Marion County","280","265","267","267","267","","266"
"Stone County","280","266","265","263","263","","265"
"Winston County","280","267","264","266","266","","266"
"PRIVATE PRISONS","5,972","5,540","5,531","5,527","5,526","","5,546"
"Delta","972","956","954","953","953","","956"
"East Mississippi","1,500","1,363","1,362","1,359","1,359","","1,360"
"Marshall County","1,000","981","983","983","983","","982"
"Walnut Grove","1,500","1,269","1,260","1,259","1,258","","1,275"
"Wilkinson County","1,000","971","972","973","973","","974"
"RESTITUTION CENTERS","16","10","10","10","10","","10"
"Greenwood","6","6","6","6","6","","6"
"Hinds","6","2","2","2","2","","3"
"Pascagoula","4","2","2","2","2","","2"
"GOVERNOR'S MANSION","6","5","5","5","5","","5"
"E-CODE","0","13","10","49","47","","25"
"TOTALS","23,796","21,502","21,485","21,509","21,503","","21,566"
