"Location","Capacity","10-Jan-12","11-Jan-12","12-Jan-12","13-Jan-12","14-Jan-12","15-Jan-12","16-Jan-12","17-Jan-12","18-Jan-12"
"Mississippi State Penitentiary","4,648","3,186","3,249","3,292","3,286","3,282","3,281","3,277","3,274","3,258"
"Central Mississippi Correctional Facility","3,665","3,058","3,064","3,065","3,089","3,086","3,086","3,082","3,084","3,084"
"South Mississippi Correctional Institution","3,256","3,154","3,159","3,155","3,160","3,158","3,155","3,153","3,150","3,147"
"County Jails","1,668","1,941","1,923","1,916","1,878","1,878","1,878","1,878","1,923","1,946"
"COMMUNITY WORK CENTERS","1,848","1,419","1,424","1,440","1,378","1,375","1,376","1,443","1,434","1,420"
"Alcorn Satellite Facility","92","79","79","80","80","79","79","79","78","78"
"Bolivar Satellite Facility","102","82","81","80","77","76","76","81","79","79"
"Forrest Satellite Facility","96","76","75","81","77","77","77","81","81","80"
"George Satellite Facility","102","80","79","80","70","70","70","76","76","75"
"Harrison Satellite Facility","102","86","86","83","77","77","77","82","82","82"
"Jackson Satellite Facility","102","86","85","84","78","78","78","85","85","84"
"Jefferson Satellite Facility","102","72","72","75","72","72","72","76","76","76"
"Leflore Satellite Facility","102","88","88","88","84","84","84","89","88","87"
"Madison Satellite Facility","102","88","92","91","89","89","89","92","92","89"
"Noxubee Satellite Facility","92","77","76","79","69","69","69","79","79","78"
"Pike Satellite Facility","93","47","47","47","51","51","51","51","50","49"
"Quitman Satellite Facility","93","55","55","54","54","53","53","53","52","52"
"Rankin Satellite Facility","260","183","186","186","182","182","183","186","186","183"
"Simpson Satellite Facility","102","84","84","93","86","86","86","91","89","89"
"Washington Satellite Facility","102","84","84","84","85","85","85","87","87","86"
"Wilkinson Satellite Facility","102","68","68","68","65","65","65","68","68","67"
"Yazoo Satellite Facility","102","84","87","87","82","82","82","87","86","86"
"REGIONAL CORRECTIONAL FACILITIES","4,363","4,252","4,278","4,277","4,278","4,277","4,276","4,270","4,264","4,259"
"Alcorn County","300","295","299","298","300","300","299","299","299","299"
"Bolivar County","294","284","294","294","294","294","294","293","293","293"
"Carroll County","280","280","280","280","280","280","280","280","280","280"
"Chickasaw County","300","289","300","300","297","297","297","297","295","294"
"George County","280","279","280","280","280","280","280","279","279","279"
"Holmes County","280","280","280","280","280","280","280","280","279","279"
"Issaquena County","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","280","280","280","281","281","281","279","278","275"
"Kemper County","355","339","340","340","339","338","338","338","338","337"
"Leake County","280","280","280","280","281","281","281","281","280","280"
"Marion County","280","280","280","280","280","280","280","280","280","280"
"Stone County","280","280","280","280","281","281","281","280","280","280"
"Washington County","300","233","233","232","231","231","231","230","230","230"
"Winston County","280","280","279","279","280","280","280","280","279","279"
"Yazoo County","300","299","299","300","300","300","300","300","300","300"
"PRIVATE PRISONS","5,972","4,323","4,236","4,197","4,194","4,189","4,186","4,184","4,182","4,179"
"Delta","972","115","35","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,327","1,327","1,326","1,324","1,322","1,322","1,321","1,321","1,321"
"Marshall County","1,000","997","999","999","999","999","998","998","998","998"
"Walnut Grove","1,500","993","985","983","982","981","980","980","978","976"
"Wilkinson County","1,000","891","890","889","889","887","886","885","885","884"
"RESTITUTION CENTERS","16","8","9","9","9","9","9","10","10","10"
"Greenwood","6","3","3","3","2","2","2","3","3","3"
"Hinds","6","2","2","2","3","3","3","3","3","3"
"Pascagoula","4","3","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","6","6","7","80","78","78","7","5","3"
"TOTALS","25,442","21,347","21,348","21,358","21,352","21,332","21,325","21,304","21,326","21,306"
"","","10-Jan-12","11-Jan-12","12-Jan-12","13-Jan-12","14-Jan-12","15-Jan-12","16-Jan-12","17-Jan-12","18-Jan-12"
