"Location","Capacity","","19-May-15 20-May-15 21-May-15 22-May-15 23-May-15 24-May-15 25-May-15 26-May-15 27-May-15","","","","","","",""
"Mississippi State Penitentiary","4,648","3,122","3,127","3,124","3,119","3,116","3,115","3,115","3,104","3,102"
"MSP TVC","108","87","89","88","88","87","86","86","85","83"
"Central Mississippi Correctional Facility","3,469","2,431","2,450","2,475","2,433","2,433","2,432","2,432","2,445","2,443"
"Youthful Offender Unit","58","23","24","23","23","23","23","22","23","21"
"CMCF TVC","158","134","132","130","130","130","130","129","128","126"
"South Mississippi Correctional Institution 3,282","","2,471","2,467","2,472","2,472","2,472","2,472","2,471","2,470","2,468"
"SMCI TVC","0","96","98","98","98","98","98","98","91","89"
"County Jails","2,006","1,494","1,472","1,445","1,469","1,456","1,456","1,456","1,483","1,481"
"COMMUNITY WORK CENTERS","1,848","1,042","1,041","1,052","1,051","1,048","1,048","1,048","1,094","1,067"
"Alcorn Satellite Facility","92","48","52","52","51","51","51","51","49","47"
"Bolivar Satellite Facility","102","43","45","50","50","50","50","50","49","47"
"Forrest Satellite Facility","96","46","44","46","46","46","46","46","47","45"
"George Satellite Facility","102","49","49","49","49","49","49","49","50","48"
"Harrison Satellite Facility","102","44","44","48","48","48","48","48","47","45"
"Jackson Satellite Facility","102","49","53","55","55","55","55","55","55","53"
"Jefferson Satellite Facility","102","46","43","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","48","48","50","50","50","50","50","50","48"
"Madison Satellite Facility","102","53","58","55","55","55","55","55","78","76"
"Noxubee Satellite Facility","92","58","58","61","61","60","60","60","63","61"
"Pike Satellite Facility","93","89","89","91","91","91","91","91","90","88"
"Quitman Satellite Facility","93","62","60","63","63","63","63","63","66","64"
"Rankin Satellite Facility","260","189","187","192","192","191","191","191","191","189"
"Simpson Satellite Facility","102","83","83","82","82","82","82","82","82","80"
"Washington Satellite Facility","102","48","42","40","40","40","40","40","39","39"
"Wilkinson Satellite Facility","102","42","42","58","58","57","57","57","57","57"
"Yazoo Satellite Facility","102","45","44","60","60","60","60","60","81","80"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,137","4,135","4,136","4,136","4,134","4,134","4,131","4,127","4,111"
"Alcorn County","300","297","297","298","298","298","298","298","298","297"
"Bolivar County","369","347","347","349","349","349","349","349","347","346"
"Carroll County","280","273","275","274","274","274","274","274","273","271"
"Chickasaw County","300","300","300","300","300","300","300","300","299","297"
"George County","280","251","251","255","255","254","254","254","261","259"
"Holmes County","280","261","261","262","262","262","262","262","261","259"
"Issaquena County","274","250","249","249","249","249","249","249","249","259"
"Jefferson County","280","260","259","260","260","260","260","260","259","257"
"Kemper County","355","341","340","332","332","332","332","332","330","328"
"Leake County","280","258","257","258","258","258","258","258","257","255"
"Marion County","280","269","268","267","267","266","266","266","265","263"
"Stone County","280","273","273","273","273","273","273","272","270","268"
"Washington County","300","230","230","230","230","230","230","230","229","227"
"Winston County","280","259","257","254","254","254","254","253","254","252"
"Yazoo County","300","268","271","275","275","275","275","274","275","273"
"PRIVATE PRISONS","5,972","3,962","3,960","3,959","3,955","3,954","3,954","3,951","3,964","3,956"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,129","1,129","1,130","1,129","1,129","1,129","1,129","1,127","1,125"
"Marshall County","1,000","1,001","1,001","1,000","1,000","1,000","1,000","999","1,000","998"
"Walnut Grove","1,500","942","940","939","937","936","936","935","936","934"
"Wilkinson County","1,000","890","890","890","889","889","889","888","901","899"
"RESTITUTION CENTERS","16","0","0","0","0","0","0","0","0","0"
"Greenwood","6","5","5","4","6","6","6","6","5","3"
"Hinds","6","2","2","2","6","6","5","5","6","4"
"Pascagoula","4","1","1","1","4","4","3","3","4","2"
"TOTALS","25,737","19,007","19,003","19,009","18,990","18,967","18,962","18,953","19,029","18,956"
"","","","19-May-15 20-May-15 21-May-15 22-May-15 23-May-15 24-May-15 25-May-15 26-May-15 27-May-15","","","","","","",""
