"Location","Capacity","1-Apr-09","2-Apr-09","3-Apr-09","4-Apr-09","5-Apr-09","6-Apr-09","7-Apr-09","8-Apr-09","9-Apr-09"
"Mississippi State Penitentiary","4,627","4,099","4,100","4,106","4,105","4,105","4,116","4,105","4,117","4,123"
"Central Mississippi Correctional Facility","3,665","3,539","3,553","3,536","3,536","3,535","3,524","3,502","3,502","3,484"
"South Mississippi Correctional Institution","3,204","3,090","3,081","3,091","3,089","3,089","3,105","3,094","3,092","3,104"
"County Jails","1,767","1,684","1,688","1,703","1,703","1,703","1,680","1,685","1,683","1,697"
"COMMUNITY WORK CENTERS","1,848","1,706","1,706","1,696","1,693","1,694","1,709","1,705","1,706","1,695"
"Alcorn Satellite Facility","92","84","84","82","82","82","83","87","87","87"
"Bolivar Satellite Facility","102","91","91","90","90","90","91","89","89","89"
"Forrest Satellite Facility","96","86","86","82","82","82","84","78","79","79"
"George Satellite Facility","102","95","94","93","93","93","92","92","92","91"
"Harrison Satellite Facility","102","96","95","95","95","95","96","95","95","95"
"Jackson Satellite Facility","102","100","100","99","97","98","98","98","98","96"
"Jefferson Satellite Facility","102","92","92","95","95","95","92","92","91","91"
"Leflore Satellite Facility","102","91","89","87","87","87","88","88","87","87"
"Madison Satellite Facility","102","98","101","101","101","101","101","100","100","101"
"Noxubee Satellite Facility","92","81","81","80","80","80","84","84","84","82"
"Pike Satellite Facility","93","83","82","81","81","81","81","80","80","78"
"Quitman Satellite Facility","93","78","78","78","78","78","77","75","76","76"
"Rankin Satellite Facility","260","248","252","247","246","246","254","254","256","256"
"Simpson Satellite Facility","102","99","99","98","98","98","99","99","99","97"
"Washington Satellite Facility","102","96","96","95","95","95","96","102","102","102"
"Wilkinson Satellite Facility","102","96","96","91","91","91","91","90","89","86"
"Yazoo Satellite Facility","102","92","90","102","102","102","102","102","102","102"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,930","2,927","2,929","2,929","2,929","2,928","2,926","2,928","2,928"
"Bolivar County","294","280","278","279","279","279","278","280","281","281"
"Carroll County","280","266","266","266","266","266","266","265","263","264"
"George County","280","266","265","264","264","264","265","260","264","264"
"Holmes County","280","266","266","266","266","266","264","266","266","266"
"Issaquena County","274","259","259","259","259","259","260","260","259","261"
"Jefferson County","280","268","268","266","266","266","266","266","266","265"
"Kemper County","280","266","266","266","266","266","266","265","266","266"
"Leake County","280","266","266","266","266","266","266","266","266","266"
"Marion County","280","265","265","266","266","266","266","265","265","266"
"Stone County","280","263","263","265","265","265","265","266","265","265"
"Winston County","280","265","265","266","266","266","266","267","267","264"
"PRIVATE PRISONS","5,972","5,481","5,486","5,475","5,472","5,472","5,473","5,472","5,478","5,488"
"Delta","972","953","953","953","952","952","955","955","955","955"
"East Mississippi","1,500","1,361","1,361","1,361","1,360","1,360","1,359","1,361","1,361","1,363"
"Marshall County","1,000","982","983","983","982","982","982","982","982","983"
"Walnut Grove","1,500","1,211","1,213","1,201","1,201","1,201","1,200","1,202","1,210","1,211"
"Wilkinson County","1,000","974","976","977","977","977","977","972","970","976"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","11","11","12"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","4","4","4","4","4","4","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","14","12","29","30","30","14","17","20","24"
"TOTALS","24,193","22,561","22,571","22,583","22,575","22,575","22,567","22,523","22,543","22,561"
"","","1-Apr-09","2-Apr-09","3-Apr-09","4-Apr-09","5-Apr-09","6-Apr-09","7-Apr-09","8-Apr-09","9-Apr-09"
