"Location","Capacity","14-Oct-05","15-Oct-05","16-Oct-05","17-Oct-05","18-Oct-05","19-Oct-05","20-Oct-05","21-Oct-05","22-Oct-05","23-Oct-05","24-Oct-05","25-Oct-05","26-Oct-05"
"Mississippi State Penitentiary","4,730","4,348","4,347","4,344","4,346","4,348","4,351","4,357","4,348","4,343","4,339","4,341","4,343","4,351"
"Central Mississippi Correctional Facility","3,219","3,152","3,149","3,147","3,114","3,139","3,172","3,152","3,151","3,148","3,146","3,127","3,136","3,113"
"South Mississippi Correctional Institution","2,306","2,242","2,243","2,242","2,237","2,240","2,239","2,248","2,255","2,253","2,250","2,254","2,256","2,267"
"County Jails","2,240","1,637","1,637","1,637","1,651","1,656","1,662","1,658","1,660","1,660","1,660","1,667","1,644","1,659"
"COMMUNITY WORK CENTERS","1,816","1,599","1,594","1,594","1,665","1,667","1,663","1,656","1,591","1,587","1,587","1,646","1,645","1,666"
"Alcorn Satellite Facility","92","89","88","88","91","89","87","87","88","86","86","87","86","90"
"Bolivar Satellite Facility","102","92","92","92","102","102","101","100","90","89","90","96","95","96"
"Forrest Satellite Facility","96","85","85","85","92","92","92","92","85","85","85","89","89","95"
"George Satellite Facility","102","86","85","85","92","95","95","96","93","93","93","94","94","94"
"Harrison Satellite Facility","102","91","91","91","91","93","93","93","87","87","86","92","92","92"
"Jackson Satellite Facility","102","85","85","85","86","86","86","84","80","80","80","82","82","81"
"Jefferson Satellite Facility","102","75","75","75","78","78","78","77","74","74","74","75","75","75"
"Leflore Satellite Facility","102","93","93","93","98","102","102","102","99","99","99","102","102","102"
"Madison Satellite Facility","102","93","93","93","95","97","96","96","93","93","93","102","102","102"
"Noxubee Satellite Facility","92","89","89","89","91","91","91","91","90","91","91","91","90","89"
"Pike Satellite Facility","93","66","66","66","70","68","67","67","65","65","65","66","67","71"
"Quitman Satellite Facility","93","76","76","76","81","81","81","79","76","75","75","78","77","84"
"Rankin Satellite Facility","228","215","213","213","220","219","219","220","212","212","212","221","223","223"
"Simpson Satellite Facility","102","91","91","91","96","96","96","95","90","89","89","98","98","100"
"Washington Satellite Facility","102","97","97","97","100","98","98","97","95","95","95","96","96","96"
"Wilkinson Satellite Facility","102","84","83","83","85","83","84","83","78","78","78","82","82","81"
"Yazoo Satellite Facility","102","92","92","92","97","97","97","97","96","96","96","95","95","95"
"REGIONAL CORRECTIONAL FACILITIES","3,028","3,012","3,010","3,007","3,011","3,011","3,023","3,021","3,021","3,019","3,018","3,017","3,014","3,016"
"Bolivar County","294","291","290","289","286","284","292","292","291","291","291","288","288","292"
"Carroll County","250","249","249","249","250","250","250","250","250","250","250","249","249","249"
"George County","280","280","280","279","279","279","280","278","279","279","279","281","280","279"
"Holmes County","280","280","280","280","279","279","279","280","280","280","280","280","280","280"
"Issaquena County","274","270","269","269","274","274","274","274","274","272","272","273","273","273"
"Jefferson County","250","247","248","247","250","250","250","250","249","249","249","248","249","248"
"Kemper County","280","278","278","278","276","276","280","279","279","279","279","279","278","278"
"Leake County","280","279","279","279","279","280","280","280","280","280","280","280","280","280"
"Marion County","280","280","279","279","279","280","280","280","280","280","280","280","279","278"
"Stone County","280","280","280","280","280","280","279","279","280","280","279","280","279","280"
"Winston County","280","278","278","278","279","279","279","279","279","279","279","279","279","279"
"PRIVATE PRISONS","5,100","4,845","4,842","4,841","4,843","4,845","4,838","4,832","4,834","4,833","4,830","4,827","4,846","4,857"
"Delta","972","969","969","969","968","970","968","970","970","970","969","971","970","969"
"East Mississippi","1,000","867","867","867","863","863","863","860","861","861","861","861","861","861"
"Marshall County","1,000","995","995","995","995","995","994","995","995","995","995","993","993","995"
"Tallahatchie County","128","128","128","128","128","128","128","128","128","128","128","128","128","128"
"Walnut Grove","1,000","917","915","915","913","913","912","907","906","905","904","904","922","924"
"Wilkinson County","1,000","969","968","967","976","976","973","972","974","974","973","970","972","980"
"RESTITUTION CENTERS","16","10","10","10","11","11","12","12","12","12","12","12","11","11"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","4","4","4","5","5","6","6","6","6","6","6","5","5"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","55","56","58","4","3","3","4","56","57","57","8","4","4"
"TOTALS","22,461","20,905","20,893","20,885","20,887","20,925","20,968","20,945","20,933","20,917","20,904","20,904","20,904","20,949"
"","","14-Oct-05","15-Oct-05","16-Oct-05","17-Oct-05","18-Oct-05","19-Oct-05","20-Oct-05","21-Oct-05","22-Oct-05","23-Oct-05","24-Oct-05","25-Oct-05","26-Oct-05"
