"Location","Capacity","10-Aug-11","11-Aug-11","12-Aug-11","13-Aug-11","14-Aug-11","15-Aug-11","16-Aug-11","17-Aug-11","18-Aug-11"
"Mississippi State Penitentiary","3,356","3,091","3,079","3,076","3,075","3,073","3,069","3,090","3,096","3,092"
"Central Mississippi Correctional Facility","3,449","3,260","3,250","3,247","3,250","3,250","3,246","3,239","3,224","3,217"
"South Mississippi Correctional Institution","3,204","3,112","3,116","3,110","3,109","3,110","3,094","3,091","3,089","3,096"
"County Jails","1,632","1,878","1,892","1,917","1,917","1,917","1,935","1,922","1,893","1,922"
"COMMUNITY WORK CENTERS","1,848","1,576","1,584","1,563","1,559","1,556","1,561","1,555","1,527","1,533"
"Alcorn Satellite Facility","92","78","82","79","79","79","85","85","80","80"
"Bolivar Satellite Facility","102","76","84","83","83","83","83","81","80","80"
"Forrest Satellite Facility","96","85","85","83","83","83","84","85","84","84"
"George Satellite Facility","102","88","88","87","86","86","83","83","82","86"
"Harrison Satellite Facility","102","92","92","91","91","91","91","93","89","93"
"Jackson Satellite Facility","102","90","90","89","89","89","89","90","91","91"
"Jefferson Satellite Facility","102","72","71","70","68","68","68","67","67","66"
"Leflore Satellite Facility","102","83","83","82","82","82","80","79","75","75"
"Madison Satellite Facility","102","95","95","95","95","94","96","95","94","94"
"Noxubee Satellite Facility","92","89","88","87","87","87","89","88","87","87"
"Pike Satellite Facility","93","89","89","82","81","80","80","79","79","79"
"Quitman Satellite Facility","93","84","82","80","80","80","80","79","77","77"
"Rankin Satellite Facility","260","206","204","205","205","204","202","201","198","197"
"Simpson Satellite Facility","102","96","94","92","92","92","93","93","91","88"
"Washington Satellite Facility","102","87","90","90","90","90","90","90","89","91"
"Wilkinson Satellite Facility","102","80","83","82","82","82","82","81","80","80"
"Yazoo Satellite Facility","102","86","84","86","86","86","86","86","84","85"
"REGIONAL CORRECTIONAL FACILITIES","4,063","3,285","3,277","3,282","3,277","3,273","3,269","3,274","3,277","3,277"
"Alcorn County","300","252","251","251","251","251","251","251","251","251"
"Bolivar County","294","235","235","235","234","234","234","234","234","231"
"Carroll County","280","225","222","224","222","222","222","224","224","223"
"Chickasaw County","300","249","249","250","248","247","247","247","249","251"
"George County","280","224","223","223","223","223","223","223","224","223"
"Holmes County","280","224","223","224","224","224","224","224","224","224"
"Issaquena County","274","218","219","219","219","218","216","218","219","219"
"Jefferson County","280","225","224","224","224","224","224","225","224","224"
"Kemper County","355","284","284","284","284","284","283","284","284","284"
"Leake County","280","224","223","224","224","224","224","223","223","224"
"Marion County","280","226","226","226","226","224","224","224","224","224"
"Stone County","280","223","223","224","224","224","224","224","224","224"
"Winston County","280","224","223","222","222","222","222","222","222","224"
"Yazoo County","300","252","252","252","252","252","251","251","251","251"
"PRIVATE PRISONS","5,972","5,155","5,155","5,162","5,155","5,153","5,145","5,150","5,157","5,156"
"Delta","972","902","899","900","899","899","900","899","899","899"
"East Mississippi","1,500","1,356","1,355","1,362","1,359","1,359","1,359","1,359","1,357","1,357"
"Marshall County","1,000","997","997","1,000","1,000","998","996","996","999","999"
"Walnut Grove","1,500","994","999","996","994","994","988","989","994","994"
"Wilkinson County","1,000","906","905","904","903","903","902","907","908","907"
"RESTITUTION CENTERS","16","6","6","6","6","6","6","6","6","7"
"Greenwood","6","3","3","3","3","3","3","3","3","3"
"Hinds","6","3","3","3","3","3","3","3","3","4"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","14","14","25","26","26","8","8","8","10"
"TOTALS","23,546","21,382","21,378","21,393","21,379","21,369","21,338","21,340","21,282","21,315"
