"Location","Capacity","18-Nov-17","19-Nov-17","20-Nov-17","21-Nov-17","22-Nov-17","23-Nov-17","24-Nov-17","25-Nov-17","26-Nov-17","27-Nov-17","28-Nov-17","29-Nov-17","30-Nov-17","Avg Population"
"Mississippi State Penitentiary","3,590","3,352","3,352","3,353","3,355","3,351","3,351","3,349","3,348","3,347","3,340","3,350","3,348","3,335","3,347"
"Central Mississippi Correctional Facility","3,830","3,554","3,552","3,589","3,605","3,601","3,600","3,600","3,601","3,601","3,632","3,636","3,651","3,670","3606"
"Youthful Offender Unit","58","27","27","28","29","29","29","29","29","29","29","28","28","28","28"
"CMCF TVC","0","28","28","28","20","21","21","21","21","21","17","20","24","17","22"
"South Mississippi Correctional Institution","3,082","2,643","2,642","2,646","2,643","2,625","2,624","2,624","2,623","2,623","2,619","2,620","2,623","2,625","2626"
"County Jails","1,781","1,215","1,215","1,199","1,194","1,207","1,207","1,207","1,207","1,207","1,209","1,209","1,194","1,193","1217"
"COMMUNITY WORK CENTERS","1,188","898","894","888","879","880","867","865","864","864","853","851","832","831","874"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","56","56","54","54","56","56","56","56","56","56","56","58","57","57"
"George Satellite Facility","102","69","69","68","68","68","68","68","68","68","68","66","65","66","67"
"Harrison Satellite Facility","102","59","59","59","59","58","58","58","58","58","57","57","57","57","57"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","74","73","72","66","66","59","59","58","58","58","58","54","54","65"
"Leflore TVC Support","20","18","18","16","16","16","16","16","15","15","15","15","15","15","17"
"Madison Satellite Facility","62","61","61","62","61","60","60","60","60","60","59","62","62","62","61"
"Noxubee Satellite Facility","58","44","44","44","48","48","48","48","48","48","48","48","47","46","46"
"Pike Satellite Facility","93","86","86","86","88","88","88","88","88","88","87","87","87","87","82"
"Quitman Satellite Facility","93","46","46","46","45","45","45","45","45","45","45","45","46","47","46"
"Rankin Satellite Facility","178","152","152","153","154","155","155","155","155","155","152","149","147","147","154"
"Rankin RID","28","13","13","13","14","13","13","13","13","13","13","13","13","13","13"
"Flowood TVC","50","17","17","16","15","15","15","15","15","15","15","15","14","14","17"
"Simpson TVC","82","72","69","69","62","62","56","55","55","55","55","55","45","45","65"
"Simpson TVC Support","20","15","15","15","15","15","15","14","15","15","13","14","13","13","14"
"Washington Satellite Facility","60","58","58","57","56","57","57","57","57","57","57","56","54","54","57"
"Wilkinson Satellite Facility","62","58","58","58","58","58","58","58","58","58","55","55","55","54","57"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","4,258","4,257","4,256","4,268","4,267","4,265","4,264","4,264","4,263","4,249","4,245","4,246","4,265","4245"
"Alcorn County","300","286","286","286","286","287","287","287","287","287","285","285","285","285","287"
"Bolivar County","369","292","292","293","293","293","293","293","293","293","293","291","291","293","292"
"Carroll County","280","274","274","274","273","271","271","271","271","270","266","276","275","274","273"
"Chickasaw County","310","302","302","301","301","301","301","301","301","301","301","300","300","305","301"
"George County","342","332","332","331","338","336","336","336","336","336","336","333","332","332","327"
"Holmes County","280","249","249","249","249","249","249","249","249","249","249","249","249","256","250"
"Issaquena County","274","273","273","273","273","273","273","273","273","273","273","272","271","274","273"
"Jefferson County","280","278","278","278","278","278","278","278","278","278","278","278","276","276","277"
"Kemper County","355","345","345","345","345","345","345","345","345","345","345","344","344","344","346"
"Leake County","280","213","212","211","221","220","220","219","219","219","219","218","224","223","211"
"Marion County","280","280","280","280","277","277","277","277","277","277","276","275","275","276","278"
"Stone County","326","321","321","321","320","326","326","326","326","326","325","324","324","324","324"
"Washington County","300","239","239","239","238","236","235","235","235","235","232","232","232","235","234"
"Winston County","280","277","277","278","279","278","277","277","277","277","276","272","272","272","275"
"Yazoo County","300","297","297","297","297","297","297","297","297","297","295","296","296","296","296"
"PRIVATE PRISONS","5,972","3,122","3,121","3,123","3,135","3,136","3,135","3,135","3,133","3,131","3,129","3,129","3,123","3,127","3119"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,228","1,228","1,233","1,238","1,237","1,236","1,236","1,235","1,234","1,232","1,233","1,229","1,234","1227"
"Marshall County","1,000","1,000","999","998","997","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","894","894","892","900","899","899","899","898","897","897","896","894","893","893"
"RESTITUTION CENTERS","16","9","9","9","10","10","10","9","9","9","10","10","10","9","9"
"Greenwood","6","4","4","4","5","5","5","4","4","4","5","5","5","5","4"
"Hinds","6","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","2","3"
"TRANSITIONAL HOUSING","164","45","45","45","45","44","45","45","45","45","44","47","46","46","46"
"Madison","40","3","3","3","3","3","3","3","3","3","3","5","5","5","4"
"Noxubee","34","34","34","34","34","34","34","34","34","34","34","34","34","34","35"
"Rankin/Flowood","8","6","6","6","6","5","6","6","6","6","5","6","5","5","6"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TOTALS","24,237","19,151","19,142","19,164","19,183","19,171","19,154","19,148","19,144","19,140","19,131","19,145","19,125","19,146","19,138"
