"Location","Capacity","19-Apr-15","20-Apr-15","21-Apr-15","22-Apr-15","23-Apr-15","24-Apr-15","25-Apr-15","26-Apr-15","27-Apr-15"
"Mississippi State Penitentiary","4,648","3,150","3,256","3,156","3,182","3,176","3,170","3,173","3,174","3,259"
"MSP TVC","108","91","95","97","96","95","93","93","91","88"
"Central Mississippi Correctional Facility","3,469","2,412","2,388","2,427","2,379","2,376","2,404","2,411","2,413","2,410"
"Youthful Offender Unit","58","24","24","24","24","24","24","24","24","24"
"CMCF TVC","158","121","129","125","128","131","136","136","133","134"
"South Mississippi Correctional Institution","3,282","2,436","2,439","2,341","2,438","2,454","2,455","2,455","2,455","2,362"
"SMCI TVC","0","89","94","98","97","97","99","97","92","92"
"County Jails","1,995","1,464","1,471","1,448","1,442","1,449","1,462","1,462","1,462","1,466"
"COMMUNITY WORK CENTERS","1,848","1,012","1,011","1,006","1,009","1,018","1,006","1,003","1,000","1,009"
"Alcorn Satellite Facility","92","49","51","51","51","54","52","52","52","52"
"Bolivar Satellite Facility","102","45","45","45","45","43","41","41","41","43"
"Forrest Satellite Facility","96","48","49","49","51","51","48","48","48","49"
"George Satellite Facility","102","58","58","58","57","61","61","61","61","62"
"Harrison Satellite Facility","102","42","41","41","41","41","41","41","41","41"
"Jackson Satellite Facility","102","49","47","45","44","44","45","45","45","45"
"Jefferson Satellite Facility","102","45","46","46","46","46","48","47","47","48"
"Leflore Satellite Facility","102","43","43","41","39","39","36","36","35","37"
"Madison Satellite Facility","102","42","43","43","42","42","42","42","42","41"
"Noxubee Satellite Facility","92","61","61","60","59","59","59","59","59","59"
"Pike Satellite Facility","93","81","79","79","85","81","77","77","77","78"
"Quitman Satellite Facility","93","52","57","57","57","59","57","56","56","56"
"Rankin Satellite Facility","260","178","179","179","180","180","179","179","177","178"
"Simpson Satellite Facility","102","88","81","81","81","81","86","86","86","85"
"Washington Satellite Facility","102","38","39","40","39","44","44","44","44","44"
"Wilkinson Satellite Facility","102","50","51","50","49","51","51","51","51","50"
"Yazoo Satellite Facility","102","43","41","41","43","42","39","38","38","41"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,184","4,195","4,178","4,189","4,187","4,181","4,178","4,176","4,166"
"Alcorn County","300","298","297","297","295","300","300","300","300","300"
"Bolivar County","369","352","350","347","348","346","347","345","345","342"
"Carroll County","280","273","273","273","274","274","274","273","272","269"
"Chickasaw County","300","300","299","300","299","296","300","300","300","299"
"George County","280","263","263","258","258","258","259","259","259","259"
"Holmes County","280","264","265","262","262","264","264","264","264","263"
"Issaquena County","274","257","253","251","251","252","254","254","254","254"
"Jefferson County","280","259","260","262","267","263","260","260","260","260"
"Kemper County","355","318","335","337","339","335","334","334","334","334"
"Leake County","280","264","262","258","256","263","262","262","262","262"
"Marion County","280","269","271","269","266","269","267","267","266","266"
"Stone County","280","277","276","275","276","277","276","276","276","275"
"Washington County","300","248","247","246","245","243","243","243","243","243"
"Winston County","280","259","259","258","267","263","257","257","257","257"
"Yazoo County","300","283","285","285","286","284","284","284","284","283"
"PRIVATE PRISONS","5,972","3,982","3,977","3,986","3,985","3,990","3,988","3,988","3,987","3,983"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,141","1,136","1,140","1,140","1,140","1,140","1,140","1,139","1,137"
"Marshall County","1,000","997","996","998","999","999","999","999","999","998"
"Walnut Grove","1,500","954","954","958","959","958","958","958","958","958"
"Wilkinson County","1,000","890","891","890","887","893","891","891","891","890"
"RESTITUTION CENTERS","16","9","10","10","10","10","10","10","10","10"
"Greenwood","6","4","5","5","5","5","5","5","5","5"
"Hinds","6","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"TOTALS","25,726","18,974","19,089","18,896","18,979","19,007","19,028","19,030","19,017","19,003"
