"Location","Capacity","19-Dec-12","20-Dec-12","21-Dec-12","22-Dec-12","23-Dec-12","24-Dec-12","25-Dec-12","26-Dec-12","27-Dec-12"
"Mississippi State Penitentiary","4,648","3,361","3,365","3,358","3,358","3,356","3,352","3,351","3,351","3,353"
"Central Mississippi Correctional Facility","3,557","3,341","3,325","3,340","3,331","3,331","3,329","3,326","3,332","3,363"
"Youthful Offender Unit","42","25","25","26","28","28","25","24","24","23"
"South Mississippi Correctional Institution","3,282","3,247","3,239","3,242","3,239","3,240","3,240","3,239","3,246","3,249"
"County Jails","1,818","2,303","2,273","2,251","2,251","2,251","2,250","2,250","2,242","2,214"
"COMMUNITY WORK CENTERS","1,848","1,484","1,489","1,507","1,504","1,502","1,501","1,501","1,509","1,503"
"Alcorn Satellite Facility","92","92","92","92","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","71","71","70","70","70","69","69","69","69"
"Forrest Satellite Facility","96","72","75","75","75","75","75","75","75","75"
"George Satellite Facility","102","70","70","75","75","75","75","75","77","77"
"Harrison Satellite Facility","102","72","75","75","75","75","75","75","75","75"
"Jackson Satellite Facility","102","63","63","67","67","67","67","67","65","65"
"Jefferson Satellite Facility","102","64","61","60","60","60","60","60","60","60"
"Leflore Satellite Facility","102","70","74","76","76","76","76","76","76","76"
"Madison Satellite Facility","102","91","91","91","91","91","91","91","91","91"
"Noxubee Satellite Facility","92","80","79","78","78","78","78","78","77","77"
"Pike Satellite Facility","93","93","93","93","93","93","93","93","93","93"
"Quitman Satellite Facility","93","93","91","93","92","91","91","91","91","90"
"Rankin Satellite Facility","260","255","256","254","254","253","253","253","253","251"
"Simpson Satellite Facility","102","97","96","96","96","96","96","96","96","96"
"Washington Satellite Facility","102","62","62","72","72","72","72","72","72","71"
"Wilkinson Satellite Facility","102","51","52","52","50","50","50","50","60","59"
"Yazoo Satellite Facility","102","88","88","88","88","88","88","88","87","86"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,361","4,350","4,355","4,350","4,344","4,342","4,337","4,342","4,354"
"Alcorn County","300","299","299","299","298","297","297","296","296","300"
"Bolivar County","369","368","367","369","369","367","367","365","366","366"
"Carroll County","280","280","279","279","278","278","278","278","279","280"
"Chickasaw County","300","299","300","299","298","297","297","297","296","300"
"George County","280","279","279","277","277","276","276","276","276","275"
"Holmes County","280","280","274","278","278","278","278","277","277","281"
"Issaquena County","274","273","273","274","273","273","273","273","273","274"
"Jefferson County","280","280","280","280","280","280","279","279","279","279"
"Kemper County","355","340","340","339","339","339","339","339","339","338"
"Leake County","280","280","279","280","280","279","278","278","280","279"
"Marion County","280","280","280","280","280","280","280","280","281","281"
"Stone County","280","279","279","278","278","278","278","278","279","279"
"Washington County","300","242","241","240","240","240","240","240","239","239"
"Winston County","280","278","278","280","280","280","280","280","280","280"
"Yazoo County","300","304","302","303","302","302","302","301","302","303"
"PRIVATE PRISONS","5,972","4,284","4,337","4,334","4,333","4,333","4,329","4,327","4,327","4,329"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,123","1,126","1,125","1,125","1,125","1,123","1,122","1,122","1,126"
"Marshall County","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000"
"Walnut Grove","1,500","1,254","1,305","1,303","1,303","1,303","1,303","1,302","1,300","1,299"
"Wilkinson County","1,000","907","906","906","905","905","903","903","905","904"
"RESTITUTION CENTERS","16","11","13","13","13","13","13","13","11","11"
"Greenwood","6","4","4","4","4","4","4","4","2","2"
"Hinds","6","4","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","4","3","5","7","5","5","6","4","4"
"TOTALS","25,611","22,421","22,419","22,431","22,414","22,403","22,386","22,374","22,388","22,403"
