"Location","Capacity","19-Jan-14","20-Jan-14","21-Jan-14","22-Jan-14","23-Jan-14","24-Jan-14","25-Jan-14","26-Jan-14","27-Jan-14"
"Mississippi State Penitentiary","4,648","3,319","3,316","3,369","3,358","3,350","3,357","3,356","3,351","3,345"
"Central Mississippi Correctional Facility","3,665","3,209","3,210","2,991","3,020","3,061","3,074","3,073","3,074","3,129"
"Youthful Offender Unit","42","38","38","38","38","36","36","36","36","36"
"South Mississippi Correctional Institution 3,282","","3,187","3,185","3,197","3,199","3,206","3,212","3,211","3,208","3,210"
"County Jails","1,905","2,205","2,198","2,207","2,133","2,099","2,084","2,084","2,084","2,062"
"COMMUNITY WORK CENTERS","1,848","1,196","1,226","1,254","1,243","1,246","1,216","1,211","1,210","1,231"
"Alcorn Satellite Facility","92","88","89","87","92","90","87","86","85","89"
"Bolivar Satellite Facility","102","61","60","58","59","60","57","57","57","59"
"Forrest Satellite Facility","96","56","56","69","68","68","67","67","67","67"
"George Satellite Facility","102","38","38","38","38","37","36","36","36","37"
"Harrison Satellite Facility","102","66","70","70","70","69","67","65","65","66"
"Jackson Satellite Facility","102","61","66","67","67","67","65","65","65","66"
"Jefferson Satellite Facility","102","57","59","64","63","63","63","63","63","62"
"Leflore Satellite Facility","102","51","53","51","50","53","50","50","50","50"
"Madison Satellite Facility","102","58","58","61","61","61","59","59","59","57"
"Noxubee Satellite Facility","92","76","76","81","80","80","79","79","79","80"
"Pike Satellite Facility","93","85","86","87","84","84","81","81","81","81"
"Quitman Satellite Facility","93","81","83","81","78","78","78","78","78","81"
"Rankin Satellite Facility","260","198","209","208","208","209","201","201","201","210"
"Simpson Satellite Facility","102","82","82","81","81","81","82","82","82","83"
"Washington Satellite Facility","102","57","57","67","63","63","62","60","60","60"
"Wilkinson Satellite Facility","102","40","42","42","39","39","38","38","38","39"
"Yazoo Satellite Facility","102","41","42","42","42","44","44","44","44","44"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,313","4,311","4,389","4,400","4,398","4,385","4,379","4,375","4,362"
"Alcorn County","300","286","286","285","293","292","290","289","289","288"
"Bolivar County","369","358","358","366","368","368","368","368","367","364"
"Carroll County","280","273","273","277","275","276","276","276","276","276"
"Chickasaw County","300","295","295","299","300","300","300","300","300","300"
"George County","280","265","264","278","277","277","278","277","276","272"
"Holmes County","280","274","274","276","276","277","278","278","278","278"
"Issaquena County","274","272","272","273","274","275","275","275","275","275"
"Jefferson County","280","271","271","278","278","279","279","278","278","278"
"Kemper County","355","351","351","355","353","351","350","349","348","347"
"Leake County","280","270","270","276","276","275","270","270","270","270"
"Marion County","280","280","279","278","280","280","280","280","280","280"
"Stone County","280","272","272","280","280","280","280","279","279","279"
"Washington County","300","291","291","289","297","296","293","293","292","291"
"Winston County","280","266","266","279","274","273","272","272","272","270"
"Yazoo County","300","289","289","300","299","299","296","295","295","294"
"PRIVATE PRISONS","5,972","4,334","4,331","4,342","4,379","4,384","4,387","4,384","4,381","4,376"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,187","1,185","1,176","1,197","1,198","1,196","1,196","1,195","1,197"
"Marshall County","1,000","987","987","995","996","996","999","998","998","998"
"Walnut Grove","1,500","1,271","1,271","1,285","1,295","1,298","1,301","1,299","1,297","1,291"
"Wilkinson County","1,000","889","888","886","891","892","891","891","891","890"
"RESTITUTION CENTERS","16","10","10","10","10","10","9","9","9","9"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","3","3","3","3","3","2","2","2","2"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,611","21,811","21,825","21,797","21,780","21,790","21,760","21,743","21,728","21,760"
"","","19-Jan-14","20-Jan-14","21-Jan-14","22-Jan-14","23-Jan-14","24-Jan-14","25-Jan-14","26-Jan-14","27-Jan-14"
