"Location","Capacity","27-Sep-04","28-Sep-04","29-Sep-04","30-Sep-04"
"MS STATE PENITENTIARY","4,892","4,813","4,821","4,812","4,805"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,161","3,183","3,193","3,209"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,184","2,177","2,176","2,175"
"COUNTY JAILS","2,209","2,012","2,012","1,987","1,985"
"COMMUNITY WORK CENTERS","1,816","1,717","1,714","1,717","1,708"
"Alcorn Satellite Facility","92","91","91","91","91"
"Bolivar Satellite Facility","102","101","101","102","102"
"Forrest Satellite Facility","96","94","94","93","93"
"George Satellite Facility","102","101","102","102","102"
"Harrison Satellite Facility","102","98","98","98","98"
"Jackson Satellite Facility","102","93","96","96","95"
"Jefferson Satellite Facility","102","96","95","95","95"
"Leflore Satellite Facility","102","99","98","97","95"
"Madison Satellite Facility","102","102","101","101","100"
"Noxubee Satellite Facility","92","89","89","92","92"
"Pike Satellite Facility","93","62","62","61","61"
"Quitman Satellite Facility","93","90","88","87","84"
"Rankin Satellite Facility","228","219","221","221","220"
"Simpson Satellite Facility","102","99","99","99","100"
"Washington Satellite Facility","102","100","96","95","95"
"Wilkinson Satellite Facility","102","83","83","87","87"
"Yazoo Satellite Facility","102","100","100","100","98"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,736","2,736","2,737","2,739"
"Bolivar County","250","248","247","248","248"
"Carroll County","250","250","250","250","248"
"George County","250","249","249","249","249"
"Holmes County","250","250","250","249","249"
"Issaquena County","250","247","244","243","249"
"Jefferson County","250","249","249","250","249"
"Kemper County","250","248","250","250","250"
"Leake County","250","250","249","250","249"
"Marion County","250","248","250","249","249"
"Stone County","250","250","250","250","250"
"Winston County","250","247","248","249","249"
"PRIVATE PRISONS","4,960","4,605","4,594","4,620","4,621"
"Delta       (Reopened 04-01-04)","960","957","956","958","957"
"East MS","1,000","875","872","871","871"
"Marshall County","1,000","993","991","994","993"
"Walnut Grove","1,000","788","786","803","807"
"Wilkinson County","1,000","992","989","994","993"
"RESITITUTION CENTERS","18","12","12","13","13"
"Greenwood","6","5","5","6","6"
"Hinds                                   (See Note Below)","6","4","4","4","4"
"Pascagoula","6","3","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","5","2","2","3"
"TOTALS","22,098","21,250","21,256","21,262","21,263"
"","","27-Sep-04","28-Sep-04","29-Sep-04","30-Sep-04"
