"Location","Capacity","19-Mar-08","20-Mar-08","21-Mar-08","22-Mar-08","23-Mar-08","24-Mar-08","25-Mar-08","26-Mar-08","27-Mar-08"
"Mississippi State Penitentiary","4,527","4,220","4,212","4,216","4,214","4,212","4,208","4,223","4,241","4,237"
"Central Mississippi Correctional Facility","3,665","3,600","3,602","3,593","3,589","3,589","3,593","3,579","3,596","3,627"
"South Mississippi Correctional Institution","3,204","3,087","3,102","3,104","3,103","3,102","3,116","3,117","3,102","3,119"
"County Jails","1,662","1,902","1,906","1,922","1,922","1,922","1,920","1,925","1,931","1,909"
"COMMUNITY WORK CENTERS","1,848","1,796","1,804","1,774","1,774","1,772","1,802","1,799","1,791","1,790"
"Alcorn Satellite Facility","92","92","92","88","88","88","92","92","92","92"
"Bolivar Satellite Facility","102","94","94","99","99","99","101","100","99","99"
"Forrest Satellite Facility","96","95","95","92","92","92","95","96","96","96"
"George Satellite Facility","102","100","100","100","100","100","98","98","102","101"
"Harrison Satellite Facility","102","102","101","99","99","99","101","99","99","95"
"Jackson Satellite Facility","102","100","100","100","100","99","98","100","100","100"
"Jefferson Satellite Facility","102","102","100","98","98","98","100","94","89","90"
"Leflore Satellite Facility","102","99","102","97","97","97","102","102","101","101"
"Madison Satellite Facility","102","97","98","96","96","96","97","96","96","96"
"Noxubee Satellite Facility","92","87","92","92","92","92","92","92","91","91"
"Pike Satellite Facility","93","88","87","86","86","86","86","90","89","92"
"Quitman Satellite Facility","93","90","90","85","85","85","88","87","87","88"
"Rankin Satellite Facility","260","254","255","248","248","247","251","253","252","251"
"Simpson Satellite Facility","102","100","100","99","99","99","102","101","102","102"
"Washington Satellite Facility","102","97","98","96","96","96","98","98","96","96"
"Wilkinson Satellite Facility","102","102","102","99","99","99","102","100","100","100"
"Yazoo Satellite Facility","102","97","98","100","100","100","99","101","100","100"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,080","3,084","3,086","3,081","3,077","3,079","3,083","3,083","3,073"
"Bolivar County","294","291","293","294","294","293","294","293","294","293"
"Carroll County","280","280","280","280","280","280","280","280","279","279"
"George County","280","280","280","280","279","279","279","278","278","278"
"Holmes County","280","280","280","280","279","279","280","280","280","280"
"Issaquena County","274","274","273","273","272","272","272","274","272","271"
"Jefferson County","280","280","280","280","280","280","280","281","281","281"
"Kemper County","280","280","280","280","279","278","278","279","279","276"
"Leake County","280","279","280","280","280","280","280","280","280","276"
"Marion County","280","278","278","280","280","280","280","280","280","280"
"Stone County","280","278","280","280","278","276","278","280","280","280"
"Winston County","280","280","280","279","280","280","278","278","280","279"
"PRIVATE PRISONS","4,972","4,800","4,794","4,800","4,798","4,797","4,792","4,804","4,807","4,808"
"Delta","972","969","971","972","972","972","971","970","972","971"
"East Mississippi","1,000","885","886","884","884","883","884","884","889","888"
"Marshall County","1,000","1,000","1,000","997","996","996","995","999","999","1,000"
"Tallahatchie County","0","0","0","0","0","0","0","0","0","0"
"Walnut Grove","1,000","954","946","953","953","953","950","956","954","957"
"Wilkinson County","1,000","992","991","994","993","993","992","995","993","992"
"RESTITUTION CENTERS","16","14","12","12","12","12","13","14","14","14"
"Greenwood","6","5","5","5","5","5","5","6","6","6"
"Hinds","6","6","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","5","4","37","38","38","5","5","6","2"
"TOTALS","22,988","22,509","22,525","22,549","22,536","22,526","22,533","22,554","22,576","22,584"
"","","19-Mar-08","20-Mar-08","21-Mar-08","22-Mar-08","23-Mar-08","24-Mar-08","25-Mar-08","26-Mar-08","27-Mar-08"
