"Location","Capacity","10-Aug-15","11-Aug-15","12-Aug-15","13-Aug-15","14-Aug-15","15-Aug-15","16-Aug-15","17-Aug-15","18-Aug-15"
"Mississippi State Penitentiary","4,648","3,111","3,112","3,112","3,088","3,087","3,087","3,087","3,093","3,094"
"MSP TVC","108","96","97","97","92","91","91","91","84","85"
"Central Mississippi Correctional Facility","3,469","2,420","2,421","2,421","2,478","2,477","2,477","2,477","2,511","2,512"
"Youthful Offender Unit","58","24","25","25","24","23","23","23","24","25"
"CMCF TVC","158","129","130","130","129","128","128","128","121","122"
"South Mississippi Correctional Institution 3,282","","2,533","2,534","2,534","2,527","2,526","2,526","2,526","2,502","2,503"
"SMCI TVC","0","93","94","94","91","90","90","90","95","96"
"County Jails","2,006","1,058","1,059","1,059","1,090","1,089","1,089","1,089","1,082","1,082"
"COMMUNITY WORK CENTERS","1,848","1,189","1,204","1,209","1,194","1,185","1,179","1,179","1,189","1,189"
"Alcorn Satellite Facility","92","85","86","86","86","85","85","85","86","86"
"Bolivar Satellite Facility","102","58","59","59","60","59","59","59","59","59"
"Forrest Satellite Facility","96","57","58","58","56","55","55","55","56","56"
"George Satellite Facility","102","48","49","49","48","47","47","47","45","45"
"Harrison Satellite Facility","102","47","48","48","46","45","45","45","51","51"
"Jackson Satellite Facility","102","60","61","61","60","59","59","59","59","59"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","81","82","82","81","80","80","80","80","80"
"Madison Satellite Facility","102","68","69","69","63","62","62","62","60","60"
"Noxubee Satellite Facility","92","71","72","72","75","74","74","74","75","75"
"Pike Satellite Facility","93","70","71","71","73","73","72","72","76","76"
"Quitman Satellite Facility","93","74","75","76","73","73","72","72","71","71"
"Rankin Satellite Facility","260","187","187","187","184","184","184","184","185","185"
"Simpson Satellite Facility","102","83","84","85","86","86","85","85","88","88"
"Washington Satellite Facility","102","69","70","71","75","75","74","74","74","74"
"Wilkinson Satellite Facility","102","57","58","59","55","55","54","54","54","54"
"Yazoo Satellite Facility","102","74","75","76","73","73","72","72","70","70"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,220","4,235","4,247","4,199","4,199","4,198","4,186","4,199","4,199"
"Alcorn County","300","297","298","299","300","300","299","299","300","300"
"Bolivar County","369","356","357","358","352","352","352","351","350","350"
"Carroll County","280","276","277","278","274","274","274","273","274","274"
"Chickasaw County","300","298","299","300","298","298","298","297","300","300"
"George County","280","272","273","274","271","271","271","270","271","271"
"Holmes County","280","266","267","268","260","260","260","259","268","268"
"Issaquena County","274","264","265","264","264","264","264","263","259","259"
"Jefferson County","280","265","266","267","261","261","261","260","260","260"
"Kemper County","355","343","344","345","342","342","342","341","345","345"
"Leake County","280","269","270","271","263","263","263","262","262","262"
"Marion County","280","272","273","274","271","271","271","270","271","271"
"Stone County","280","277","278","279","276","276","276","275","277","277"
"Washington County","300","215","215","215","214","214","214","214","214","214"
"Winston County","280","264","266","267","267","267","267","266","261","261"
"Yazoo County","300","286","287","288","286","286","286","286","287","287"
"PRIVATE PRISONS","5,972","3,836","3,840","3,844","3,857","3,857","3,857","3,857","3,852","3,852"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,126","1,127","1,128","1,121","1,121","1,121","1,121","1,118","1,118"
"Marshall County","1,000","990","991","992","1,000","1,000","1,000","1,000","999","999"
"Walnut Grove","1,500","932","933","934","938","938","938","938","926","926"
"Wilkinson County","1,000","788","789","790","798","798","798","798","809","809"
"RESTITUTION CENTERS","16","13","18","19","13","13","13","13","12","12"
"Greenwood","6","4","5","6","4","4","4","4","4","4"
"Hinds","6","6","8","8","6","6","6","6","5","5"
"Pascagoula","4","3","5","5","3","3","3","3","3","3"
"TOTALS","25,737","18,722","18,769","18,791","18,782","18,765","18,758","18,746","18,764","18,771"
"","","10-Aug-15","11-Aug-15","12-Aug-15","13-Aug-15","14-Aug-15","15-Aug-15","16-Aug-15","17-Aug-15","18-Aug-15"
