"Location","Capacity","11-Dec-16","12-Dec-16","13-Dec-16","14-Dec-16","15-Dec-16","16-Dec-16"
"Mississippi State Penitentiary","3590","3362","3358","3,347","3350","3348","3342"
"Central Mississippi Correctional Facility","3,858","3,272","3,278","3,309","3,329","3,368","3,327"
"Youthful Offender Unit","58","30","30","30","30","30","30"
"CMCF TVC","","1","1","1","1","2","5"
"South Mississippi Correctional Institution","3,082","3,061","3,059","3,055","3,059","3,057","3,063"
"County Jails","1,781","1,266","1,298","1,291","1,292","1,267","1,275"
"COMMUNITY WORK CENTERS","1,348","919","929","921","914","923","957"
"Alcorn Satellite Facility","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","62","66","65","64","64","64"
"George Satellite Facility","102","76","75","76","75","77","77"
"Harrison Satellite Facility","102","47","47","48","60","60","60"
"Jackson Satellite Facility","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0"
"Leflore TVC","82","58","59","57","56","54","63"
"Leflore TVC Support","20","9","9","9","9","9","9"
"Madison Satellite Facility","102","71","71","71","69","69","73"
"Noxubee Satellite Facility","92","72","77","77","77","80","79"
"Pike Satellite Facility","93","84","90","90","78","78","77"
"Quitman Satellite Facility","93","49","49","49","47","47","47"
"Rankin Satellite Facility","182","155","154","150","153","155","157"
"Rankin RID","28","2","2","2","2","2","2"
"Flowood TVC","50","27","26","26","26","26","26"
"Simpson TVC","82","53","51","50","51","51","70"
"Simpson TVC Support","20","15","15","13","13","13","13"
"Washington Satellite Facility","102","75","74","74","74","74","76"
"Wilkinson Satellite Facility","102","64","64","64","60","64","64"
"Yazoo Satellite Facility","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,962","3,963","3,947","3,941","3,933","3,938"
"Alcorn County","300","239","238","238","238","240","240"
"Bolivar County","369","290","294","294","294","293","292"
"Carroll County","280","247","247","245","245","240","240"
"Chickasaw County","310","271","271","270","267","267","267"
"George County","280","267","267","262","261","260","259"
"Holmes County","280","224","224","224","223","223","222"
"Issaquena County","274","272","272","274","274","274","272"
"Jefferson County","280","279","279","279","280","279","278"
"Kemper County","355","350","349","347","349","348","352"
"Leake County","280","200","200","198","199","199","200"
"Marion County","280","274","273","273","272","272","272"
"Stone County","326","321","321","321","319","319","319"
"Washington County","300","226","226","220","220","220","227"
"Winston County","280","241","241","241","241","241","241"
"Yazoo County","300","261","261","261","259","258","257"
"PRIVATE PRISONS","5,972","3,066","3,070","3,066","3,060","3,061","3,075"
"Delta","972","0","0","0","0","0","0"
"East Mississippi","1,500","1,172","1,171","1,170","1,168","1,169","1,181"
"Marshall County","1,000","999","999","997","997","1,000","1,000"
"Walnut Grove","1,500","0","0","0","0","0","0"
"Wilkinson County","1,000","895","900","899","895","892","894"
"RESTITUTION CENTERS","16","13","13","13","13","13","13"
"Greenwood","6","5","5","5","5","5","5"
"Hinds","6","6","6","6","6","6","6"
"Pascagoula","4","2","2","2","2","2","2"
"TOTALS","24,199","18,952","18,999","18,980","18,989","19,002","19,025"
