"Location","Capacity","11-Sep-01","12-Sep-01","13-Sep-01","14-Sep-01","15-Sep-01","16-Sep-01","17-Sep-01","18-Sep-01","19-Sep-01","20-Sep-01"
"MS STATE PENITENTIARY","5,612","5,215","5,201","5,193","5,217","5,214","5,214","5,205","5,229","5,219","5,210"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,039","3,023","3,063","3,034","3,036","3,039","3,061","3,042","3,035","3,053"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,989","2,012","1,985","1,974","1,973","1,971","1,962","1,961","1,979","1,995"
"COUNTY JAILS","2,122","1,490","1,517","1,518","1,557","1,558","1,558","1,562","1,554","1,545","1,517"
"COMMUNITY WORK CENTERS","1,320","1,242","1,230","1,236","1,210","1,209","1,208","1,241","1,246","1,246","1,252"
"Alcorn Satellite Facility","75","71","75","74","69","69","69","74","74","74","74"
"Bolivar Satellite Facility","75","73","72","72","68","68","68","73","73","73","73"
"Forrest Satellite Facility","75","73","71","72","68","68","68","71","70","73","74"
"George Satellite Facility","75","75","73","74","71","71","71","74","74","73","73"
"Harrison Satellite Facility","75","71","70","70","70","70","70","70","74","74","74"
"Jackson Satellite Facility","75","75","75","75","69","69","70","73","73","73","72"
"Jefferson Satellite Facility","75","74","74","74","70","70","70","74","74","73","75"
"Leflore Satellite Facility","75","74","73","73","75","75","75","74","74","74","74"
"Madison Satellite Facility","75","74","74","74","69","68","68","73","73","71","70"
"Noxubee Satellite Facility","75","74","72","70","68","68","68","70","70","69","70"
"Pike Satellite Facility","75","56","55","55","54","54","54","53","53","53","54"
"Quitman Satellite Facility","75","52","52","52","52","52","52","51","51","55","56"
"Rankin Satellite Facility","120","107","105","110","118","118","118","117","117","116","116"
"Simpson Satellite Facility","75","71","72","73","73","73","73","75","75","75","75"
"Washington Satellite Facility","75","73","71","72","71","71","71","74","74","74","74"
"Wilikinson Satellite Facility","75","74","72","72","70","70","70","72","74","73","73"
"Yazoo Satellite Facility","75","75","74","74","75","75","73","73","73","73","75"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,023","2,015","2,027","2,028","2,027","2,027","2,023","2,017","2,010","2,015"
"Bolivar County","250","206","201","201","203","203","203","203","203","200","203"
"Carroll County","250","201","201","200","200","200","200","197","197","197","197"
"Holmes County","250","200","199","198","198","198","198","198","195","195","193"
"Issaquena County","250","194","193","198","197","196","196","195","195","194","194"
"Jefferson County","250","210","209","211","211","211","211","211","211","211","212"
"Kemper County","250","223","223","224","224","224","224","224","223","223","225"
"Leake County","250","195","195","200","199","199","199","199","199","199","199"
"Marion County","250","198","198","196","196","196","196","196","196","193","193"
"Stone County","250","200","200","201","201","201","201","201","198","198","198"
"Winston County","250","196","196","198","199","199","199","199","200","200","201"
"PRIVATE PRISONS","3,900","3,510","3,509","3,509","3,502","3,502","3,501","3,498","3,500","3,493","3,491"
"Delta","1,000","840","839","843","840","840","840","840","839","838","841"
"East MS","500","499","498","498","498","498","498","496","496","495","496"
"Marshall County","1,000","870","870","871","868","868","867","866","866","866","865"
"Walnut Grove","500","415","416","415","415","415","415","415","414","410","405"
"Wilkinson County","900","886","886","882","881","881","881","881","885","884","884"
"RESITITUTION CENTERS","24","16","16","16","16","16","16","16","16","16","16"
"Greenwood","6","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","9","9","9","9","9","9","9","9","9","9"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,747","18,530","18,529","18,553","18,544","18,541","18,540","18,574","18,571","18,549","18,555"
