"Location","Capacity","18-Jul-18","19-Jul-18","20-Jul-18","21-Jul-18","22-Jul-18","23-Jul-18","24-Jul-18","25-Jul-18","26-Jul-18","27-Jul-18","28-Jul-18","29-Jul-18","30-Jul-18","31-Jul-18","Avg Population"
"Mississippi State Penitentiary","3,590","3,421","3,418","3,414","3,414","3,412","3,398","3,385","3,369","3,354","3,353","3,352","3,350","3,344","3,320","3,397"
"Central Mississippi Correctional Facility","4,022","3,657","3,668","3,669","3,669","3,667","3,649","3,682","3,696","3,700","3,691","3,688","3,688","3,692","3,705","3,693"
"Youthful Offender Unit","58","34","34","35","35","35","35","35","36","36","35","35","35","35","35","36"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,057","3,060","3,055","3,055","3,054","3,056","3,051","3,044","3,055","3,055","3,055","3,054","3,049","3,048","3,052"
"County Jails","1,781","1,401","1,399","1,419","1,419","1,419","1,389","1,371","1,354","1,335","1,312","1,312","1,312","1,294","1,264","1370"
"COMMUNITY WORK CENTERS","1,512","947","945","946","945","945","951","956","974","972","949","945","943","979","1,001","943"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","78","78","78","78","78","78","76","75","75","73","73","73","73","73","77"
"Delta TVC","300","226","225","225","224","224","224","223","228","227","225","221","220","238","248","222"
"Forrest Satellite Facility","96","56","56","55","55","55","55","55","56","56","52","52","52","64","64","56"
"George Satellite Facility","102","69","70","68","68","68","74","74","73","73","72","72","72","72","67","69"
"Harrison Satellite Facility","102","49","48","48","48","48","47","48","48","48","47","47","47","39","57","47"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","65","65","64","64","64","66","64","65","65","64","64","64","68","66","65"
"Noxubee Satellite Facility","58","52","49","49","49","49","49","49","49","49","48","48","48","49","49","49"
"Pike Satellite Facility","93","65","67","64","64","64","66","66","71","71","69","69","69","70","72","67"
"Quitman Satellite Facility","93","47","46","46","46","46","46","46","56","56","56","56","56","56","57","44"
"Rankin Satellite Facility","178","135","135","135","135","135","132","143","141","141","141","141","141","142","143","136"
"Rankin RID","28","28","28","28","28","28","28","28","28","27","21","21","21","26","23","27"
"Flowood TVC","50","29","29","37","37","37","37","37","37","37","34","34","33","33","33","34"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
