"","","","","","","","","","",""
"Location","Capacity","10-Nov-13","11-Nov-13","12-Nov-13","13-Nov-13","14-Nov-13","15-Nov-13","16-Nov-13","17-Nov-13","18-Nov-13"
"Mississippi State Penitentiary","4,648","3,369","3,369","3,378","3,378","3,382","3,380","3,374","3,373","3,370"
"Central Mississippi Correctional Facility","3,557","3,293","3,292","3,308","3,328","3,312","3,317","3,312","3,314","3,303"
"Youthful Offender Unit","42","37","37","37","37","37","38","38","38","38"
"South Mississippi Correctional Institution 3,282","","3,194","3,191","3,190","3,195","3,198","3,207","3,206","3,205","3,199"
"County Jails","1,905","2,128","2,130","2,112","2,111","2,120","2,102","2,102","2,102","2,101"
"COMMUNITY WORK CENTERS","1,848","1,373","1,384","1,377","1,375","1,380","1,363","1,362","1,360","1,378"
"Alcorn Satellite Facility","92","90","90","90","92","92","91","90","90","89"
"Bolivar Satellite Facility","102","67","68","67","67","67","68","68","68","66"
"Forrest Satellite Facility","96","72","72","72","72","75","71","71","70","74"
"George Satellite Facility","102","62","62","60","61","64","66","66","66","68"
"Harrison Satellite Facility","102","76","77","78","78","78","74","74","74","77"
"Jackson Satellite Facility","102","73","73","71","69","68","67","67","67","66"
"Jefferson Satellite Facility","102","60","60","61","59","58","57","57","57","65"
"Leflore Satellite Facility","102","67","68","68","68","68","70","70","70","69"
"Madison Satellite Facility","102","77","77","76","75","74","74","74","74","74"
"Noxubee Satellite Facility","92","68","69","70","72","74","70","70","70","73"
"Pike Satellite Facility","93","93","93","92","92","91","92","92","92","91"
"Quitman Satellite Facility","93","89","91","92","92","91","90","90","90","89"
"Rankin Satellite Facility","260","222","223","222","221","224","225","225","225","226"
"Simpson Satellite Facility","102","85","84","81","82","81","80","80","79","79"
"Washington Satellite Facility","102","70","70","70","69","68","64","64","64","67"
"Wilkinson Satellite Facility","102","48","48","48","47","48","46","46","46","47"
"Yazoo Satellite Facility","102","54","59","59","59","59","58","58","58","58"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,419","4,417","4,403","4,402","4,411","4,408","4,403","4,401","4,415"
"Alcorn County","300","299","299","289","289","287","286","286","285","285"
"Bolivar County","369","368","368","368","367","368","369","368","368","369"
"Carroll County","280","280","280","278","280","279","279","279","279","277"
"Chickasaw County","300","300","298","298","298","300","300","299","299","298"
"George County","280","280","280","279","279","279","280","279","279","280"
"Holmes County","280","280","280","280","280","279","280","279","279","280"
"Issaquena County","274","274","274","274","272","274","274","274","274","274"
"Jefferson County","280","278","278","279","279","279","277","277","277","279"
"Kemper County","355","355","355","352","351","355","355","355","355","354"
"Leake County","280","277","277","279","279","278","277","277","277","280"
"Marion County","280","279","279","279","280","280","279","279","279","280"
"Stone County","280","280","280","279","279","279","278","277","277","280"
"Washington County","300","290","290","290","290","294","294","294","294","299"
"Winston County","280","280","280","280","280","280","279","279","279","279"
"Yazoo County","300","299","299","299","299","300","301","301","300","301"
"PRIVATE PRISONS","5,972","4,409","4,408","4,413","4,418","4,417","4,416","4,415","4,414","4,413"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,197","1,196","1,199","1,199","1,199","1,197","1,196","1,196","1,198"
"Marshall County","1,000","999","999","998","998","998","1,000","1,000","1,000","999"
"Walnut Grove","1,500","1,316","1,316","1,316","1,317","1,317","1,317","1,317","1,316","1,315"
"Wilkinson County","1,000","897","897","900","904","903","902","902","902","901"
"RESTITUTION CENTERS","16","10","10","10","10","11","9","9","9","10"
"Greenwood","6","3","3","3","3","4","4","4","4","5"
"Hinds","6","5","5","5","5","5","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,714","22,232","22,238","22,228","22,254","22,268","22,240","22,221","22,216","22,227"
"","","10-Nov-13","11-Nov-13","12-Nov-13","13-Nov-13","14-Nov-13","15-Nov-13","16-Nov-13","17-Nov-13","18-Nov-13"
