"Location","Capacity","28-Apr-08","29-Apr-08","30-Apr-08","","Avg Population"
"Mississippi State Penitentiary","4,527","4,155","4,155","4,169","","4,185"
"Central Mississippi Correctional Facility","3,665","3,728","3,754","3,770","","3,706"
"South Mississippi Correctional Institution","3,204","3,115","3,100","3,094","","3,113"
"County Jails","1,662","2,015","2,025","2,030","","1,988"
"COMMUNITY WORK CENTERS","1,848","1,778","1,775","1,786","","1,758"
"Alcorn Satellite Facility","92","92","91","91","","90"
"Bolivar Satellite Facility","102","102","102","100","","98"
"Forrest Satellite Facility","96","93","92","92","","92"
"George Satellite Facility","102","98","99","99","","100"
"Harrison Satellite Facility","102","96","95","95","","89"
"Jackson Satellite Facility","102","97","96","98","","98"
"Jefferson Satellite Facility","102","97","97","102","","93"
"Leflore Satellite Facility","102","101","98","98","","99"
"Madison Satellite Facility","102","91","94","100","","97"
"Noxubee Satellite Facility","92","90","90","90","","88"
"Pike Satellite Facility","93","89","90","91","","89"
"Quitman Satellite Facility","93","89","92","93","","87"
"Rankin Satellite Facility","260","249","250","249","","248"
"Simpson Satellite Facility","102","100","100","102","","99"
"Washington Satellite Facility","102","100","99","98","","97"
"Wilkinson Satellite Facility","102","96","96","94","","96"
"Yazoo Satellite Facility","102","98","94","94","","97"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,078","3,079","3,079","","3,082"
"Bolivar County","294","293","292","292","","293"
"Carroll County","280","279","279","280","","280"
"George County","280","279","278","278","","279"
"Holmes County","280","279","280","280","","280"
"Issaquena County","274","270","273","274","","274"
"Jefferson County","280","280","279","278","","280"
"Kemper County","280","280","280","279","","280"
"Leake County","280","280","280","280","","280"
"Marion County","280","279","279","279","","279"
"Stone County","280","280","280","279","","279"
"Winston County","280","279","279","280","","279"
"PRIVATE PRISONS","4,972","4,811","4,810","4,812","","4,811"
"Delta","972","971","971","971","","970"
"East Mississippi","1,000","891","890","894","","892"
"Marshall County","1,000","997","999","997","","999"
"Tallahatchie County","0","0","0","0","","0"
"Walnut Grove","1,000","964","962","962","","958"
"Wilkinson County","1,000","988","988","988","","994"
"RESTITUTION CENTERS","16","11","11","11","","12"
"Greenwood","6","4","4","4","","5"
"Hinds","6","4","4","4","","4"
"Pascagoula","4","3","3","3","","3"
"GOVERNOR'S MANSION","6","6","6","6","","5"
"E-CODE","0","8","8","6","","16"
"TOTALS","22,988","22,705","22,723","22,763","","22,675"
"","","28-Apr-08","29-Apr-08","30-Apr-08","",""
