"Location","Capacity","1-Feb-14","2-Feb-14","3-Feb-14","4-Feb-14","5-Feb-14","6-Feb-14","7-Feb-14","8-Feb-14","9-Feb-14"
"Mississippi State Penitentiary","4,648","3,300","3,300","3,318","3,319","3,332","3,326","3,322","3,321","3,316"
"Central Mississippi Correctional Facility","3,665","3,132","3,128","3,127","3,127","3,073","3,077","3,045","3,046","3,046"
"Youthful Offender Unit","42","36","36","36","36","36","36","36","36","36"
"South Mississippi Correctional Institution 3,282","","3,187","3,185","3,185","3,195","3,216","3,214","3,204","3,203","3,203"
"County Jails","2,020","2,109","2,109","2,068","2,051","2,028","2,010","2,006","2,006","2,006"
"COMMUNITY WORK CENTERS","1,848","1,214","1,214","1,210","1,220","1,236","1,246","1,231","1,230","1,229"
"Alcorn Satellite Facility","92","88","88","85","85","84","84","88","88","88"
"Bolivar Satellite Facility","102","63","63","63","66","66","66","64","64","64"
"Forrest Satellite Facility","96","59","59","58","60","60","59","56","56","56"
"George Satellite Facility","102","47","47","47","48","49","49","53","53","53"
"Harrison Satellite Facility","102","57","57","59","64","64","63","61","61","61"
"Jackson Satellite Facility","102","62","62","62","62","61","62","60","60","60"
"Jefferson Satellite Facility","102","59","59","61","58","58","53","53","53","53"
"Leflore Satellite Facility","102","56","56","55","55","55","56","56","56","56"
"Madison Satellite Facility","102","57","57","55","54","54","54","56","55","55"
"Noxubee Satellite Facility","92","77","77","77","76","76","76","74","74","74"
"Pike Satellite Facility","93","84","84","85","85","85","87","86","86","86"
"Quitman Satellite Facility","93","81","81","80","88","88","91","90","90","89"
"Rankin Satellite Facility","260","203","203","203","203","203","205","199","199","199"
"Simpson Satellite Facility","102","82","82","81","80","86","85","85","85","85"
"Washington Satellite Facility","102","56","56","56","56","59","60","57","57","57"
"Wilkinson Satellite Facility","102","36","36","36","35","43","43","41","41","41"
"Yazoo Satellite Facility","102","47","47","47","45","45","53","52","52","52"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,356","4,352","4,354","4,357","4,391","4,399","4,419","4,413","4,411"
"Alcorn County","300","299","299","299","299","296","300","300","299","299"
"Bolivar County","369","364","364","361","365","367","365","367","367","367"
"Carroll County","280","272","272","271","271","279","278","278","278","278"
"Chickasaw County","300","300","300","298","297","297","296","300","300","299"
"George County","280","278","277","277","277","280","279","275","275","275"
"Holmes County","280","275","275","279","279","279","275","277","276","276"
"Issaquena County","274","274","274","274","274","273","273","274","273","273"
"Jefferson County","280","278","277","279","275","275","282","281","280","279"
"Kemper County","355","343","343","340","350","349","349","354","354","354"
"Leake County","280","269","269","267","267","278","279","280","280","280"
"Marion County","280","280","279","279","278","278","280","278","277","277"
"Stone County","280","279","279","279","278","278","280","280","280","280"
"Washington County","300","287","286","286","286","286","286","296","295","295"
"Winston County","280","265","265","265","265","278","278","278","278","278"
"Yazoo County","300","293","293","300","296","298","299","301","301","301"
"PRIVATE PRISONS","5,972","4,373","4,372","4,363","4,363","4,366","4,376","4,371","4,369","4,369"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,200","1,199","1,195","1,194","1,194","1,198","1,199","1,199","1,199"
"Marshall County","1,000","999","999","998","998","997","997","1,000","1,000","1,000"
"Walnut Grove","1,500","1,287","1,287","1,285","1,286","1,285","1,293","1,284","1,283","1,283"
"Wilkinson County","1,000","887","887","885","885","890","888","888","887","887"
"RESTITUTION CENTERS","16","9","9","9","8","8","8","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","2","2","2","1","1","1","3","3","3"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","0","0","0","0","0","0","0","0","0"
"TOTALS","25,937","21,716","21,705","21,670","21,676","21,686","21,692","21,644","21,634","21,626"
"","","1-Feb-14","2-Feb-14","3-Feb-14","4-Feb-14","5-Feb-14","6-Feb-14","7-Feb-14","8-Feb-14","9-Feb-14"
