"Location","Capacity","1-Aug-16","2-Aug-16","3-Aug-16","4-Aug-16","5-Aug-16","6-Aug-16","7-Aug-16","8-Aug-16","","9-Aug-16 10-Aug-16"
"Mississippi State Penitentiary","3,590","3,383","3,387","3,377","3,363","3,364","3,364","3,364","3,349","3,354","3,353"
"Central Mississippi Correctional Facility","3,818","3,243","3,221","3,267","3,293","3,278","3,277","3,375","3,349","3,347","3,409"
"Youthful Offender Unit","58","30","32","32","32","32","32","32","32","32","32"
"CMCF TVC","","14","7","7","6","8","8","8","7","7","7"
"South Mississippi Correctional Institution","3,082","2,971","2,985","2,983","2,988","2,982","2,979","2,980","2,985","2,987","2,995"
"County Jails","1,781","1,452","1,520","1,526","1,516","1,522","1,522","1,522","1,532","1,544","1,564"
"COMMUNITY WORK CENTERS","1,348","1,073","1,064","1,059","1,060","1,082","1,081","1,078","1,068","1,067","1,064"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","72","71","71","70","74","74","74","73","72","72"
"George Satellite Facility","102","79","78","78","78","78","78","78","80","80","87"
"Harrison Satellite Facility","102","67","66","63","62","63","63","63","62","62","62"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","65","65","63","61","71","70","69","68","65","63"
"Leflore TVC Support","20","20","20","20","20","19","19","19","19","19","19"
"Madison Satellite Facility","102","91","89","87","87","82","82","82","82","82","80"
"Noxubee Satellite Facility","92","83","82","85","88","88","88","88","86","86","85"
"Pike Satellite Facility","93","88","87","87","88","88","88","88","85","85","85"
"Quitman Satellite Facility","93","85","90","90","85","83","83","83","84","84","82"
"Rankin Satellite Facility","182","152","151","153","154","155","155","155","156","158","158"
"Rankin RID","28","9","9","9","9","9","9","9","9","10","10"
"Flowood TVC","50","25","24","23","23","24","24","24","24","23","21"
"Simpson TVC","82","62","59","56","56","70","70","68","64","63","61"
"Simpson TVC Support","20","15","14","15","15","15","15","15","13","13","15"
"Washington Satellite Facility","102","89","88","88","90","90","90","90","89","91","90"
"Wilkinson Satellite Facility","102","71","71","71","74","73","73","73","74","74","74"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,438","3,524","3,533","3,538","3,528","3,527","3,525","3,521","3,518","3,534","3,537"
"Alcorn County","300","239","239","240","238","238","238","238","236","240","240"
"Bolivar County","369","293","294","293","293","293","293","292","291","293","293"
"Carroll County","280","239","239","239","240","240","240","240","240","240","240"
"Chickasaw County","300","239","239","240","235","239","238","238","236","240","240"
"George County","280","198","200","200","200","200","200","200","200","200","200"
"Holmes County","280","194","198","200","198","198","198","198","199","199","199"
"Issaquena County","274","267","270","269","269","268","268","267","270","270","270"
"Jefferson County","280","271","270","270","270","269","269","269","268","269","270"
"Kemper County","355","260","260","260","260","258","258","257","257","259","259"
"Leake County","280","200","200","198","197","198","198","198","198","200","200"
"Marion County","280","200","200","200","200","200","200","200","200","200","200"
"Stone County","280","265","265","270","270","269","269","269","269","268","268"
"Washington County","300","222","219","219","218","217","217","217","217","221","222"
"Winston County","280","199","200","200","200","201","201","201","199","195","196"
"Yazoo County","300","238","240","240","240","239","238","237","238","240","240"
"PRIVATE PRISONS","5,972","3,772","3,765","3,722","3,723","3,713","3,713","3,713","3,661","3,659","3,607"
"Delta","972","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,162","1,160","1,171","1,173","1,173","1,173","1,173","1,172","1,172","1,171"
"Marshall County","1,000","999","997","998","998","995","995","995","995","995","995"
"Walnut Grove","1,500","720","719","668","659","652","652","652","601","600","549"
"Wilkinson County","1,000","891","889","885","893","893","893","893","893","892","892"
"RESTITUTION CENTERS","16","12","12","11","11","11","11","11","10","10","10"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","4","3","3","2","2","2","2","2","1","1","1"
"TOTALS","24,103","19,474","19,526","19,522","19,520","19,519","19,512","19,604","19,511","19,541","19,578"
"","","1-Aug-16","2-Aug-16","3-Aug-16","4-Aug-16","5-Aug-16","6-Aug-16","7-Aug-16","8-Aug-16","","9-Aug-16 10-Aug-16"
