"Location","Capacity","14-Dec-04","15-Dec-04","16-Dec-04","17-Dec-04","18-Dec-04","19-Dec-04","20-Dec-04","21-Dec-04","22-Dec-04","23-Dec-04","24-Dec-04","25-Dec-04","26-Dec-04"
"MS STATE PENITENTIARY","4,760","4,621","4,637","4,653","4,641","4,640","4,636","4,620","4,625","4,636","4,633","4,628","4,625","4,625"
"CENTRAL MS CORRECTIONAL FACILITY","3,233","3,079","3,082","3,063","3,064","3,065","3,066","3,094","3,066","3,031","3,050","3,050","3,050","3,046"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,123","2,116","2,107","2,121","2,121","2,121","2,123","2,161","2,181","2,181","2,181","2,182","2,182"
"COUNTY JAILS","2,295","1,948","1,931","1,941","1,921","1,921","1,921","1,924","1,933","1,934","1,927","1,927","1,927","1,927"
"COMMUNITY WORK CENTERS","1,816","1,721","1,726","1,733","1,734","1,733","1,732","1,742","1,733","1,733","1,721","1,719","1,717","1,714"
"Alcorn Satellite Facility","92","88","89","89","89","89","88","89","89","89","89","89","89","89"
"Bolivar Satellite Facility","102","99","100","100","102","102","102","102","102","102","102","102","102","101"
"Forrest Satellite Facility","96","95","96","96","96","96","96","96","96","96","96","96","96","96"
"George Satellite Facility","102","98","98","101","101","101","101","102","102","101","101","101","101","101"
"Harrison Satellite Facility","102","101","100","99","99","99","99","101","101","100","100","99","99","99"
"Jackson Satellite Facility","102","102","101","101","101","101","101","102","100","98","98","98","97","97"
"Jefferson Satellite Facility","102","98","101","100","100","100","100","101","99","99","101","100","100","99"
"Leflore Satellite Facility","102","101","102","102","102","102","102","102","101","100","100","100","100","100"
"Madison Satellite Facility","102","101","101","101","101","101","101","101","102","102","102","102","102","102"
"Noxubee Satellite Facility","92","89","91","91","90","90","90","92","92","92","91","91","91","91"
"Pike Satellite Facility","93","62","62","62","62","62","62","62","61","61","61","61","61","61"
"Quitman Satellite Facility","93","72","72","72","73","73","73","73","73","73","73","73","73","73"
"Rankin Satellite Facility","228","221","220","219","219","219","219","219","219","218","206","206","206","206"
"Simpson Satellite Facility","102","102","100","100","101","101","101","101","101","101","102","102","102","102"
"Washington Satellite Facility","102","99","102","102","101","100","100","99","92","100","99","99","99","98"
"Wilkinson Satellite Facility","102","92","91","98","98","98","98","98","102","102","102","102","101","101"
"Yazoo Satellite Facility","102","101","100","100","99","99","99","102","101","99","98","98","98","98"
"REGIONAL CORRECTIONAL FACILITIES","2,750","2,737","2,743","2,739","2,740","2,738","2,735","2,736","2,737","2,741","2,742","2,740","2,738","2,736"
"Bolivar County","250","249","249","249","250","250","250","249","249","249","248","247","247","247"
"Carroll County","250","249","250","249","249","249","248","248","250","250","250","250","250","250"
"George County","250","248","250","250","250","250","250","250","250","250","250","250","250","250"
"Holmes County","250","248","249","249","248","248","248","247","246","250","250","250","250","249"
"Issaquena County","250","247","246","245","247","247","246","248","248","246","246","246","245","245"
"Jefferson County","250","250","250","250","250","250","250","249","249","249","250","249","249","248"
"Kemper County","250","250","250","249","249","249","248","250","249","250","250","250","250","250"
"Leake County","250","250","250","250","250","249","249","249","250","250","250","250","249","249"
"Marion County","250","250","251","250","250","249","249","250","249","249","250","250","250","250"
"Stone County","250","247","249","249","248","248","248","247","248","248","248","248","248","248"
"Winston County","250","249","249","249","249","249","249","249","249","250","250","250","250","250"
"PRIVATE PRISONS","5,088","4,769","4,773","4,766","4,769","4,768","4,765","4,771","4,776","4,780","4,786","4,781","4,777","4,775"
"Delta","960","955","958","955","954","954","953","955","955","957","955","954","952","953"
"East MS","1,000","873","873","873","873","873","873","873","873","873","873","873","873","873"
"Marshall County","1,000","994","995","995","995","995","993","992","992","993","992","992","992","992"
"Tallahatchie County","128","128","128","127","127","127","127","127","128","128","128","128","128","128"
"Walnut Grove","1,000","832","833","825","830","829","829","835","838","837","846","844","844","844"
"Wilkinson County","1,000","987","986","991","990","990","990","989","990","992","992","990","988","985"
"RESITITUTION CENTERS","18","13","13","13","13","13","13","13","13","13","13","13","13","13"
"Greenwood","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Hinds","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Pascagoula","6","4","4","4","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5","5","5","5","5"
"E-CODE","","6","7","8","7","6","5","4","4","9","7","7","7","6"
"TOTALS","22,180","21,022","21,033","21,028","21,015","21,010","20,999","21,032","21,053","21,063","21,065","21,051","21,041","21,029"
"","","14-Dec-04","15-Dec-04","16-Dec-04","17-Dec-04","18-Dec-04","19-Dec-04","20-Dec-04","21-Dec-04","22-Dec-04","23-Dec-04","24-Dec-04","25-Dec-04","26-Dec-04"
