"Location","Capacity 1-Jul-18","","2-Jul-18","3-Jul-18","4-Jul-18","5-Jul-18","6-Jul-18","7-Jul-18","8-Jul-18","9-Jul-18","10-Jul-18","11-Jul-18","12-Jul-18","13-Jul-18","14-Jul-18","15-Jul-18","16-Jul-18","17-Jul-18"
"Mississippi State Penitentiary","3,590","3,421","3,413","3,415","3,414","3,414","3,422","3,420","3,420","3,420","3,393","3,421","3,415","3,403","3,403","3,403","3,390","3,420"
"Central Mississippi Correctional Facility","4,022","3,839","3,829","3,767","3,763","3,744","3,737","3,738","3,739","3,739","3,676","3,646","3,627","3,635","3,634","3,631","3,609","3,624"
"Youthful Offender Unit","58","37","37","37","37","37","38","38","38","38","37","35","35","35","35","35","34","34"
"CMCF TVC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,082","3,036","3,042","3,038","3,038","3,038","3,051","3,051","3,051","3,051","3,058","3,066","3,074","3,056","3,056","3,054","3,051","3,058"
"County Jails","1,781","1,297","1,295","1,315","1,315","1,348","1,350","1,350","1,350","1,350","1,398","1,409","1,417","1,456","1,456","1,456","1,474","1,444"
"COMMUNITY WORK CENTERS","1,512","966","955","936","933","923","925","923","921","921","935","938","930","919","919","907","945","943"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Delta Satellite Facility","124","80","79","80","80","78","79","79","79","79","79","79","78","75","75","75","80","78"
"Delta TVC","300","227","223","220","217","214","212","211","209","209","225","226","222","220","220","209","221","220"
"Forrest Satellite Facility","96","61","59","58","58","58","57","57","57","57","56","56","56","55","55","55","56","56"
"George Satellite Facility","102","69","69","69","69","69","69","68","68","68","66","67","67","65","65","65","69","69"
"Harrison Satellite Facility","102","49","48","47","47","46","44","44","44","44","44","52","50","48","48","48","49","49"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison Satellite Facility","62","67","66","66","66","66","66","66","66","66","65","63","63","63","63","63","63","65"
"Noxubee Satellite Facility","58","50","49","47","47","46","46","46","46","46","49","49","49","48","49","49","50","52"
"Pike Satellite Facility","93","67","67","67","67","66","66","66","66","66","67","67","67","66","66","67","65","65"
"Quitman Satellite Facility","93","50","51","32","32","32","32","32","32","32","31","32","32","49","48","47","49","47"
"Rankin Satellite Facility","178","136","144","133","133","132","138","138","138","138","138","137","136","123","123","123","135","135"
"Rankin RID","28","27","17","27","27","27","28","28","28","28","28","27","28","28","28","28","28","28"
"Flowood TVC","50","29","29","37","37","36","35","35","35","35","35","32","32","31","31","31","31","31"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","54","54","53","53","53","53","53","53","53","52","51","50","48","48","47","49","48"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,709","3,708","3,708","3,707","3,697","3,690","3,689","3,689","3,689","3,693","3,689","3,688","3,674","3,674","3,673","3,664","3,659"
"Alcorn County","300","239","240","240","240","239","239","239","239","239","239","239","239","239","239","239","236","236"
"Bolivar County","369","290","294","294","293","292","292","292","292","292","294","293","292","293","293","293","293","294"
"Carroll County","280","269","269","269","269","269","267","267","267","267","267","267","270","269","269","269","267","267"
"Chickasaw County","310","252","252","252","252","252","251","251","251","251","251","251","250","249","249","249","248","247"
"George County","342","205","198","197","197","197","197","197","197","197","196","196","199","198","198","198","198","198"
"Holmes County","280","200","198","198","198","198","198","198","198","198","198","199","198","198","198","198","198","198"
"Issaquena County","274","267","269","269","269","267","265","265","265","265","268","268","267","266","266","266","265","265"
"Jefferson County","280","272","272","269","269","269","269","269","269","269","269","268","267","266","266","266","266","266"
"Kemper County","355","259","259","260","260","260","258","258","258","258","257","257","257","254","254","254","254","251"
"Leake County","280","266","269","270","270","268","268","268","268","268","267","266","266","263","263","263","264","261"
"Marion County","280","272","271","271","271","271","271","271","271","271","271","271","271","268","268","268","268","268"
"Stone County","326","207","204","204","204","204","204","203","203","203","202","202","202","202","202","202","202","202"
"Washington County","300","202","202","202","202","200","200","200","200","200","205","205","203","203","203","203","200","200"
"Winston County","280","272","272","271","271","270","271","271","271","271","270","269","269","268","268","267","267","268"
"Yazoo County","300","237","239","242","242","241","240","240","240","240","239","238","238","238","238","238","238","238"
"PRIVATE PRISONS","5,472","3,232","3,230","3,222","3,223","3,213","3,206","3,206","3,205","3,205","3,211","3,202","3,209","3,203","3,203","3,203","3,218","3,216"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,303","1,301","1,297","1,298","1,292","1,282","1,282","1,282","1,282","1,281","1,273","1,280","1,277","1,277","1,277","1,278","1,277"
"Marshall County","1,000","997","999","999","999","997","997","997","997","997","1,000","1,000","1,000","997","997","997","998","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","932","930","926","926","924","927","927","926","926","930","929","929","929","929","929","942","941"
"RESTITUTION CENTERS","10","6","6","6","6","6","6","6","6","6","6","7","7","6","6","6","7","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","40","40","38","38","36","35","35","35","35","32","33","36","36","36","36","36","36"
"Madison","40","3","3","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1"
"Noxubee","34","29","29","28","28","28","28","28","28","28","25","26","29","29","29","29","29","29"
"Rankin/Flowood","8","8","8","8","8","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,247","19,583","19,555","19,482","19,474","19,456","19,460","19,456","19,454","19,454","19,439","19,446","19,438","19,423","19,422","19,404","19,428","19,441"
"","","1-Jul-18","2-Jul-18","3-Jul-18","4-Jul-18","5-Jul-18","6-Jul-18","7-Jul-18","8-Jul-18","9-Jul-18","10-Jul-18","11-Jul-18","12-Jul-18","13-Jul-18","14-Jul-18","15-Jul-18","16-Jul-18","17-Jul-18"
