"Location","Capacity","19-Dec-08","20-Dec-08","21-Dec-08","22-Dec-08","23-Dec-08","24-Dec-08","25-Dec-08","26-Dec-08","27-Dec-08"
"Mississippi State Penitentiary","4,435","3,924","3,921","3,918","3,919","3,921","3,936","3,933","3,927","3,928"
"Central Mississippi Correctional Facility","3,665","3,702","3,706","3,708","3,646","3,617","3,545","3,544","3,548","3,548"
"South Mississippi Correctional Institution","3,204","3,128","3,128","3,126","3,135","3,129","3,140","3,137","3,137","3,136"
"County Jails","1,785","1,722","1,722","1,722","1,755","1,792","1,815","1,815","1,815","1,815"
"COMMUNITY WORK CENTERS","1,848","1,826","1,825","1,825","1,824","1,818","1,816","1,814","1,811","1,812"
"Alcorn Satellite Facility","92","92","92","92","92","92","92","92","92","92"
"Bolivar Satellite Facility","102","102","102","102","102","102","102","102","102","102"
"Forrest Satellite Facility","96","95","95","95","95","95","95","95","95","95"
"George Satellite Facility","102","101","101","101","101","101","98","98","98","98"
"Harrison Satellite Facility","102","101","101","101","101","102","102","102","102","102"
"Jackson Satellite Facility","102","102","102","102","101","101","101","101","101","101"
"Jefferson Satellite Facility","102","102","101","101","101","101","98","97","97","97"
"Leflore Satellite Facility","102","100","100","100","100","100","102","102","102","102"
"Madison Satellite Facility","102","101","101","101","102","101","101","101","101","101"
"Noxubee Satellite Facility","92","92","92","92","92","92","92","92","92","92"
"Pike Satellite Facility","93","92","92","92","91","92","92","92","92","92"
"Quitman Satellite Facility","93","93","93","93","93","92","91","91","91","91"
"Rankin Satellite Facility","260","248","248","248","246","248","250","250","250","250"
"Simpson Satellite Facility","102","100","100","100","102","102","102","102","99","100"
"Washington Satellite Facility","102","101","101","101","101","99","101","101","101","101"
"Wilkinson Satellite Facility","102","102","102","102","102","100","99","98","98","98"
"Yazoo Satellite Facility","102","102","102","102","102","98","98","98","98","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","3,085","3,082","3,082","3,085","3,086","3,085","3,083","3,083","3,078"
"Bolivar County","294","294","293","293","294","294","294","294","294","294"
"Carroll County","280","280","280","280","280","280","280","280","280","280"
"George County","280","279","279","279","279","280","280","279","279","278"
"Holmes County","280","280","280","280","280","280","279","279","279","278"
"Issaquena County","274","274","273","273","274","274","274","273","273","273"
"Jefferson County","280","279","279","279","280","280","280","280","280","280"
"Kemper County","280","280","280","280","280","279","279","279","279","279"
"Leake County","280","280","280","280","279","280","280","280","280","278"
"Marion County","280","280","280","280","280","280","280","280","280","280"
"Stone County","280","279","279","279","279","280","280","280","280","279"
"Winston County","280","280","279","279","280","279","279","279","279","279"
"PRIVATE PRISONS","5,972","5,501","5,496","5,495","5,497","5,498","5,501","5,497","5,497","5,491"
"Delta","972","956","956","956","955","954","956","955","955","955"
"East Mississippi","1,500","1,360","1,359","1,359","1,360","1,362","1,360","1,358","1,358","1,357"
"Marshall County","1,000","982","980","980","979","983","982","981","981","979"
"Walnut Grove","1,500","1,228","1,226","1,226","1,226","1,224","1,226","1,226","1,226","1,224"
"Wilkinson County","1,000","975","975","974","977","975","977","977","977","976"
"RESTITUTION CENTERS","16","12","12","12","12","12","12","12","12","12"
"Greenwood","6","4","4","4","4","4","4","4","4","4"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","4","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","13","8","8","9","13","0","10","7","6"
"TOTALS","24,019","22,919","22,906","22,902","22,888","22,892","22,856","22,851","22,843","22,832"
