"Location","Capacity","1-Jun","2-Jun","3-Jun","4-Jun","5-Jun","6-Jun","7-Jun","8-Jun","9-Jun","10-Jun"
"MS STATE PENITENTIARY","5,631","5,334","5,334","5,334","5,333","5,362","5,377","5,371","5,381","5,378","5,376"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","2,967","2,965","2,964","2,972","2,979","3,000","3,006","3,008","3,010","3,011"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","1,982","1,981","1,981","1,989","1,978","1,972","1,960","1,955","1,955","1,955"
"COUNTY JAILS (capacity increased by 18 on 6/7/01)","2,122","1,459","1,458","1,458","1,476","1,456","1,414","1,400","1,395","1,394","1,395"
"COMMUNITY WORK CENTERS","1,320","1,204","1,205","1,204","1,265","1,266","1,263","1,265","1,242","1,240","1,240"
"Alcorn Satellite Facility","75","69","69","69","72","73","73","73","68","68","68"
"Bolivar Satellite Facility","75","69","69","69","74","74","75","75","69","69","69"
"Forrest Satellite Facility","75","69","69","69","75","75","74","74","73","73","73"
"George Satellite Facility","75","69","69","69","69","69","69","69","74","74","74"
"Harrison Satellite Facility","75","70","70","70","73","72","71","71","69","69","69"
"Jackson Satellite Facility","75","68","68","68","71","71","71","71","67","65","65"
"Jefferson Satellite Facility","75","72","72","72","74","70","70","75","74","74","74"
"Leflore Satellite Facility","75","71","71","71","75","75","75","75","71","71","72"
"Madison Satellite Facility","75","71","71","71","75","75","75","75","74","74","74"
"Noxubee Satellite Facility","75","70","70","70","74","75","74","74","74","74","74"
"Pike Satellite Facility","75","62","62","62","63","65","65","65","65","65","65"
"Quitman Satellite Facility","75","66","66","66","67","67","67","64","63","63","63"
"Rankin Satellite Facility","120","105","105","105","107","114","114","114","116","116","116"
"Simpson Satellite Facility","75","71","71","71","75","72","74","74","70","70","70"
"Washington Satellite Facility","75","68","69","68","75","71","71","71","72","72","72"
"Wilikinson Satellite Facility","75","68","68","68","72","74","71","71","71","71","70"
"Yazoo Satellite Facility","75","66","66","66","74","74","74","74","72","72","72"
"REGIONAL CORRECTIONAL FACILITIES","2,500","1,987","1,985","1,984","1,980","1,977","1,966","1,986","1,992","1,992","1,991"
"Bolivar County","250","198","198","198","197","196","196","198","199","199","199"
"Carroll County","250","202","202","201","201","201","201","200","201","201","201"
"Holmes County","250","200","199","199","199","199","196","199","199","199","199"
"Issaquena County","250","189","188","188","187","187","187","196","200","200","200"
"Jefferson County","250","199","199","199","198","198","197","200","200","200","199"
"Kemper County","250","198","198","198","198","198","198","199","199","199","199"
"Leake County","250","200","200","200","200","199","199","198","198","198","198"
"Marion County","250","198","198","198","197","196","195","199","199","199","199"
"Stone County","250","200","200","200","200","200","199","199","199","199","199"
"Winston County","250","203","203","203","203","203","198","198","198","198","198"
"PRIVATE PRISONS","3,900","3,211","3,211","3,210","3,209","3,204","3,209","3,208","3,216","3,214","3,211"
"Delta","1,000","754","754","754","753","750","748","748","748","748","747"
"East MS","500","498","498","498","496","496","496","496","500","500","500"
"Marshall County","1,000","730","730","729","731","731","728","727","727","725","724"
"Walnut Grove","500","353","353","353","353","352","355","355","359","359","359"
"Wilkinson County","900","876","876","876","876","875","882","882","882","882","881"
"RESITITUTION CENTERS","24","18","18","18","18","18","17","17","15","15","15"
"Greenwood","6","6","6","6","6","6","6","6","4","4","4"
"Hinds","12","11","11","11","11","11","10","10","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","0","0","0"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6","6"
"TOTALS","20,766","18,168","18,163","18,159","18,248","18,246","18,224","18,219","18,210","18,204","18,200"
