"Location","Capacity","1-Dec-12","2-Dec-12","3-Dec-12","4-Dec-12","5-Dec-12","6-Dec-12","7-Dec-12","8-Dec-12","9-Dec-12"
"Mississippi State Penitentiary","4,648","3,379","3,379","3,380","3,377","3,372","3,376","3,378","3,377","3,378"
"Central Mississippi Correctional Facility","3,557","3,332","3,333","3,336","3,351","3,355","3,374","3,346","3,343","3,338"
"Youthful Offender Unit","42","0","0","0","0","0","0","0","0","0"
"South Mississippi Correctional Institution","3,282","3,185","3,188","3,190","3,188","3,181","3,161","3,206","3,203","3,205"
"County Jails","1,818","2,296","2,296","2,288","2,281","2,309","2,302","2,306","2,306","2,306"
"COMMUNITY WORK CENTERS","1,848","1,463","1,458","1,457","1,457","1,476","1,475","1,475","1,474","1,472"
"Alcorn Satellite Facility","92","89","88","88","88","88","86","88","87","86"
"Bolivar Satellite Facility","102","74","74","74","73","72","72","73","73","73"
"Forrest Satellite Facility","96","64","63","63","63","64","64","64","64","64"
"George Satellite Facility","102","70","69","69","69","69","69","69","69","69"
"Harrison Satellite Facility","102","69","69","68","68","76","76","76","76","75"
"Jackson Satellite Facility","102","61","60","60","60","60","60","59","59","59"
"Jefferson Satellite Facility","102","66","66","67","66","66","65","65","65","65"
"Leflore Satellite Facility","102","72","72","72","71","70","70","69","69","69"
"Madison Satellite Facility","102","88","88","88","88","91","90","94","94","94"
"Noxubee Satellite Facility","92","73","73","73","73","78","78","78","78","78"
"Pike Satellite Facility","93","89","89","89","89","90","90","93","93","93"
"Quitman Satellite Facility","93","92","92","93","92","91","91","88","88","88"
"Rankin Satellite Facility","260","245","244","244","248","254","254","254","254","254"
"Simpson Satellite Facility","102","101","101","101","101","100","99","96","96","96"
"Washington Satellite Facility","102","67","67","66","66","66","66","67","67","67"
"Wilkinson Satellite Facility","102","51","51","51","52","52","51","51","51","51"
"Yazoo Satellite Facility","102","92","92","91","90","89","94","91","91","91"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,350","4,348","4,350","4,357","4,357","4,358","4,358","4,355","4,351"
"Alcorn County","300","300","300","300","299","300","300","300","300","300"
"Bolivar County","369","368","368","368","368","367","368","369","369","368"
"Carroll County","280","279","279","279","278","278","280","278","278","278"
"Chickasaw County","300","300","300","300","300","300","300","300","300","300"
"George County","280","280","280","280","280","279","280","278","278","278"
"Holmes County","280","280","280","280","280","279","280","280","280","280"
"Issaquena County","274","274","274","274","273","274","274","274","274","274"
"Jefferson County","280","280","280","279","277","277","280","280","280","279"
"Kemper County","355","339","339","340","340","340","340","340","340","340"
"Leake County","280","279","278","279","278","280","277","280","279","278"
"Marion County","280","279","278","279","281","280","280","280","280","280"
"Stone County","280","277","277","277","280","279","279","280","280","280"
"Washington County","300","237","237","236","244","243","241","241","241","240"
"Winston County","280","279","279","280","281","281","279","279","278","278"
"Yazoo County","300","299","299","299","298","300","300","299","298","298"
"PRIVATE PRISONS","5,972","4,257","4,254","4,263","4,265","4,260","4,254","4,241","4,241","4,239"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,143","1,143","1,142","1,138","1,134","1,128","1,128","1,128","1,126"
"Marshall County","1,000","995","995","995","995","994","994","993","993","993"
"Walnut Grove","1,500","1,214","1,214","1,225","1,227","1,227","1,227","1,215","1,215","1,215"
"Wilkinson County","1,000","905","902","901","905","905","905","905","905","905"
"RESTITUTION CENTERS","16","14","14","13","13","14","14","14","14","14"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","5","5","5","5","6","6","6","6","6"
"Pascagoula","4","4","4","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","14","14","12","6","6","6","8","9","10"
"TOTALS","25,611","22,290","22,284","22,289","22,295","22,330","22,320","22,332","22,322","22,313"
"","","1-Dec-12","2-Dec-12","3-Dec-12","4-Dec-12","5-Dec-12","6-Dec-12","7-Dec-12","8-Dec-12","9-Dec-12"
