"Location","Capacity","28-May-16","29-May-16","30-May-16","31-May-16","Avg Population"
"Mississippi State Penitentiary","3,590","3,414","3,414","3,412","3,398","3,269"
"Central Mississippi Correctional Facility","3,506","2,947","2,946","2,947","2,963","2,821"
"Youthful Offender Unit","58","32","32","32","32","31"
"CMCF TVC","","8","8","8","8","4"
"South Mississippi Correctional Institution","3,082","3,006","3,006","3,004","3,003","2,903"
"County Jails","1,986","1,446","1,446","1,446","1,478","1,432"
"COMMUNITY WORK CENTERS","1,848","1,183","1,180","1,179","1,174","1,124"
"Alcorn Satellite Facility","92","0","0","0","0","0"
"Bolivar Satellite Facility","102","22","22","22","22","23"
"Forrest Satellite Facility","96","75","75","75","74","75"
"George Satellite Facility","102","89","89","89","90","82"
"Harrison Satellite Facility","102","78","78","78","78","75"
"Jackson Satellite Facility","102","0","0","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","0","0"
"Lefore TVC","82","80","79","79","79","72"
"Lefore TVC Support","20","19","19","19","19","18"
"Madison Satellite Facility","102","93","93","93","95","89"
"Noxubee Satellite Facility","92","90","89","89","89","87"
"Pike Satellite Facility","93","90","90","90","90","80"
"Quitman Satellite Facility","93","85","85","85","83","84"
"Rankin Satellite Facility","260","172","172","172","171","163"
"Flowood TVC","","34","34","33","31","29"
"Simpson TVC support","20","14","14","14","14","18"
"Simpson TVC","82","76","75","75","74","71"
"Washington Satellite Facility","102","99","99","99","98","96"
"Wilkinson Satellite Facility","102","67","67","67","67","62"
"Yazoo Satellite Facility","102","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,407","3,406","3,405","3,405","3,299"
"Alcorn County","240","240","240","240","239","232"
"Bolivar County","369","291","291","291","293","282"
"Carroll County","280","239","239","238","237","232"
"Chickasaw County","300","240","240","240","240","232"
"George County","280","199","199","199","198","193"
"Holmes County","280","199","199","199","199","193"
"Issaquena County","274","240","240","240","240","232"
"Jefferson County","280","240","240","240","240","232"
"Kemper County","355","259","259","259","259","251"
"Leake County","280","197","197","197","197","192"
"Marion County","280","202","202","202","201","195"
"Stone County","280","198","197","197","199","193"
"Washington County","300","227","227","227","226","220"
"Winston County","280","198","198","198","197","193"
"Yazoo County","300","238","238","238","240","229"
"PRIVATE PRISONS","5,972","3,924","3,923","3,921","3,914","3,791"
"Delta","972","0","0","0","0","0"
"East Mississippi","1,500","1,096","1,096","1,095","1,094","1,060"
"Marshall County","1,000","999","999","999","999","964"
"Walnut Grove","1,500","927","927","927","922","900"
"Wilkinson County","1,000","902","901","900","899","868"
"RESTITUTION CENTERS","16","14","14","14","14","13"
"Greenwood","6","6","6","6","6","6"
"Hinds","6","5","5","5","5","4"
"Pascagoula","4","3","3","3","3","3"
"TOTALS","24,436","19,381","19,375","19,368","19,389","18,688"
