"Location","Capacity","1-Oct-11","2-Oct-11","3-Oct-11","4-Oct-11","5-Oct-11","6-Oct-11","7-Oct-11","8-Oct-11","9-Oct-11"
"Mississippi State Penitentiary","3,356","3,062","3,062","3,070","3,058","3,053","3,043","3,035","3,035","3,035"
"Central Mississippi Correctional Facility","3,449","3,049","3,052","3,057","3,024","3,030","3,037","2,996","2,998","2,997"
"South Mississippi Correctional Institution","3,256","3,199","3,198","3,200","3,204","3,205","3,197","3,204","3,207","3,207"
"County Jails","1,616","1,939","1,939","1,943","1,954","1,956","1,953","1,984","1,984","1,984"
"COMMUNITY WORK CENTERS","1,848","1,503","1,503","1,516","1,517","1,521","1,526","1,482","1,478","1,477"
"Alcorn Satellite Facility","92","82","82","85","85","84","83","82","82","82"
"Bolivar Satellite Facility","102","82","82","81","81","81","84","79","79","79"
"Forrest Satellite Facility","96","83","83","82","82","85","86","79","79","79"
"George Satellite Facility","102","86","86","87","85","86","87","84","82","82"
"Harrison Satellite Facility","102","85","85","86","88","86","90","87","86","86"
"Jackson Satellite Facility","102","89","89","91","92","91","91","84","83","83"
"Jefferson Satellite Facility","102","77","77","76","76","76","76","75","75","75"
"Leflore Satellite Facility","102","90","90","91","91","91","90","90","90","90"
"Madison Satellite Facility","102","91","91","90","89","89","85","85","85","85"
"Noxubee Satellite Facility","92","73","73","77","77","78","76","75","75","75"
"Pike Satellite Facility","93","55","55","57","57","57","56","62","62","62"
"Quitman Satellite Facility","93","74","74","73","74","75","79","79","79","78"
"Rankin Satellite Facility","260","189","189","188","188","190","190","187","187","187"
"Simpson Satellite Facility","102","87","87","88","88","89","91","83","83","83"
"Washington Satellite Facility","102","87","88","92","92","91","90","87","87","87"
"Wilkinson Satellite Facility","102","87","87","87","87","87","87","83","83","83"
"Yazoo Satellite Facility","102","86","85","85","85","85","85","81","81","81"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,445","3,443","3,441","3,490","3,501","3,487","3,492","3,490","3,489"
"Alcorn County","300","248","248","248","250","250","249","250","250","249"
"Bolivar County","294","232","231","232","231","234","234","234","234","234"
"Carroll County","280","223","223","223","222","223","223","224","224","224"
"Chickasaw County","300","250","250","250","250","250","249","249","249","249"
"George County","280","224","224","224","224","224","223","223","223","223"
"Holmes County","280","224","224","223","224","224","222","224","224","224"
"Issaquena County","274","220","220","220","220","219","219","219","219","219"
"Jefferson County","280","224","224","223","224","224","223","224","224","224"
"Kemper County","355","285","285","285","284","284","283","284","284","284"
"Leake County","280","224","224","223","222","223","223","223","223","223"
"Marion County","280","224","224","224","223","226","224","225","224","224"
"Stone County","280","223","222","223","223","224","223","224","224","224"
"Washington County","300","168","168","168","218","218","215","214","214","214"
"Winston County","280","224","224","223","223","226","225","224","224","224"
"Yazoo County","300","252","252","252","252","252","252","251","250","250"
"PRIVATE PRISONS","5,972","5,165","5,165","5,172","5,177","5,185","5,193","5,200","5,195","5,192"
"Delta","972","899","899","898","898","901","902","901","901","899"
"East Mississippi","1,500","1,353","1,353","1,356","1,356","1,354","1,357","1,360","1,358","1,357"
"Marshall County","1,000","997","997","997","999","999","996","999","998","998"
"Walnut Grove","1,500","1,025","1,025","1,032","1,035","1,035","1,042","1,043","1,042","1,042"
"Wilkinson County","1,000","891","891","889","889","896","896","897","896","896"
"RESTITUTION CENTERS","16","11","11","10","10","10","11","10","10","10"
"Greenwood","6","4","4","3","3","3","3","3","3","3"
"Hinds","6","3","3","3","3","3","4","4","4","4"
"Pascagoula","4","4","4","4","4","4","4","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","31","31","4","4","3","4","57","57","57"
"TOTALS","23,882","21,409","21,409","21,418","21,443","21,469","21,456","21,465","21,459","21,453"
"","","1-Oct-11","2-Oct-11","3-Oct-11","4-Oct-11","5-Oct-11","6-Oct-11","7-Oct-11","8-Oct-11","9-Oct-11"
