"Location","Capacity","28-Jun-06","29-Jun-06","30-Jun-06"
"Mississippi State Penitentiary","4,529","4,445","4,438","4,445"
"Central Mississippi Correctional Facility","3,293","3,294","3,314","3,325"
"South Mississippi Correctional Institution","2,066","2,017","2,011","2,004"
"County Jails","1,953","1,656","1,676","1,675"
"COMMUNITY WORK CENTERS","1,816","1,764","1,782","1,782"
"Alcorn Satellite Facility","92","92","92","92"
"Bolivar Satellite Facility","102","94","102","101"
"Forrest Satellite Facility","96","96","95","95"
"George Satellite Facility","102","96","102","102"
"Harrison Satellite Facility","102","100","97","97"
"Jackson Satellite Facility","102","101","101","100"
"Jefferson Satellite Facility","102","98","98","102"
"Leflore Satellite Facility","102","101","101","101"
"Madison Satellite Facility","102","102","101","100"
"Noxubee Satellite Facility","92","91","91","91"
"Pike Satellite Facility","93","83","82","82"
"Quitman Satellite Facility","93","86","88","88"
"Rankin Satellite Facility","228","224","226","226"
"Simpson Satellite Facility","102","100","101","101"
"Washington Satellite Facility","102","102","101","101"
"Wilkinson Satellite Facility","102","96","102","101"
"Yazoo Satellite Facility","102","102","102","102"
"REGIONAL CORRECTIONAL FACILITIES","3,058","3,046","3,046","3,032"
"Bolivar County","294","291","293","292"
"Carroll County","280","280","280","280"
"George County","280","277","277","277"
"Holmes County","280","280","277","276"
"Issaquena County","274","273","273","270"
"Jefferson County","250","248","248","244"
"Kemper County","280","280","280","277"
"Leake County","280","278","281","280"
"Marion County","280","279","280","279"
"Stone County","280","279","279","279"
"Winston County","280","281","278","278"
"PRIVATE PRISONS","5,100","4,875","4,870","4,858"
"Delta","972","967","965","964"
"East Mississippi","1,000","870","868","868"
"Marshall County","1,000","992","995","992"
"Tallahatchie County","128","128","128","128"
"Walnut Grove","1,000","950","949","943"
"Wilkinson County","1,000","968","965","963"
"RESTITUTION CENTERS","16","11","11","11"
"Greenwood","6","3","3","3"
"Hinds","6","5","5","5"
"Pascagoula","4","3","3","3"
"GOVERNOR'S MANSION","6","5","5","5"
"E-CODE","","8","6","5"
"TOTALS","21,837","21,121","21,159","21,142"
"","","28-Jun-06","29-Jun-06","30-Jun-06"
