"Location","Capacity","21-Oct-01","22-Oct-01","23-Oct-01","24-Oct-01","25-Oct-01","26-Oct-01","27-Oct-01","28-Oct-01","29-Oct-01","30-Oct-01","31-Oct-01"
"MS STATE PENITENTIARY","5,612","5,261","5,256","5,239","5,267","5,250","5,251","5,248","5,247","5,269","5,274","5,262"
"CENTRAL MS CORRECTIONAL FACILITY","3,049","3,031","3,036","2,999","2,949","2,991","2,978","2,975","2,973","2,956","2,972","2,952"
"SOUTH MS CORRECTIONAL INSTITUTION","2,214","2,059","2,046","2,065","2,091","2,088","2,108","2,105","2,104","2,110","2,109","2,142"
"COUNTY JAILS","2,122","1,599","1,611","1,627","1,643","1,628","1,636","1,637","1,637","1,638","1,651","1,660"
"COMMUNITY WORK CENTERS","1,320","1,196","1,241","1,241","1,241","1,239","1,213","1,212","1,212","1,249","1,245","1,255"
"Alcorn Satellite Facility","75","68","72","72","73","72","72","72","72","75","75","75"
"Bolivar Satellite Facility","75","71","75","75","75","75","75","75","75","75","75","75"
"Forrest Satellite Facility","75","71","73","73","73","72","69","68","68","72","72","72"
"George Satellite Facility","75","71","73","73","73","73","72","72","72","74","74","74"
"Harrison Satellite Facility","75","71","71","73","73","73","70","70","70","74","73","73"
"Jackson Satellite Facility","75","73","75","75","75","75","73","73","73","75","75","75"
"Jefferson Satellite Facility","75","66","73","73","73","75","69","69","69","75","75","74"
"Leflore Satellite Facility","75","69","75","75","74","74","72","72","72","74","74","73"
"Madison Satellite Facility","75","71","74","73","73","73","73","73","73","74","75","75"
"Noxubee Satellite Facility","75","71","74","74","74","74","74","74","74","74","73","73"
"Pike Satellite Facility","75","46","46","46","44","43","43","43","43","45","45","50"
"Quitman Satellite Facility","75","47","50","50","50","50","50","50","50","49","48","59"
"Rankin Satellite Facility","120","109","113","113","115","115","115","115","115","116","115","113"
"Simpson Satellite Facility","75","75","75","75","75","74","72","72","72","73","72","71"
"Washington Satellite Facility","75","71","75","75","75","75","72","72","72","75","75","74"
"Wilikinson Satellite Facility","75","71","72","72","72","71","67","67","67","74","74","74"
"Yazoo Satellite Facility","75","75","75","74","74","75","75","75","75","75","75","75"
"REGIONAL CORRECTIONAL FACILITIES","2,500","2,031","2,026","2,025","2,020","2,039","2,035","2,035","2,035","2,027","2,023","2,023"
"Bolivar County","250","205","205","205","204","207","207","207","207","207","207","207"
"Carroll County","250","199","198","198","198","200","199","199","199","199","199","200"
"Holmes County","250","199","196","196","196","200","199","199","199","198","197","197"
"Issaquena County","250","196","194","194","192","200","198","198","198","193","193","192"
"Jefferson County","250","212","212","212","212","212","212","212","212","212","212","212"
"Kemper County","250","226","226","226","225","225","225","225","225","224","223","222"
"Leake County","250","198","198","197","197","198","198","198","198","198","198","199"
"Marion County","250","199","200","200","200","200","200","200","200","200","200","200"
"Stone County","250","199","199","199","199","199","199","199","199","198","197","198"
"Winston County","250","198","198","198","197","198","198","198","198","198","197","196"
"PRIVATE PRISONS","3,900","3,501","3,496","3,511","3,508","3,511","3,509","3,507","3,506","3,507","3,506","3,500"
"Delta","1,000","841","841","839","839","841","841","840","840","840","839","838"
"East MS","500","495","493","493","492","492","492","492","492","492","492","490"
"Marshall County","1,000","862","860","871","870","870","868","867","867","866","864","862"
"Walnut Grove","500","412","412","415","415","416","416","416","416","416","418","418"
"Wilkinson County","900","891","890","893","892","892","892","892","891","893","893","892"
"RESITITUTION CENTERS","24","13","14","14","18","18","18","18","18","18","18","18"
"Greenwood","6","5","6","6","6","6","6","6","6","6","6","6"
"Hinds","12","7","7","7","11","11","11","11","11","11","11","11"
"Pascagoula","6","1","1","1","1","1","1","1","1","1","1","1"
"GOVERNOR'S MANSION","6","5","6","6","6","6","5","5","5","6","6","6"
"TOTALS","20,747","18,696","18,732","18,727","18,743","18,770","18,753","18,742","18,737","18,780","18,804","18,818"
"","","21-Oct-01","22-Oct-01","23-Oct-01","24-Oct-01","25-Oct-01","26-Oct-01","27-Oct-01","28-Oct-01","29-Oct-01","30-Oct-01","31-Oct-01"
