"Location","Capacity","28-Mar-09","29-Mar-09","30-Mar-09","31-Mar-09","","Avg Population"
"Mississippi State Penitentiary","4,627","4,096","4,091","4,086","4,104","","4,108"
"Central Mississippi Correctional Facility","3,665","3,543","3,540","3,504","3,496","","3,533"
"South Mississippi Correctional Institution","3,204","3,094","3,091","3,088","3,092","","3,101"
"County Jails","1,777","1,726","1,726","1,719","1,704","","1,702"
"COMMUNITY WORK CENTERS","1,848","1,724","1,726","1,736","1,720","","1,758"
"Alcorn Satellite Facility","92","88","88","86","84","","87"
"Bolivar Satellite Facility","102","90","91","91","91","","96"
"Forrest Satellite Facility","96","86","86","91","86","","91"
"George Satellite Facility","102","97","99","100","99","","100"
"Harrison Satellite Facility","102","97","97","97","97","","100"
"Jackson Satellite Facility","102","98","98","100","100","","99"
"Jefferson Satellite Facility","102","99","98","96","96","","97"
"Leflore Satellite Facility","102","92","92","94","94","","95"
"Madison Satellite Facility","102","92","92","102","99","","97"
"Noxubee Satellite Facility","92","84","84","84","83","","86"
"Pike Satellite Facility","93","83","83","83","83","","85"
"Quitman Satellite Facility","93","73","73","71","71","","84"
"Rankin Satellite Facility","260","254","254","252","251","","251"
"Simpson Satellite Facility","102","101","101","98","99","","99"
"Washington Satellite Facility","102","96","96","96","96","","95"
"Wilkinson Satellite Facility","102","97","97","99","97","","97"
"Yazoo Satellite Facility","102","97","97","96","94","","98"
"REGIONAL CORRECTIONAL FACILITIES","3,088","2,924","2,923","2,931","2,934","","2,924"
"Bolivar County","294","280","280","280","280","","279"
"Carroll County","280","266","266","266","266","","265"
"George County","280","266","266","266","266","","265"
"Holmes County","280","266","266","266","266","","266"
"Issaquena County","274","258","258","260","259","","259"
"Jefferson County","280","261","261","264","268","","264"
"Kemper County","280","266","266","266","266","","265"
"Leake County","280","266","266","266","266","","265"
"Marion County","280","266","266","266","266","","265"
"Stone County","280","266","265","266","266","","266"
"Winston County","280","263","263","265","265","","266"
"PRIVATE PRISONS","5,972","5,453","5,451","5,467","5,475","","5,444"
"Delta","972","954","954","956","954","","954"
"East Mississippi","1,500","1,346","1,344","1,360","1,362","","1,351"
"Marshall County","1,000","981","981","980","982","","982"
"Walnut Grove","1,500","1,200","1,200","1,202","1,207","","1,182"
"Wilkinson County","1,000","972","972","969","970","","975"
"RESTITUTION CENTERS","16","11","11","11","11","","11"
"Greenwood","6","5","5","5","5","","4"
"Hinds","6","4","4","4","4","","4"
"Pascagoula","4","2","2","2","2","","3"
"GOVERNOR'S MANSION","6","6","6","6","6","","6"
"E-CODE","0","33","32","12","11","","29"
"TOTALS","24,203","22,610","22,597","22,560","22,553","","22,616"
"","","28-Mar-09","29-Mar-09","30-Mar-09","31-Mar-09","",""
