"Location","Capacity","10-Sep-12","11-Sep-12","12-Sep-12","13-Sep-12","14-Sep-12","15-Sep-12","16-Sep-12","17-Sep-12","18-Sep-12"
"Mississippi State Penitentiary","4,648","3,383","3,375","3,380","3,370","3,376","3,373","3,372","3,370","3,374"
"Central Mississippi Correctional Facility","3,665","3,281","3,268","3,273","3,258","3,259","3,260","3,258","3,251","3,267"
"South Mississippi Correctional Institution","3,282","3,183","3,193","3,191","3,197","3,180","3,178","3,174","3,187","3,191"
"County Jails","1,736","2,196","2,112","2,102","2,091","2,139","2,139","2,139","2,168","2,187"
"COMMUNITY WORK CENTERS","1,848","1,560","1,567","1,562","1,568","1,549","1,543","1,541","1,557","1,556"
"Alcorn Satellite Facility","92","90","90","90","91","90","90","90","90","92"
"Bolivar Satellite Facility","102","70","70","71","73","73","73","73","73","73"
"Forrest Satellite Facility","96","71","79","77","77","80","80","80","78","78"
"George Satellite Facility","102","88","88","87","87","84","82","84","87","87"
"Harrison Satellite Facility","102","74","73","72","72","73","73","72","73","75"
"Jackson Satellite Facility","102","74","75","75","74","71","71","71","72","70"
"Jefferson Satellite Facility","102","83","82","82","81","80","79","79","80","81"
"Leflore Satellite Facility","102","82","82","81","80","76","76","74","76","75"
"Madison Satellite Facility","102","91","90","90","91","90","90","90","90","90"
"Noxubee Satellite Facility","92","80","80","79","78","76","76","76","78","78"
"Pike Satellite Facility","93","88","90","90","93","92","92","92","93","93"
"Quitman Satellite Facility","93","89","86","85","84","83","83","83","83","82"
"Rankin Satellite Facility","260","252","252","251","253","251","249","249","249","250"
"Simpson Satellite Facility","102","95","95","97","102","99","99","99","101","100"
"Washington Satellite Facility","102","77","78","78","79","77","77","76","78","78"
"Wilkinson Satellite Facility","102","63","65","65","64","60","60","60","62","60"
"Yazoo Satellite Facility","102","93","92","92","89","94","93","93","94","94"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,344","4,349","4,339","4,355","4,355","4,353","4,352","4,358","4,361"
"Alcorn County","300","299","299","300","301","301","301","301","300","300"
"Bolivar County","369","367","369","368","369","370","370","370","369","369"
"Carroll County","280","280","280","280","280","280","279","279","279","280"
"Chickasaw County","300","297","300","300","300","300","300","300","300","300"
"George County","280","280","278","277","277","279","279","279","279","279"
"Holmes County","280","280","280","280","280","278","278","278","279","280"
"Issaquena County","274","274","273","274","273","273","273","273","274","273"
"Jefferson County","280","280","280","280","280","280","280","280","280","280"
"Kemper County","355","337","339","337","340","339","338","338","339","340"
"Leake County","280","278","279","280","280","280","280","280","280","280"
"Marion County","280","280","279","279","280","279","279","279","279","280"
"Stone County","280","280","280","279","279","280","280","280","280","279"
"Washington County","300","233","233","228","239","241","241","241","241","240"
"Winston County","280","279","280","279","279","278","278","277","279","280"
"Yazoo County","300","300","300","298","298","297","297","297","300","301"
"PRIVATE PRISONS","5,972","4,187","4,188","4,197","4,195","4,189","4,187","4,187","4,186","4,191"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,222","1,224","1,221","1,220","1,217","1,217","1,217","1,216","1,217"
"Marshall County","1,000","999","999","999","998","1,000","999","999","1,001","1,000"
"Walnut Grove","1,500","1,065","1,066","1,070","1,070","1,066","1,066","1,066","1,064","1,069"
"Wilkinson County","1,000","901","899","907","907","906","905","905","905","905"
"RESTITUTION CENTERS","16","15","15","14","14","14","14","14","14","14"
"Greenwood","6","6","6","5","5","5","5","5","5","5"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","7","7","5","6","34","33","35","9","5"
"TOTALS","25,611","22,156","22,074","22,063","22,054","22,095","22,080","22,072","22,100","22,146"
