"Location","Capacity","27-Sep-05","28-Sep-05","29-Sep-05","30-Sep-05"
"Mississippi State Penitentiary","4,730","4,322","4,310","4,334","4,334"
"Central Mississippi Correctional Facility","3,219","3,222","3,199","3,204","3,216"
"South Mississippi Correctional Institution","2,306","2,242","2,249","2,245","2,220"
"County Jails","2,240","1,589","1,615","1,612","1,605"
"COMMUNITY WORK CENTERS","1,816","1,636","1,633","1,631","1,604"
"Alcorn Satellite Facility","92","88","89","91","85"
"Bolivar Satellite Facility","102","96","95","93","90"
"Forrest Satellite Facility","96","90","90","90","88"
"George Satellite Facility","102","86","86","86","84"
"Harrison Satellite Facility","102","89","89","89","88"
"Jackson Satellite Facility","102","92","92","92","91"
"Jefferson Satellite Facility","102","79","79","79","78"
"Leflore Satellite Facility","102","97","97","95","98"
"Madison Satellite Facility","102","86","86","87","86"
"Noxubee Satellite Facility","92","84","83","83","82"
"Pike Satellite Facility","93","76","77","75","74"
"Quitman Satellite Facility","93","80","80","81","81"
"Rankin Satellite Facility","228","226","225","225","215"
"Simpson Satellite Facility","102","88","88","88","101"
"Washington Satellite Facility","102","96","94","94","89"
"Wilkinson Satellite Facility","102","89","89","89","81"
"Yazoo Satellite Facility","102","94","94","94","93"
"REGIONAL CORRECTIONAL FACILITIES","2,998","2,992","2,995","2,993","2,989"
"Bolivar County","294","293","294","294","293"
"Carroll County","250","250","249","249","250"
"George County","280","278","280","280","279"
"Holmes County","280","280","280","279","279"
"Issaquena County","274","273","273","272","271"
"Jefferson County","250","249","250","250","250"
"Kemper County","280","280","280","280","280"
"Leake County","280","280","280","280","280"
"Marion County","280","280","279","279","277"
"Stone County","280","280","280","280","280"
"Winston County","250","249","250","250","250"
"PRIVATE PRISONS","5,100","4,860","4,870","4,866","4,855"
"Delta","972","970","972","972","969"
"East Mississippi","1,000","865","865","865","865"
"Marshall County","1,000","993","995","994","994"
"Tallahatchie County","128","127","127","127","128"
"Walnut Grove","1,000","917","924","922","916"
"Wilkinson County","1,000","988","987","986","983"
"RESTITUTION CENTERS","16","12","12","12","12"
"Greenwood","6","4","4","4","4"
"Hinds","6","6","6","6","6"
"Pascagoula","4","2","2","2","2"
"GOVERNOR'S MANSION","6","5","5","5","5"
"E-CODE","","2","2","3","44"
"TOTALS","22,431","20,882","20,890","20,905","20,884"
