"Location","Capacity","24-Dec-16","25-Dec-16","26-Dec-16","27-Dec-16","28-Dec-16","29-Dec-16","30-Dec-16","31-Dec-16","Avg Population"
"Mississippi State Penitentiary","3590","3,349","3,349","3,348","3,346","3341","3360","3381","3381","3350"
"Central Mississippi Correctional Facility","3,858","3,394","3,396","3,397","3,399","3352","3397","3396","3391","3320"
"Youthful Offender Unit","58","29","29","29","28","27","27","27","27","30"
"CMCF TVC","","5","5","4","4","3","3","3","3","6"
"South Mississippi Correctional Institution","3,082","3,060","3,060","3,061","3,055","3059","3063","3065","3064","3053"
"County Jails","1,781","1,209","1,209","1,209","1,198","1226","1177","1173","1173","1244"
"COMMUNITY WORK CENTERS","1,348","960","959","955","943","964","967","976","974","930"
"Alcorn Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Forrest Satellite Facility","96","59","59","59","59","59","66","66","66","63"
"George Satellite Facility","102","80","80","80","78","78","78","78","78","77"
"Harrison Satellite Facility","102","63","63","62","59","59","58","58","58","55"
"Jackson Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","57","56","56","55","65","63","64","64","55"
"Leflore TVC Support","20","8","8","8","10","10","10","10","10","9"
"Madison Satellite Facility","102","76","76","76","76","80","75","75","75","73"
"Noxubee Satellite Facility","92","83","83","83","81","81","81","86","86","78"
"Pike Satellite Facility","93","74","74","73","72","79","83","83","83","80"
"Quitman Satellite Facility","93","54","54","54","54","54","54","54","54","50"
"Rankin Satellite Facility","182","163","163","163","165","165","166","167","167","158"
"Rankin RID","28","4","4","4","4","4","4","4","4","3"
"Flowood TVC","50","23","23","23","21","21","23","23","23","22"
"Simpson TVC","82","62","62","60","55","55","58","58","56","56"
"Simpson TVC Support","20","13","13","13","13","13","11","11","11","14"
"Washington Satellite Facility","102","77","77","77","77","77","75","77","77","74"
"Wilkinson Satellite Facility","102","64","64","64","64","64","62","62","62","64"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,913","3,916","3,913","3,894","3,895","3,883","3,870","3,869","3,946"
"Alcorn County","300","240","241","241","240","240","239","238","238","240"
"Bolivar County","369","291","292","292","294","294","294","293","293","292"
"Carroll County","280","236","237","237","234","234","233","228","227","242"
"Chickasaw County","310","266","266","266","266","265","264","259","259","270"
"George County","280","250","250","249","244","243","242","242","242","260"
"Holmes County","280","224","224","224","224","222","222","224","224","230"
"Issaquena County","274","273","273","273","271","274","274","274","274","270"
"Jefferson County","280","279","279","278","278","278","278","279","279","278"
"Kemper County","355","350","350","350","350","352","352","350","350","350"
"Leake County","280","200","200","200","200","200","200","200","200","200"
"Marion County","280","271","271","271","266","266","263","263","263","272"
"Stone County","326","316","316","315","315","315","313","313","313","319"
"Washington County","300","223","223","223","221","220","220","219","219","223"
"Winston County","280","240","240","240","239","239","237","237","237","242"
"Yazoo County","300","254","254","254","252","253","252","251","251","260"
"PRIVATE PRISONS","5,972","3,075","3,071","3,071","3,067","3,078","3,076","3,080","3,079","3,068"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,184","1,182","1,182","1,182","1,182","1,181","1,179","1,179","1175"
"Marshall County","1,000","994","992","992","990","1,000","999","997","997","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","897","897","897","895","896","896","904","903","896"
"RESTITUTION CENTERS","16","11","11","11","9","9","9","9","9","12"
"Greenwood","6","4","4","4","4","4","4","4","4","5"
"Hinds","6","6","6","6","4","4","4","4","4","6"
"Pascagoula","4","1","1","1","1","1","1","1","1","2"
"TOTALS","24,199","19,005","19,005","18,998","18,943","18,954","18,962","18,980","18,970","18,958"
