"Location","Capacity","1-Jul-15","2-Jul-15","3-Jul-15","4-Jul-15","5-Jul-15","6-Jul-15","7-Jul-15","8-Jul-15","9-Jul-15"
"Mississippi State Penitentiary","4,648","3,092","3,105","3,106","3,107","3,106","3,116","3,115","3,120","3,111"
"MSP TVC","108","96","96","96","96","96","93","93","85","85"
"Central Mississippi Correctional Facility","3,469","2,517","2,518","2,517","2,514","2,514","2,502","2,503","2,522","2,561"
"Youthful Offender Unit","58","23","23","23","23","23","23","23","23","23"
"CMCF TVC","158","142","139","139","138","138","140","136","142","137"
"South Mississippi Correctional Institution 3,282","","2,518","2,530","2,530","2,530","2,530","2,520","2,521","2,526","2,532"
"SMCI TVC","0","98","94","94","91","91","94","100","98","97"
"County Jails","2,006","1,192","1,205","1,207","1,215","1,199","1,199","1,184","1,197","1,181"
"COMMUNITY WORK CENTERS","1,848","1,161","1,153","1,152","1,151","1,152","1,137","1,137","1,134","1,127"
"Alcorn Satellite Facility","92","54","54","54","54","54","54","53","52","50"
"Bolivar Satellite Facility","102","70","69","69","69","69","67","67","68","67"
"Forrest Satellite Facility","96","51","50","50","50","50","48","53","53","52"
"George Satellite Facility","102","53","54","54","54","54","54","54","54","56"
"Harrison Satellite Facility","102","57","55","54","54","54","52","52","52","52"
"Jackson Satellite Facility","102","60","60","60","59","60","58","58","57","59"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore Satellite Facility","102","53","53","52","52","52","52","50","50","48"
"Madison Satellite Facility","102","66","65","65","65","65","71","71","70","70"
"Noxubee Satellite Facility","92","72","72","72","72","72","72","72","73","76"
"Pike Satellite Facility","93","82","81","81","81","81","74","74","73","77"
"Quitman Satellite Facility","93","62","62","62","62","62","61","61","63","62"
"Rankin Satellite Facility","260","195","195","196","196","196","194","195","194","191"
"Simpson Satellite Facility","102","86","83","83","83","83","82","82","82","78"
"Washington Satellite Facility","102","69","69","69","69","69","69","66","66","66"
"Wilkinson Satellite Facility","102","52","52","52","52","52","52","52","50","48"
"Yazoo Satellite Facility","102","79","79","79","79","79","77","77","77","75"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,185","4,200","4,195","4,195","4,195","4,190","4,213","4,219","4,214"
"Alcorn County","300","297","300","300","300","300","299","299","298","299"
"Bolivar County","369","364","366","366","366","366","368","369","369","368"
"Carroll County","280","262","262","262","262","262","259","269","269","268"
"Chickasaw County","300","300","300","300","300","300","300","300","298","298"
"George County","280","263","260","260","260","260","257","260","259","259"
"Holmes County","280","262","262","262","262","262","262","257","265","264"
"Issaquena County","274","245","256","256","256","256","254","269","269","265"
"Jefferson County","280","261","262","260","260","260","256","256","254","255"
"Kemper County","355","327","328","328","328","328","336","336","336","343"
"Leake County","280","266","267","267","267","267","266","267","271","270"
"Marion County","280","274","273","273","273","273","274","274","272","272"
"Stone County","280","274","277","277","277","277","276","275","274","274"
"Washington County","300","228","226","225","225","225","225","225","225","225"
"Winston County","280","268","268","268","268","268","266","268","271","268"
"Yazoo County","300","294","293","291","291","291","292","289","289","286"
"PRIVATE PRISONS","5,972","3,909","3,888","3,886","3,886","3,886","3,879","3,880","3,879","3,846"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,133","1,133","1,133","1,133","1,133","1,131","1,132","1,132","1,131"
"Marshall County","1,000","996","996","995","995","995","992","993","993","993"
"Walnut Grove","1,500","924","918","918","918","918","918","918","917","915"
"Wilkinson County","1,000","856","841","840","840","840","838","837","837","807"
"RESTITUTION CENTERS","16","14","14","14","14","14","14","14","14","14"
"Greenwood","6","5","5","5","5","5","5","5","5","5"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"TOTALS","25,737","18,947","18,965","18,959","18,960","18,944","18,907","18,919","18,959","18,928"
"","","1-Jul-15","2-Jul-15","3-Jul-15","4-Jul-15","5-Jul-15","6-Jul-15","7-Jul-15","8-Jul-15","9-Jul-15"
