"Location","Capacity","10-Jun-16","11-Jun-16","12-Jun-16","13-Jun-16","14-Jun-16","15-Jun-16","16-Jun-16","17-Jun-16","18-Jun-16"
"Mississippi State Penitentiary","3,590","3,397","3,396","3,392","3,388","3,374","3,379","3,366","3,361","3,361"
"Central Mississippi Correctional Facility","3,506","2,998","2,999","2,999","3,021","3,000","3,031","3,028","3,063","3,063"
"Youthful Offender Unit","58","32","32","32","31","31","31","31","33","33"
"CMCF TVC","","9","9","9","6","6","6","6","8","8"
"South Mississippi Correctional Institution","3,082","3,003","3,002","3,001","3,001","3,001","3,001","3,001","2,999","3,000"
"County Jails","1,986","1,517","1,517","1,517","1,546","1,564","1,560","1,545","1,518","1,518"
"COMMUNITY WORK CENTERS","1,848","1,153","1,152","1,151","1,171","1,165","1,152","1,152","1,110","1,108"
"Alcorn Satellite Facility","92","0","0","0","0","0","0","0","0","0"
"Bolivar Satellite Facility","102","22","22","22","22","22","22","22","21","21"
"Forrest Satellite Facility","96","72","72","72","73","73","72","72","68","68"
"George Satellite Facility","102","88","88","88","90","89","88","88","86","86"
"Harrison Satellite Facility","102","76","76","75","78","78","78","78","69","67"
"Jackson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Jefferson Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"Leflore TVC","82","72","72","72","75","74","68","69","69","69"
"Leflore TVC Support","20","18","18","18","18","18","18","17","17","17"
"Madison Satellite Facility","102","98","98","98","100","100","100","100","94","94"
"Noxubee Satellite Facility","92","90","90","90","91","91","91","91","84","84"
"Pike Satellite Facility","93","86","86","86","88","88","88","88","86","86"
"Quitman Satellite Facility","93","84","84","84","84","86","86","86","86","86"
"Rankin Satellite Facility","260","164","164","164","167","167","167","167","163","163"
"Flowood TVC","","30","29","29","32","32","31","30","28","28"
"Simpson TVC","82","70","70","70","69","65","61","60","60","60"
"Simpson TVC Support","20","16","16","16","16","16","16","16","13","13"
"Washington Satellite Facility","102","99","99","99","100","100","100","102","100","100"
"Wilkinson Satellite Facility","102","68","68","68","68","66","66","66","66","66"
"Yazoo Satellite Facility","102","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,378","3,407","3,405","3,405","3,404","3,461","3,458","3,511","3,500","3,500"
"Alcorn County","240","239","239","239","239","239","239","240","240","240"
"Bolivar County","369","294","294","294","293","294","294","294","293","293"
"Carroll County","280","237","237","237","236","240","240","240","238","238"
"Chickasaw County","300","240","240","240","240","240","240","240","240","240"
"George County","280","197","197","197","197","197","197","200","200","200"
"Holmes County","280","200","200","200","200","196","196","200","200","200"
"Issaquena County","274","240","240","240","239","269","268","270","268","268"
"Jefferson County","280","240","240","240","240","269","269","270","269","269"
"Kemper County","355","260","260","260","260","259","259","259","257","257"
"Leake County","280","200","200","200","200","200","199","199","198","198"
"Marion County","280","202","202","202","203","203","203","204","204","204"
"Stone County","280","201","201","201","201","201","201","239","239","239"
"Washington County","300","221","221","221","221","221","221","221","220","220"
"Winston County","280","199","198","198","199","197","196","199","198","198"
"Yazoo County","300","237","236","236","236","236","236","236","236","236"
"PRIVATE PRISONS","5,972","3,884","3,883","3,883","3,879","3,878","3,884","3,881","3,865","3,865"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,091","1,090","1,090","1,090","1,092","1,093","1,092","1,089","1,089"
"Marshall County","1,000","1,000","1,000","1,000","1,000","1,000","1,000","999","996","996"
"Walnut Grove","1,500","902","902","902","901","899","898","897","882","882"
"Wilkinson County","1,000","891","891","891","888","887","893","893","898","898"
"RESTITUTION CENTERS","16","14","14","14","15","15","15","15","15","15"
"Greenwood","6","5","5","5","6","6","6","6","6","6"
"Hinds","6","6","6","6","6","6","6","6","6","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3"
"TOTALS","24,436","19,414","19,409","19,403","19,462","19,495","19,517","19,536","19,472","19,471"
"","","10-Jun-16","11-Jun-16","12-Jun-16","13-Jun-16","14-Jun-16","15-Jun-16","16-Jun-16","17-Jun-16","18-Jun-16"
