"Location","Capacity","10-Mar-10","11-Mar-10","12-Mar-10","13-Mar-10","14-Mar-10","15-Mar-10","16-Mar-10","17-Mar-10","18-Mar-10"
"Mississippi State Penitentiary","4,435","3,903","3,907","3,911","3,909","3,907","3,909","3,922","3,916","3,902"
"Central Mississippi Correctional Facility","3,449","3,319","3,287","3,291","3,296","3,295","3,284","3,311","3,318","3,318"
"South Mississippi Correctional Institution 3,204","","3,090","3,086","3,095","3,091","3,092","3,096","3,100","3,111","3,107"
"County Jails","1,458","1,413","1,441","1,444","1,444","1,444","1,422","1,407","1,402","1,398"
"COMMUNITY WORK CENTERS","1,848","1,763","1,795","1,769","1,768","1,765","1,760","1,759","1,762","1,767"
"Alcorn Satellite Facility","92","88","88","84","83","83","85","85","84","84"
"Bolivar Satellite Facility","102","100","101","101","101","101","98","97","94","93"
"Forrest Satellite Facility","96","94","94","93","93","93","90","90","90","89"
"George Satellite Facility","102","100","102","100","100","99","98","99","99","98"
"Harrison Satellite Facility","102","100","100","97","97","95","95","95","95","100"
"Jackson Satellite Facility","102","97","97","96","96","96","97","97","97","102"
"Jefferson Satellite Facility","102","101","101","100","100","100","98","98","98","102"
"Leflore Satellite Facility","102","81","95","93","93","93","92","92","92","92"
"Madison Satellite Facility","102","102","102","102","102","102","102","102","102","102"
"Noxubee Satellite Facility","92","87","91","88","88","88","89","87","87","92"
"Pike Satellite Facility","93","93","92","93","93","93","93","93","93","91"
"Quitman Satellite Facility","93","92","92","91","89","89","90","93","93","91"
"Rankin Satellite Facility","260","237","245","242","243","243","240","242","242","240"
"Simpson Satellite Facility","102","102","101","99","99","99","99","102","101","99"
"Washington Satellite Facility","102","97","98","96","96","96","93","93","93","90"
"Wilkinson Satellite Facility","102","95","94","95","96","96","100","94","102","102"
"Yazoo Satellite Facility","102","97","102","99","99","99","101","100","100","100"
"REGIONAL CORRECTIONAL FACILITIES","3,163","2,524","2,528","2,525","2,522","2,522","2,521","2,522","2,522","2,529"
"Bolivar County","294","233","235","236","235","235","235","235","235","236"
"Carroll County","280","224","224","223","221","221","223","223","223","224"
"George County","280","225","225","224","224","224","224","224","222","220"
"Holmes County","280","224","223","224","224","224","224","224","224","224"
"Issaquena County","274","219","219","212","212","212","212","215","215","219"
"Jefferson County","280","223","223","224","224","224","224","224","224","225"
"Kemper County","355","282","284","285","285","285","284","283","284","283"
"Leake County","280","223","224","224","224","224","223","223","223","224"
"Marion County","280","224","224","225","225","225","224","224","224","227"
"Stone County","280","223","223","224","224","224","224","224","224","224"
"Winston County","280","224","224","224","224","224","224","223","224","223"
"PRIVATE PRISONS","5,972","5,205","5,208","5,212","5,208","5,204","5,205","5,206","5,211","5,205"
"Delta","972","898","899","897","897","896","903","903","903","902"
"East Mississippi","1,500","1,260","1,261","1,263","1,260","1,259","1,257","1,257","1,262","1,265"
"Marshall County","1,000","898","900","900","900","900","899","899","900","900"
"Walnut Grove","1,500","1,196","1,196","1,201","1,201","1,201","1,199","1,197","1,196","1,191"
"Wilkinson County","1,000","953","952","951","950","948","947","950","950","947"
"RESTITUTION CENTERS","16","11","11","12","12","12","11","11","10","10"
"Greenwood","6","6","6","6","6","6","6","6","6","6"
"Hinds","6","3","3","4","4","4","3","3","2","2"
"Pascagoula","4","2","2","2","2","2","2","2","2","2"
"GOVERNOR'S MANSION","6","6","6","6","6","6","6","6","6","6"
"E-CODE","0","13","14","34","32","32","15","15","6","10"
"TOTALS","23,551","21,247","21,283","21,299","21,288","21,279","21,229","21,259","21,264","21,252"
"","","10-Mar-10","11-Mar-10","12-Mar-10","13-Mar-10","14-Mar-10","15-Mar-10","16-Mar-10","17-Mar-10","18-Mar-10"
