"Location","Capacity","10-Sep-11","11-Sep-11","12-Sep-11","13-Sep-11","14-Sep-11","15-Sep-11","16-Sep-11","17-Sep-11","18-Sep-11"
"Mississippi State Penitentiary","3,356","3,047","3,048","3,055","3,051","3,050","3,044","3,040","3,039","3,039"
"Central Mississippi Correctional Facility","3,449","3,157","3,154","3,183","3,195","3,185","3,191","3,185","3,184","3,182"
"South Mississippi Correctional Institution","3,256","3,180","3,180","3,185","3,194","3,195","3,184","3,188","3,185","3,189"
"County Jails","1,616","1,846","1,846","1,845","1,856","1,878","1,895","1,916","1,916","1,916"
"COMMUNITY WORK CENTERS","1,848","1,492","1,490","1,521","1,516","1,526","1,534","1,525","1,523","1,518"
"Alcorn Satellite Facility","92","79","79","84","85","85","83","81","81","81"
"Bolivar Satellite Facility","102","81","81","85","85","84","84","85","85","85"
"Forrest Satellite Facility","96","80","80","82","82","82","85","84","83","79"
"George Satellite Facility","102","85","85","87","87","87","87","83","83","83"
"Harrison Satellite Facility","102","89","88","93","92","91","92","91","91","91"
"Jackson Satellite Facility","102","82","82","82","82","85","92","90","90","90"
"Jefferson Satellite Facility","102","76","75","74","74","74","74","75","75","75"
"Leflore Satellite Facility","102","83","83","91","88","88","88","90","90","90"
"Madison Satellite Facility","102","84","84","88","88","91","88","90","90","90"
"Noxubee Satellite Facility","92","79","79","78","78","79","79","76","76","76"
"Pike Satellite Facility","93","61","61","61","59","59","58","57","57","57"
"Quitman Satellite Facility","93","77","76","77","81","81","82","81","81","81"
"Rankin Satellite Facility","260","192","193","198","195","198","198","193","193","192"
"Simpson Satellite Facility","102","92","92","87","87","90","92","88","88","88"
"Washington Satellite Facility","102","83","83","84","83","83","83","91","91","91"
"Wilkinson Satellite Facility","102","86","86","86","86","86","86","87","87","87"
"Yazoo Satellite Facility","102","83","83","84","84","83","83","83","82","82"
"REGIONAL CORRECTIONAL FACILITIES","4,363","3,276","3,275","3,271","3,279","3,278","3,278","3,273","3,272","3,271"
"Alcorn County","300","247","247","246","249","249","248","247","247","247"
"Bolivar County","294","235","235","234","235","235","235","235","235","235"
"Carroll County","280","224","224","224","224","224","224","223","223","223"
"Chickasaw County","300","249","248","248","249","249","249","247","247","247"
"George County","280","224","224","223","224","224","223","224","224","224"
"Holmes County","280","224","224","224","224","224","224","224","224","224"
"Issaquena County","274","219","219","219","219","219","219","219","219","219"
"Jefferson County","280","225","225","224","224","224","224","224","224","224"
"Kemper County","355","284","284","284","284","284","284","284","284","284"
"Leake County","280","223","223","224","224","223","224","224","224","224"
"Marion County","280","223","223","224","225","225","224","224","224","223"
"Stone County","280","224","224","223","223","224","224","223","223","223"
"Washington County (Open Sept 21, 2011)","300","","","","","","","","",""
"Winston County","280","223","223","223","224","224","224","223","223","223"
"Yazoo County","300","252","252","251","251","250","252","252","251","251"
"PRIVATE PRISONS","5,972","5,177","5,175","5,165","5,173","5,180","5,176","5,172","5,169","8,166"
"Delta","972","899","899","899","899","900","899","897","896","895"
"East Mississippi","1,500","1,364","1,363","1,359","1,359","1,358","1,357","1,356","1,355","4,354"
"Marshall County","1,000","996","996","996","999","999","998","997","997","997"
"Walnut Grove","1,500","1,013","1,013","1,007","1,012","1,020","1,021","1,023","1,023","1,022"
"Wilkinson County","1,000","905","904","904","904","903","901","899","898","898"
"RESTITUTION CENTERS","16","7","7","11","11","11","11","12","12","12"
"Greenwood","6","3","3","4","4","4","4","4","4","4"
"Hinds","6","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","0","0","3","3","3","3","4","4","4"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","45","47","47","7","7","7","43","43","44"
"TOTALS","23,882","21,232","21,227","21,288","21,287","21,315","21,325","21,359","21,348","24,342"
"","","10-Sep-11","11-Sep-11","12-Sep-11","13-Sep-11","14-Sep-11","15-Sep-11","16-Sep-11","17-Sep-11","18-Sep-11"
