"","","","","",""
"Location","Capacity","28-Sep-13","29-Sep-13","","30-Sep-13 Avg Population"
"Mississippi State Penitentiary","4,648","3,363","3,363","3,371","3,376"
"Central Mississippi Correctional Facility","3,557","3,327","3,325","3,317","3,321"
"Youthful Offender Unit","42","35","35","38","34"
"South Mississippi Correctional Institution 3,282","","3,227","3,226","3,222","3,229"
"County Jails","1,882","2,268","2,268","2,281","2,239"
"COMMUNITY WORK CENTERS","1,848","1,398","1,396","1,402","1,400"
"Alcorn Satellite Facility","92","91","91","91","90"
"Bolivar Satellite Facility","102","69","69","70","69"
"Forrest Satellite Facility","96","71","71","71","70"
"George Satellite Facility","102","64","64","64","64"
"Harrison Satellite Facility","102","84","84","84","88"
"Jackson Satellite Facility","102","77","76","75","73"
"Jefferson Satellite Facility","102","65","65","66","62"
"Leflore Satellite Facility","102","64","64","66","68"
"Madison Satellite Facility","102","79","79","78","79"
"Noxubee Satellite Facility","92","71","71","73","76"
"Pike Satellite Facility","93","93","93","93","92"
"Quitman Satellite Facility","93","75","75","76","80"
"Rankin Satellite Facility","260","213","212","214","213"
"Simpson Satellite Facility","102","101","101","101","98"
"Washington Satellite Facility","102","70","70","71","68"
"Wilkinson Satellite Facility","102","51","51","49","50"
"Yazoo Satellite Facility","102","60","60","60","60"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,429","4,426","4,430","4,427"
"Alcorn County","300","300","300","296","299"
"Bolivar County","369","368","366","368","368"
"Carroll County","280","279","279","279","279"
"Chickasaw County","300","300","300","298","299"
"George County","280","279","279","280","279"
"Holmes County","280","279","279","280","280"
"Issaquena County","274","272","272","274","273"
"Jefferson County","280","280","280","281","280"
"Kemper County","355","355","355","355","355"
"Leake County","280","279","279","279","280"
"Marion County","280","280","280","280","280"
"Stone County","280","279","279","280","279"
"Washington County","300","298","298","300","298"
"Winston County","280","279","279","279","280"
"Yazoo County","300","302","301","301","300"
"PRIVATE PRISONS","5,972","4,396","4,394","4,390","4,390"
"Delta","972","0","0","0","0"
"East Mississippi","1,500","1,200","1,199","1,198","1,198"
"Marshall County","1,000","999","999","998","997"
"Walnut Grove","1,500","1,305","1,304","1,302","1,301"
"Wilkinson County","1,000","892","892","892","893"
"RESTITUTION CENTERS","16","10","10","10","11"
"Greenwood","6","5","5","5","5"
"Hinds","6","3","3","3","3"
"Pascagoula","4","2","2","2","3"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0"
"E-CODE","0","0","0","0","0"
"TOTALS","25,691","22,453","22,443","22,461","22,425"
"","","28-Sep-13","29-Sep-13","30-Sep-13",""
