"Location","Capacity","1-Aug-11","2-Aug-11","3-Aug-11","4-Aug-11","5-Aug-11","6-Aug-11","7-Aug-11","8-Aug-11","9-Aug-11"
"Mississippi State Penitentiary","3,356","3,076","3,070","3,069","3,069","3,075","3,074","3,072","3,080","3,075"
"Central Mississippi Correctional Facility","3,449","3,231","3,247","3,266","3,283","3,273","3,269","3,268","3,262","3,278"
"South Mississippi Correctional Institution","3,204","3,147","3,152","3,139","3,138","3,123","3,123","3,122","3,120","3,099"
"County Jails","1,632","1,911","1,892","1,892","1,881","1,885","1,885","1,885","1,864","1,872"
"COMMUNITY WORK CENTERS","1,848","1,585","1,575","1,576","1,560","1,561","1,557","1,557","1,570","1,576"
"Alcorn Satellite Facility","92","78","79","77","76","77","77","78","78","78"
"Bolivar Satellite Facility","102","75","74","73","72","77","77","77","76","76"
"Forrest Satellite Facility","96","86","86","86","85","86","85","85","85","85"
"George Satellite Facility","102","84","87","88","87","86","86","86","87","88"
"Harrison Satellite Facility","102","90","87","90","89","87","87","87","91","93"
"Jackson Satellite Facility","102","92","91","90","88","86","85","85","86","90"
"Jefferson Satellite Facility","102","81","78","78","77","74","74","74","74","74"
"Leflore Satellite Facility","102","92","91","93","92","83","83","83","84","84"
"Madison Satellite Facility","102","97","97","97","96","99","99","98","95","95"
"Noxubee Satellite Facility","92","88","89","90","88","90","90","90","90","89"
"Pike Satellite Facility","93","93","93","93","93","93","93","92","92","89"
"Quitman Satellite Facility","93","81","79","79","79","80","79","79","77","76"
"Rankin Satellite Facility","260","196","194","197","197","198","197","198","204","207"
"Simpson Satellite Facility","102","96","92","91","90","90","90","90","95","95"
"Washington Satellite Facility","102","85","87","85","85","89","89","89","88","88"
"Wilkinson Satellite Facility","102","82","82","80","78","78","78","78","78","80"
"Yazoo Satellite Facility","102","89","89","89","88","88","88","88","90","89"
"REGIONAL CORRECTIONAL FACILITIES","4,063","3,269","3,273","3,277","3,280","3,277","3,276","3,272","3,277","3,282"
"Alcorn County","300","251","251","251","254","253","253","253","253","253"
"Bolivar County","294","234","235","235","235","235","235","233","233","235"
"Carroll County","280","222","224","224","224","223","223","223","224","225"
"Chickasaw County","300","247","247","250","250","250","250","250","248","248"
"George County","280","224","224","224","223","223","223","223","224","224"
"Holmes County","280","224","224","224","224","224","224","224","223","224"
"Issaquena County","274","218","219","219","218","218","218","218","218","219"
"Jefferson County","280","222","224","224","224","224","224","224","224","224"
"Kemper County","355","283","282","283","284","283","283","282","283","283"
"Leake County","280","222","221","224","223","224","224","224","225","225"
"Marion County","280","224","224","221","224","227","227","227","227","226"
"Stone County","280","224","224","224","224","223","223","223","223","224"
"Winston County","280","223","223","223","224","221","220","220","223","224"
"Yazoo County","300","251","251","251","249","249","249","248","249","248"
"PRIVATE PRISONS","5,972","5,128","5,141","5,149","5,148","5,141","5,137","5,134","5,142","5,155"
"Delta","972","900","899","899","899","898","898","897","898","900"
"East Mississippi","1,500","1,343","1,357","1,360","1,357","1,357","1,357","1,357","1,356","1,357"
"Marshall County","1,000","999","999","998","997","997","996","995","999","997"
"Walnut Grove","1,500","997","997","995","995","989","987","987","991","995"
"Wilkinson County","1,000","889","889","897","900","900","899","898","898","906"
"RESTITUTION CENTERS","16","9","8","8","9","7","7","7","7","6"
"Greenwood","6","6","5","5","5","3","3","3","3","3"
"Hinds","6","3","3","3","4","4","4","4","4","3"
"Pascagoula","4","0","0","0","0","0","0","0","0","0"
"GOVERNOR'S MANSION","6","5","5","5","5","5","5","5","5","5"
"E-CODE","0","9","9","9","7","17","17","19","11","11"
"TOTALS","23,546","21,370","21,372","21,390","21,380","21,364","21,350","21,341","21,338","21,359"
"","","1-Aug-11","2-Aug-11","3-Aug-11","4-Aug-11","5-Aug-11","6-Aug-11","7-Aug-11","8-Aug-11","9-Aug-11"
