"Location","Capacity","1-Oct-12","2-Oct-12","3-Oct-12","4-Oct-12","5-Oct-12","6-Oct-12","7-Oct-12","8-Oct-12","9-Oct-12"
"Mississippi State Penitentiary","4,648","3,370","3,373","3,382","3,381","3,370","3,370","3,369","3,380","3,388"
"Central Mississippi Correctional Facility","3,665","3,322","3,322","3,325","3,343","3,341","3,344","3,343","3,320","3,336"
"South Mississippi Correctional Institution","3,282","3,177","3,181","3,177","3,183","3,176","3,172","3,173","3,179","3,194"
"County Jails","1,816","2,223","2,205","2,191","2,183","2,196","2,196","2,196","2,211","2,187"
"COMMUNITY WORK CENTERS","1,848","1,547","1,552","1,566","1,561","1,546","1,542","1,540","1,575","1,566"
"Alcorn Satellite Facility","92","91","91","91","92","92","92","92","91","91"
"Bolivar Satellite Facility","102","73","73","81","80","78","78","78","80","80"
"Forrest Satellite Facility","96","84","84","84","85","79","79","79","84","84"
"George Satellite Facility","102","86","86","86","86","81","81","81","83","83"
"Harrison Satellite Facility","102","70","68","68","65","67","67","67","69","69"
"Jackson Satellite Facility","102","69","69","67","67","67","67","67","71","69"
"Jefferson Satellite Facility","102","78","78","83","85","84","84","84","85","84"
"Leflore Satellite Facility","102","80","81","80","79","79","79","79","81","81"
"Madison Satellite Facility","102","92","97","97","96","94","94","94","96","94"
"Noxubee Satellite Facility","92","79","79","80","80","78","78","78","81","81"
"Pike Satellite Facility","93","93","93","93","93","90","87","87","92","92"
"Quitman Satellite Facility","93","77","83","83","83","88","87","86","88","90"
"Rankin Satellite Facility","260","241","240","242","241","241","241","240","242","240"
"Simpson Satellite Facility","102","100","100","102","102","99","99","99","100","99"
"Washington Satellite Facility","102","78","78","78","77","81","81","81","81","80"
"Wilkinson Satellite Facility","102","58","58","56","56","55","55","55","55","55"
"Yazoo Satellite Facility","102","98","94","95","94","93","93","93","96","94"
"REGIONAL CORRECTIONAL FACILITIES","4,438","4,354","4,349","4,349","4,350","4,347","4,344","4,342","4,349","4,352"
"Alcorn County","300","300","299","297","297","300","300","300","299","298"
"Bolivar County","369","369","369","368","368","365","364","364","368","369"
"Carroll County","280","279","279","279","280","279","279","279","280","280"
"Chickasaw County","300","300","300","300","300","300","300","300","299","300"
"George County","280","279","278","280","279","279","279","278","278","276"
"Holmes County","280","280","280","280","279","279","279","279","280","280"
"Issaquena County","274","274","274","274","274","274","274","274","274","274"
"Jefferson County","280","280","279","278","279","280","280","280","280","278"
"Kemper County","355","340","339","337","339","339","339","339","339","340"
"Leake County","280","280","276","280","279","279","278","278","280","280"
"Marion County","280","279","279","280","279","279","279","278","279","280"
"Stone County","280","278","280","280","279","278","278","278","279","279"
"Washington County","300","237","237","237","237","236","235","235","234","239"
"Winston County","280","279","280","280","280","280","280","280","279","278"
"Yazoo County","300","300","300","299","301","300","300","300","301","301"
"PRIVATE PRISONS","5,972","4,140","4,134","4,129","4,129","4,124","4,122","4,122","4,123","4,121"
"Delta","972","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,199","1,199","1,197","1,198","1,197","1,195","1,195","1,194","1,192"
"Marshall County","1,000","999","999","997","996","996","996","996","996","995"
"Walnut Grove","1,500","1,037","1,033","1,030","1,030","1,027","1,027","1,027","1,027","1,029"
"Wilkinson County","1,000","905","903","905","905","904","904","904","906","905"
"RESTITUTION CENTERS","16","14","14","14","14","13","13","13","13","13"
"Greenwood","6","5","4","4","4","4","4","4","4","4"
"Hinds","6","6","6","6","6","5","5","5","5","5"
"Pascagoula","4","3","4","4","4","4","4","4","4","4"
"GOVERNOR'S MANSION    (CLOSED)","6","0","0","0","0","0","0","0","0","0"
"E-CODE","0","8","8","7","9","38","37","38","7","5"
"TOTALS","25,691","22,155","22,138","22,140","22,153","22,151","22,140","22,136","22,157","22,162"
"","","1-Oct-12","2-Oct-12","3-Oct-12","4-Oct-12","5-Oct-12","6-Oct-12","7-Oct-12","8-Oct-12","9-Oct-12"
